year,petits_ADJ yeux_NOUN,petits_ADJ lieux_NOUN
1800,1.2733866014968953e-06,9.432493897065797e-09
1801,2.295460035384167e-06,2.3811825400343878e-08
1802,1.8484558950149221e-06,3.5805442166747525e-08
1803,3.093238092333195e-06,3.510610468993036e-08
1804,1.4633357068305486e-06,7.4155526164076946e-09
1805,3.9231713344634045e-07,8.528632911009026e-09
1806,2.9681191904273874e-07,6.339671898558663e-08
1807,5.978605486234301e-07,1.7081731584767113e-08
1808,7.478043926312239e-07,9.064295980465431e-09
1809,3.7048101830805535e-07,2.0331274441787173e-08
1810,7.160787731663731e-07,3.510190182964834e-08
1811,8.248282483691582e-07,3.760615285841595e-08
1812,5.841185952704109e-07,1.8670457180292033e-08
1813,2.7894694198948855e-07,5.751483289628823e-09
1814,2.800542517888971e-07,0.0
1815,1.9420009778059466e-07,1.0788894222457657e-08
1816,2.0371737718960503e-06,3.476405652236281e-08
1817,1.9912411062250612e-06,2.0239355080775567e-08
1818,7.176548706411268e-07,1.668964877410417e-08
1819,6.1692259123447e-07,3.3123360054787554e-08
1820,4.995788458472816e-07,5.933240565525466e-09
1821,2.7316323780723906e-07,9.861488514673056e-09
1822,4.962680009157339e-07,8.421517350143404e-08
1823,3.577532652343507e-07,1.6701740435109969e-07
1824,3.1831805813453684e-07,6.989523626543814e-08
1825,8.585307114117313e-07,2.4655239627691117e-08
1826,3.549617701992247e-07,2.025836387531399e-08
1827,3.806733843703114e-07,1.2904182611350734e-08
1828,4.815458396478789e-07,4.3109814384934e-08
1829,6.035515980329365e-07,3.6864655328372464e-08
1830,5.47933893813024e-07,2.5048406016026092e-08
1831,5.301010332914302e-07,4.677361609140007e-09
1832,5.736707180403755e-07,2.4353944638733083e-08
1833,4.96937673233333e-07,7.992703388026712e-08
1834,5.302013619257195e-07,4.2005389389032644e-08
1835,1.1541271760506788e-06,3.1764969321557146e-08
1836,5.020400521971169e-07,3.696412420595152e-08
1837,5.100134217173036e-07,3.478945487245255e-08
1838,5.52314190827019e-07,7.637716237240966e-08
1839,6.110549293225631e-07,6.781731087812659e-08
1840,3.961946219988022e-07,2.8026629905752998e-08
1841,3.0048167332097364e-07,4.237562123421412e-08
1842,3.957876515414682e-07,6.708265054555795e-09
1843,5.009060828342626e-07,1.3585895075607368e-08
