year,ordonnances_NOUN légales_ADJ
1800,1.8864987794131594e-08
1801,0.0
1802,6.713520406265161e-09
1803,7.801356893821776e-09
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,8.645007376628655e-09
1807,8.540865792383556e-09
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,0.0
1811,7.521229861140455e-09
1812,0.0
1813,5.751483289628823e-09
1814,0.0
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,2.0239355080775567e-08
1818,1.0729059418679299e-08
1819,9.315945348475907e-09
1820,4.746592452420373e-09
1821,1.676452932031225e-08
1822,1.0025615893027862e-09
1823,1.9765373782121287e-09
1824,1.8526447931321854e-08
1825,0.0
1826,2.9947145208097936e-08
1827,1.566936447261469e-08
1828,5.503380862137419e-09
1829,1.8860987438529264e-08
1830,1.7742621594152297e-08
1831,1.091384405071949e-08
1832,4.058990921151917e-09
1833,6.950177322551099e-09
1834,1.8669062740173104e-08
1835,6.050470346963266e-09
1836,1.4785650037651976e-08
1837,6.9578907080369845e-09
1838,6.564648380447125e-08
1839,5.5931801412612e-09
1840,3.1848443882154243e-09
1841,1.6693427085101575e-08
1842,9.391571076378114e-09
1843,8.860366662588604e-09
1844,3.2931368743049916e-09
1845,8.37034175305007e-09
1846,5.854501328173001e-09
1847,1.4561703842730367e-08
1848,1.206783295515379e-08
1849,2.513824526317876e-08
1850,1.2220192857625989e-08
1851,1.483370937194195e-08
1852,1.1718981340891332e-08
1853,2.388772735173461e-09
1854,4.676098175337984e-09
1855,3.1841622671890946e-09
1856,5.694908100650764e-09
1857,1.610898081594314e-08
1858,4.893676130990343e-09
1859,1.527652027100146e-08
1860,2.197048232233101e-08
1861,1.6977470096435354e-08
1862,3.162590411776023e-09
1863,7.491931519609807e-09
1864,1.1986819536957682e-08
1865,1.6003271596787272e-08
1866,2.3354942868536455e-08
1867,1.1161466417775046e-08
1868,2.0747471296544973e-08
1869,2.6371003158942585e-08
1870,8.601073631098188e-09
1871,6.37270636261178e-09
1872,1.3908880269752899e-08
1873,1.616221290134945e-08
1874,1.6131444624534197e-08
1875,9.7265964171811e-09
1876,1.6928840551599933e-08
1877,6.80329748092845e-09
1878,1.8117265909722846e-08
1879,1.221865053580018e-09
1880,6.417846254436199e-09
1881,7.669758161910067e-09
1882,6.655385131892899e-09
1883,4.423537092179686e-09
1884,6.601696966868076e-09
1885,1.933690718658454e-08
1886,1.677900662855336e-08
1887,1.1099172247952538e-08
1888,1.0779045211961602e-08
1889,5.012109394186837e-09
1890,3.2771931834929546e-09
1891,1.1473596295275001e-08
1892,1.2537024751679837e-08
1893,2.463366621796581e-09
1894,1.8904618315218613e-08
1895,1.2037228991346183e-09
1896,0.0
1897,9.322741356676545e-09
1898,2.26334195829736e-09
1899,1.0502398950507086e-08
1900,3.633737311048435e-09
1901,1.1736351446245408e-08
1902,9.820567470342212e-09
1903,9.720396931811592e-09
1904,5.912087708281888e-09
1905,1.3417973621088208e-08
1906,8.230695236477459e-09
1907,1.2342823652033985e-08
1908,1.276961114626829e-08
1909,1.925344328412848e-08
1910,9.085056262847502e-09
1911,7.448523575703803e-09
1912,7.814131730565776e-09
1913,1.060597942803554e-09
1914,4.68772043404897e-09
1915,1.0602685840410686e-08
1916,0.0
1917,1.5352994098272177e-08
1918,9.189101035644853e-09
1919,4.603924352863942e-09
1920,5.300562211374427e-09
1921,3.0290989716519334e-09
1922,4.426761179843197e-09
1923,9.554353752605493e-09
1924,6.445812328337297e-09
1925,2.1996355847875293e-09
1926,6.687683296036084e-09
1927,1.0034302277972529e-08
1928,6.8556245125250825e-09
1929,8.912325100141061e-09
1930,3.1510811737689437e-09
1931,1.2545892325022123e-08
1932,1.53433514782364e-08
1933,3.785318369864399e-08
1934,2.6359476379411717e-08
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,7.554670666820584e-09
1938,2.5930428915188486e-09
1939,1.5294050470515685e-08
1940,0.0
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,1.1612940831184915e-08
1944,3.2131861615880553e-09
1945,0.0
1946,9.744772988540262e-09
1947,7.152522574216391e-09
1948,3.2615663503321457e-09
1949,7.853606653895895e-09
1950,5.317680518146517e-09
1951,2.1322803522849654e-09
1952,2.1089607837865287e-09
1953,1.1851210013347213e-08
1954,9.772536113672459e-10
1955,3.754243138587299e-09
1956,2.616342476002842e-09
1957,7.068030161150318e-09
1958,6.617794756635931e-09
1959,2.325224457422337e-09
1960,3.460416619915918e-09
1961,1.111705483225478e-08
1962,5.7077609305622445e-09
1963,7.759264120110743e-09
1964,6.083968440151466e-09
1965,9.302473458205895e-09
1966,4.431259692516676e-09
1967,3.451234853457663e-09
1968,3.5931326802796093e-09
1969,1.6350327314285096e-08
1970,9.197449912790034e-09
1971,1.0790635052160269e-08
1972,4.104117490300041e-09
1973,6.064523994098181e-09
1974,3.937900228123681e-09
1975,4.569184142155791e-09
1976,2.856763492431469e-09
1977,2.3507127355770763e-09
1978,4.158414057542359e-09
1979,1.1703946700691858e-09
1980,2.8425753417771205e-09
1981,0.0
1982,5.586751949948621e-09
1983,6.315316047889041e-10
1984,2.3196033982486597e-09
1985,1.8046674155058895e-09
1986,5.994485463567401e-10
1987,4.888653482026939e-09
1988,2.99827696004229e-09
1989,1.0976244357863152e-09
1990,7.62811153132148e-09
1991,4.10302547493302e-09
1992,4.4079553340736766e-09
1993,3.877445031719162e-09
1994,2.637463358823311e-09
1995,3.795715741716776e-09
1996,4.804283193493575e-09
1997,1.917957792585412e-09
1998,3.814503379828693e-09
1999,1.8280804647829996e-09
2000,2.2090156370779823e-09
2001,1.7524847129024579e-09
2002,3.504977197366088e-09
2003,2.9168460979889232e-09
2004,6.607186797680242e-09
2005,2.251874686720612e-09
2006,1.2353669198716943e-09
2007,3.1955835755326234e-09
2008,2.1287198670449925e-09
2009,2.860915504498962e-09
2010,4.723793023408973e-10
2011,1.1471915639660324e-09
2012,3.744677901096338e-09
2013,3.904775169871755e-09
2014,1.2992671383216248e-09
2015,1.329945265027277e-09
2016,3.314144070287739e-09
2017,3.018733707449428e-09
2018,7.744400121190154e-10
2019,2.5509878653906526e-09
