year,serions_VERB à_ADP,serions_VERB a_ADP,serions_VERB las_ADJ
1800,1.2891074163690064e-07,0.0,0.0
1801,1.142967676059925e-07,0.0,0.0
1802,6.937304419807333e-08,2.2378401354217203e-09,0.0
1803,7.996391104825307e-08,0.0,0.0
1804,8.157108055684148e-08,0.0,0.0
1805,7.675770063997334e-08,0.0,0.0
1806,1.3543845511776453e-07,0.0,0.0
1807,9.964342950752325e-08,0.0,0.0
1808,2.2660739062985158e-08,0.0,0.0
1809,5.6475762733043666e-08,0.0,0.0
1810,1.4976811257838563e-07,2.3401267590372754e-09,0.0
1811,6.267691787797958e-08,2.5070767684098882e-09,0.0
1812,6.668020802180763e-08,0.0,0.0
1813,6.039057609541487e-08,0.0,0.0
1814,6.293354459785405e-08,0.0,0.0
1815,5.933891955578474e-08,0.0,0.0
1816,4.8669683394564345e-08,0.0,0.0
1817,4.826307531402563e-08,0.0,0.0
1818,1.5259107044585107e-07,1.1921177378582115e-09,0.0
1819,7.556266723440785e-08,0.0,1.035105001712111e-09
1820,8.42520151422832e-08,1.1866481131050932e-09,0.0
1821,1.5975611233898235e-07,0.0,0.0
1822,8.020492714422289e-08,0.0,0.0
1823,1.363810753218786e-07,8.894418535021487e-09,0.0
1824,1.2210612965191103e-07,0.0,0.0
1825,1.1270967092968931e-07,8.805443041381977e-10,0.0
1826,7.839106075380187e-08,0.0,0.0
1827,7.92685455053288e-08,0.0,0.0
1828,1.0364700386844561e-07,9.172301251858528e-10,0.0
1829,1.4488666977285902e-07,0.0,0.0
1830,9.914994336668315e-08,0.0,0.0
1831,5.3010101197514814e-08,1.5591206103948707e-09,0.0
1832,8.523880978827947e-08,0.0,0.0
1833,1.6680425574122637e-07,0.0,4.6334514003376626e-09
1834,1.0454674281845655e-07,1.8669061851994684e-09,0.0
1835,1.376482003934143e-07,6.806779140333674e-09,4.5378527602224494e-09
1836,1.2836632379276125e-07,1.3441500135158435e-09,0.0
1837,1.3219992922586243e-07,3.478945576063097e-09,0.0
1838,1.2434958307494526e-07,0.0,0.0
1839,1.097661623816748e-07,0.0,0.0
1840,1.0892167523479657e-07,0.0,0.0
1841,9.566617364953345e-08,0.0,0.0
1842,1.1605298766426131e-07,6.708265054555795e-10,0.0
1843,9.096643083239542e-08,5.906911071384968e-10,0.0
1844,8.617040947456189e-08,5.488561272137815e-10,6.037417232818143e-09
1845,6.975285060661918e-08,0.0,0.0
1846,8.430481557297753e-08,3.5127007969038004e-09,0.0
1847,9.276344314912421e-08,5.393223645455691e-10,0.0
1848,1.0378335701943797e-07,0.0,4.02261068899179e-09
1849,8.547003460535052e-08,0.0,0.0
1850,1.222019250235462e-07,6.788996032014438e-10,0.0
1851,9.609663464971163e-08,1.2898877521649865e-09,0.0
1852,5.989701890030119e-08,1.9531636308300904e-09,6.510545436100301e-10
1853,7.226037723739864e-08,0.0,0.0
1854,1.1534375232713501e-07,1.558699391779328e-09,0.0
1855,9.923972754677379e-08,0.0,0.0
1856,9.836659842221707e-08,5.177189232874468e-10,0.0
1857,7.56633937726292e-08,4.881509085841174e-10,9.763018171682347e-10
1858,7.634134391309999e-08,4.893676019968041e-10,0.0
1859,9.82789458703337e-08,0.0,0.0
1860,8.650877703075821e-08,9.154367819341758e-10,0.0
1861,8.960331143725853e-08,4.715963730639317e-10,4.715963730639317e-10
1862,1.0075109457829967e-07,4.517986262886353e-10,0.0
1863,8.9903174682604e-08,0.0,1.4983863039219614e-09
1864,5.9454627887589595e-08,0.0,0.0
1865,9.649031085245952e-08,4.706844358715045e-10,0.0
1866,1.0850316556343387e-07,4.865612912574591e-10,0.0
1867,8.492420278116697e-08,4.85281148598915e-10,0.0
1868,7.903798859842937e-08,0.0,0.0
