year,masses_NOUN égales_ADJ,masses_NOUN egales_ADJ
1800,2.703981465401739e-07,0.0
1801,1.04772034603684e-07,0.0
1802,5.594600338554301e-08,0.0
1803,2.7304748684287006e-08,5.851017448321727e-09
1804,6.673997887673977e-08,0.0
1805,1.9331568523739406e-07,0.0
1806,1.440834580535011e-07,0.0
1807,1.4519470425966574e-07,0.0
1808,7.931259204951857e-08,0.0
1809,4.969867006821005e-08,0.0
1810,1.4976811257838563e-07,0.0
1811,1.3287507272252697e-07,0.0
1812,9.068507722531649e-08,0.0
1813,2.386865673997818e-07,0.0
1814,1.4474714760126517e-07,3.1466771410748606e-09
1815,8.361393355471591e-08,0.0
1816,1.8309070526356663e-07,0.0
1817,1.3077736582545185e-07,1.556873407970727e-09
1818,4.410835785506606e-08,1.1921177378582115e-09
1819,1.1282644862831148e-07,0.0
1820,3.678609061807947e-08,0.0
1821,9.072569184809254e-08,0.0
1822,5.012807946513931e-08,1.0025615893027862e-09
1823,7.412015179397713e-08,0.0
1824,1.0189546628680546e-07,0.0
1825,1.0654586191094495e-07,0.0
1826,8.455664612938563e-08,0.0
1827,8.479891278057039e-08,0.0
1828,9.447470006307412e-08,0.0
1829,8.058785283537873e-08,0.0
1830,9.184415716845251e-08,1.0436835840010872e-09
1831,3.4300654760954785e-08,0.0
1832,8.253281436054749e-08,1.3529969367098715e-09
1833,7.645194699534841e-08,0.0
1834,7.467625096069241e-08,0.0
1835,7.789980571715205e-08,0.0
1836,1.3508707752407645e-07,6.720750067579218e-10
1837,6.192522761239161e-08,0.0
1838,1.2371837954106013e-07,1.2624323808552163e-09
1839,4.754203075663099e-08,0.0
1840,5.923810419972142e-08,0.0
1841,6.869986890478685e-08,0.0
1842,5.500777433553594e-08,6.708265054555795e-10
1843,4.4892523476391943e-08,0.0
1844,3.567564732520623e-08,0.0
1845,6.082448322786149e-08,0.0
1846,7.142491398326456e-08,5.854501328173001e-10
1847,4.961765753819236e-08,0.0
1848,5.953464210506354e-08,0.0
1849,5.53041381579078e-08,0.0
1850,7.807345525634446e-08,0.0
1851,6.320450296470881e-08,0.0
1852,5.4037528229855525e-08,0.0
1853,9.913406984196627e-08,0.0
1854,5.5593609715742787e-08,0.0
1855,6.686740761097099e-08,0.0
1856,7.248065259091163e-08,0.0
1857,4.29572786231347e-08,0.0
1858,1.5268268782619998e-07,0.0
1859,3.920973412618878e-08,0.0
1860,5.858795404378725e-08,0.0
1861,1.1837069280318246e-07,0.0
1862,7.770936605311363e-08,0.0
1863,5.2942979777981236e-08,0.0
1864,3.931677028390368e-08,0.0
1865,2.7770381549885315e-08,0.0
1866,3.600553455385125e-08,0.0
1867,8.929173134220036e-08,0.0
1868,6.668830110356794e-08,0.0
1869,8.448488131307386e-08,0.0
1870,1.3130971865393803e-07,0.0
1871,9.665271250014484e-08,0.0
1872,7.801067880564005e-08,0.0
1873,4.908523720814628e-08,1.1972008939764578e-09
1874,7.647499700169647e-08,0.0
1875,8.868367018521894e-08,0.0
1876,5.38095328295185e-08,0.0
1877,5.504486111362894e-08,0.0
1878,7.0657335982105e-08,0.0
1879,3.360128886242819e-08,0.0
1880,7.31634486328403e-08,0.0
1881,7.878933416805012e-08,0.0
1882,1.770332431760835e-07,0.0
1883,9.8581686813759e-08,0.0
1884,7.393900602892245e-08,0.0
1885,6.832373600218489e-08,0.0
1886,1.1809839151055712e-07,6.453463874400711e-10
1887,6.659502815864471e-08,0.0
1888,5.199304098368884e-08,0.0
1889,8.019375030698939e-08,0.0
1890,3.9326319978272295e-08,0.0
1891,1.121862709396737e-07,0.0
1892,7.898325549149376e-08,0.0
1893,6.77425830986067e-08,0.0
1894,8.885170643679885e-08,6.301539290376468e-10
1895,5.5973114143625935e-08,0.0
1896,1.1322295279114769e-07,0.0
1897,9.497543373981898e-08,0.0
1898,6.620275172508627e-08,0.0
1899,4.532614283903058e-08,0.0
1900,8.201863721524205e-08,0.0
