year,ressources_NOUN égales_ADJ,ressources_NOUN légales_ADJ
1800,2.5153315874604232e-08,0.0
1801,6.905429472681135e-08,2.3811825844433088e-09
1802,0.0,0.0
1803,1.755305234496518e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,0.0
1810,7.020380277111826e-09,9.360507036149102e-09
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,1.3486118000116676e-08,0.0
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,2.3353100786493997e-08,7.784366928831332e-09
1818,1.7881765401739358e-08,2.384235475716423e-09
1819,3.1053151161586356e-09,0.0
1820,0.0,1.779972080839798e-08
1821,0.0,1.97229765852569e-09
1822,0.0,2.0051231786055723e-09
1823,2.3718449426723964e-08,0.0
1824,3.3684450784221553e-09,2.5263338088166165e-09
1825,8.805443041381977e-10,2.641632912414593e-09
1826,3.787433300317389e-08,0.0
1827,1.8434546111834038e-09,1.7512819638909605e-08
1828,8.255071293206129e-09,1.2841221419535032e-08
1829,1.3717081692732336e-08,4.286587973467704e-09
1830,7.305785310052215e-09,8.349468672008697e-09
1831,1.2472964883158966e-08,1.2472964883158966e-08
1832,1.488296597074168e-08,4.058990921151917e-09
1833,3.359252431778259e-08,0.0
1834,5.600718555598405e-09,2.240287422239362e-08
1835,8.31939672707449e-09,7.563087933704082e-09
1836,1.008112526790228e-08,1.008112526790228e-08
1837,6.957891152126194e-09,6.262101948095733e-09
1838,3.787297142565649e-09,3.787297142565649e-09
1839,6.9914749545318955e-09,1.11863602825224e-08
1840,1.1465439264668476e-08,1.6561189752906103e-08
1841,9.630822361827995e-09,3.531301828729738e-08
1842,3.3541325272778977e-09,2.683306021822318e-09
1843,1.4176587015413133e-08,7.678984559333912e-09
1844,6.586273748609983e-09,4.9397050894128824e-09
1845,9.48638767539478e-09,1.2276501593078137e-08
1846,3.5127007969038004e-09,9.952652035849496e-09
1847,1.7258315665458213e-08,4.314578916364553e-09
1848,1.689496542667257e-08,1.206783295515379e-08
1849,8.379414495607307e-09,1.6758829879393033e-09
1850,1.3577992064028876e-09,2.0366988096043315e-08
1851,3.8696632564949596e-09,1.483370937194195e-08
1852,1.3021090872200602e-08,1.9531636308300904e-09
1853,6.569124799682413e-09,4.180352064508952e-09
1854,2.0782657816909023e-09,7.27393034694046e-09
1855,1.5920811335945473e-09,4.776243400783642e-09
1856,1.2425253714809514e-08,9.836659486950339e-09
