year,autres_ADJ oies_NOUN,autres_ADJ lois_NOUN
1800,1.5720821977538435e-08,1.4180182006384712e-06
1801,4.7623651688866175e-09,1.412041228832095e-06
1802,4.475680270843441e-09,1.3180878397633933e-06
1803,0.0,1.987395618296972e-06
1804,4.943701892301533e-09,1.6462527425709084e-06
1805,0.0,1.4640819965272556e-06
1806,1.152667650217154e-08,1.5301663358613382e-06
1807,0.0,2.1722267327106692e-06
1808,4.5321479902327155e-09,1.7924645590028376e-06
1809,0.0,1.7304174173560227e-06
1810,0.0,2.2207802885532146e-06
1811,0.0,1.6697131783871555e-06
1812,0.0,1.8003655668508145e-06
1813,0.0,1.647799943160777e-06
1814,0.0,2.0012866173146904e-06
1815,1.0788894222457657e-08,1.99594547423132e-06
1816,0.0,1.921293687701109e-06
1817,0.0,2.2901607401593083e-06
1818,2.026600220972341e-08,2.1076641463224632e-06
1819,0.0,2.4863222272131225e-06
1820,4.746592452420373e-09,2.1537662178161554e-06
1821,2.9584463767662328e-09,2.0738710904133484e-06
1822,1.0025615893027862e-09,1.8978490743393195e-06
1823,1.8777105759149038e-08,1.6849980637445583e-06
1824,0.0,1.8299078234917943e-06
1825,2.905796137042671e-08,1.6844812300575995e-06
1826,0.0,2.198472828673914e-06
1827,0.0,2.5983493283643355e-06
1828,5.503380862137419e-09,2.1646631900296143e-06
1829,8.57317605795771e-10,2.069564753903741e-06
1830,2.0873671680021744e-09,2.128070882179145e-06
1831,1.5591206103948707e-09,1.6136898659535603e-06
1832,0.0,1.945609646281099e-06
1833,0.0,1.633291625169342e-06
1834,5.600718555598405e-09,1.8090321418640087e-06
1835,2.2689263801112247e-09,1.7478296641115776e-06
1836,2.688300027031687e-09,1.6506161966134414e-06
1837,1.3915781860163179e-09,1.7053790948295955e-06
1838,1.8936485712828244e-09,1.4865141215736344e-06
1839,1.3982950353153e-09,1.675856568184031e-06
1840,3.821813199245128e-09,1.8166351818393878e-06
1841,6.420548537278137e-10,1.4330663926642728e-06
1842,2.683306021822318e-09,1.8293438870387035e-06
1843,0.0,1.7832964669395324e-06
1844,1.2074834465636286e-08,1.5351505813221422e-06
1845,2.2878934136105755e-08,1.6411449839104364e-06
1846,1.1709002656346001e-09,1.5116322258368342e-06
1847,3.235934187273415e-09,1.6724386586730589e-06
