year,jeunes_ADJ êtres_NOUN,jeunes_ADJ lettres_NOUN
1800,6.288328968651058e-09,0.0
1801,2.1430643926123594e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,0.0
1803,2.3404069793286908e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,2.9367397402779716e-08,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,5.97868634599763e-08,0.0
1815,8.90083740046066e-08,0.0
1816,1.622322720606917e-08,0.0
1817,4.670620157298799e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,4.746592452420373e-09,0.0
1821,9.861488514673056e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,1.8777104315859106e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,4.4027217427355936e-09,0.0
1826,9.688783109140786e-09,8.807984341885344e-10
1827,5.530363722527909e-09,0.0
1828,1.1006761724274838e-08,0.0
1829,1.5431716349212365e-08,0.0
1830,7.305785310052215e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.1647950987357945e-08,0.0
1833,1.0425265983826648e-08,0.0
1834,6.534171426153534e-09,0.0
1835,9.075705520444899e-09,0.0
1836,3.293167694096155e-08,0.0
1837,2.7135774516295896e-08,0.0
1838,9.468243078458727e-09,0.0
1839,5.8029243632518046e-08,0.0
1840,1.46502836528839e-08,0.0
1841,2.43980835534785e-08,0.0
1842,1.8112315203211438e-08,0.0
1843,1.6539351221922516e-08,0.0
1844,2.5796238034558883e-08,0.0
1845,1.4508592549589139e-08,5.580227946389016e-10
1846,8.196302303531411e-09,0.0
1847,2.2651539310913904e-08,0.0
1848,2.172209789819135e-08,0.0
1849,2.6814127807028854e-08,0.0
1850,2.5119284430275002e-08,0.0
1851,1.7413483988093503e-08,0.0
1852,9.114764054629632e-09,0.0
1853,1.6124216628554677e-08,0.0
1854,3.273268589509826e-08,0.0
1855,2.7065379271107304e-08,0.0
