year,documents_NOUN légaux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,3.1182412207897414e-09
1832,0.0
1833,0.0
1834,0.0
1835,1.5126175867408165e-09
1836,0.0
1837,6.262101948095733e-09
1838,0.0
1839,7.690622805256453e-09
1840,5.732719632334238e-09
1841,0.0
1842,1.341653010911159e-09
1843,9.451057714215949e-09
1844,0.0
1845,2.7901139176833567e-09
1846,4.6836010625384006e-09
1847,1.1325769655456952e-08
1848,8.045221711050488e-10
1849,5.02764896381791e-09
1850,4.752297222410107e-09
1851,2.3862924081186065e-08
1852,3.906327261660181e-09
1853,1.5527023222716707e-08
1854,3.63696517347023e-09
1855,2.1227748447927297e-09
1856,1.0354378687793542e-08
1857,5.369659827891837e-09
1858,2.936205500958522e-09
1859,5.092173349652285e-10
1860,1.1442959468865865e-08
1861,1.6034276129062164e-08
1862,3.162590411776023e-09
1863,7.991393324857654e-09
1864,1.1507347075223606e-08
1865,1.553258677233771e-08
1866,2.919367858567057e-09
1867,1.164674756637396e-08
1868,6.915823469455518e-09
1869,4.883519366671862e-09
1870,8.027668307875047e-09
1871,2.1242354542039266e-09
1872,9.675742651538144e-09
1873,1.4366410283628284e-08
1874,1.4936523129449597e-08
1875,1.544812339160373e-08
1876,2.418405919968336e-09
1877,3.710889595609501e-09
1878,9.058632954861423e-09
1879,1.8938909107646396e-08
1880,1.5402831010646878e-08
1881,8.367009307619355e-09
1882,1.1314154946262533e-08
1883,5.6874050469168935e-09
1884,8.582206056928499e-09
1885,8.379326565943757e-09
1886,7.744156427236248e-09
1887,5.223139698529167e-09
1888,0.0
1889,1.8795409673089125e-09
1890,8.520702365899524e-09
1891,1.4023283867459213e-08
1892,1.6298132621272998e-08
1893,1.4164357686752282e-08
1894,0.0
1895,8.426060515986933e-09
1896,1.533227539374238e-08
1897,1.6314798068073344e-08
1898,2.26334195829736e-09
1899,1.6029977345510815e-08
1900,6.748368974740515e-09
1901,7.265360757457984e-09
1902,1.6694965410124496e-08
1903,2.376096830403185e-08
1904,1.2361637935498493e-08
1905,2.580379465655369e-09
1906,1.4403716441790948e-08
1907,2.5714217422034835e-09
1908,3.929111258571538e-09
1909,1.3752458449811655e-08
1910,1.175713115753041e-08
1911,9.044636040123066e-09
1912,9.89790061023399e-09
1913,6.36358749028787e-09
1914,8.705767051697677e-09
1915,1.5314990164938536e-08
1916,2.307367097387214e-08
1917,2.1932848870420685e-09
1918,1.1486376294556067e-08
1919,2.2098836149897494e-08
1920,1.590168707821249e-08
1921,9.844571380313027e-09
