year,autorisations_NOUN légales_ADJ
1800,3.144164484325529e-09
1801,1.904946067554647e-08
1802,2.2378401354217203e-09
1803,2.5354410126965377e-08
1804,2.4718509461507665e-09
1805,0.0
1806,1.152667650217154e-08
1807,0.0
1808,0.0
1809,6.7770917766551975e-09
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,9.440030979135372e-09
1815,8.091670444798638e-09
1816,1.1588019432906549e-08
1817,1.556873407970727e-09
1818,7.152706427149269e-09
1819,5.175524897538253e-09
1820,1.1866481131050932e-09
1821,0.0
1822,1.0025615893027862e-09
1823,3.9530747564242574e-09
1824,5.894778887238772e-09
1825,5.283265824829186e-09
1826,4.403992281964975e-09
1827,9.217273055917019e-10
1828,3.668920500743411e-09
1829,5.143905745796928e-09
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,3.4750886612755494e-09
1834,1.8669061851994684e-09
1835,1.5126175867408165e-09
1836,9.409050427677812e-09
1837,4.174734336004349e-09
1838,2.5248647617104325e-09
1839,2.7965900706306e-09
1840,5.095750932326837e-09
1841,1.0914932957462042e-08
1842,8.049918065466954e-09
1843,4.134837805480629e-09
1844,6.586273748609983e-09
1845,5.580227835366713e-09
1846,7.025401593807601e-09
1847,2.2651539310913904e-08
1848,1.850401076808339e-08
1849,5.02764896381791e-09
1850,1.0862393651223101e-08
1851,6.449438760824933e-09
1852,1.1718981340891332e-08
1853,5.971931837933653e-10
1854,1.2989160858012383e-08
1855,4.2455496895854594e-09
1856,1.346069211649592e-08
1857,1.4644527812635033e-09
1858,3.9149408159744326e-09
1859,1.018434669930457e-09
1860,9.154367819341758e-10
1861,1.131831339762357e-08
1862,2.710791813242963e-09
1863,7.491931519609807e-09
1864,3.3563094525845827e-09
1865,7.0602665935837194e-09
1866,3.8924903300596725e-09
1867,5.82337378318698e-09
1868,2.4699371437009177e-09
1869,9.767038289254515e-10
1870,3.4404292748035914e-09
1871,1.0621176826930423e-08
1872,3.0236697590169115e-09
1873,9.577607151811662e-09
1874,1.2546679251101978e-08
1875,4.005069165202713e-09
1876,9.069021977836655e-09
1877,5.566334504436554e-09
1878,9.058632954861423e-09
1879,4.887460214320072e-09
1880,7.059631101924424e-09
1881,1.1156012114099667e-08
1882,6.655385131892899e-09
1883,3.791603475633565e-09
1884,3.9610181801208455e-09
1885,5.156508553483263e-09
1886,7.744156427236248e-09
1887,1.9586774424595887e-09
1888,4.4384300679212174e-09
1889,5.012109394186837e-09
1890,4.5880703680722945e-09
1891,6.3742202627281586e-09
1892,6.268512375839919e-09
1893,9.23762488724833e-09
1894,1.764431090123253e-08
1895,5.416753268150387e-09
1896,8.845543852942228e-09
1897,1.2236098356765979e-08
1898,9.619203211741478e-09
1899,3.3165470370022376e-09
1900,5.710158568206225e-09
1901,6.706486921359556e-09
1902,9.329538919189417e-09
1903,2.430099144135056e-08
1904,1.0211787859759625e-08
1905,1.1353670004154992e-08
1906,7.201858220895474e-09
1907,2.108565766434367e-08
1908,1.5716445034286153e-08
1909,1.7603147384193107e-08
1910,3.740905363258662e-09
1911,1.0640748726586935e-08
1912,9.897900277167082e-09
1913,8.484783542428431e-09
1914,2.0090231700464756e-08
1915,2.0027295377644805e-08
1916,9.888715624128963e-09
1917,4.386569774084137e-09
1918,1.378365155346728e-08
1919,6.4454939163738345e-09
1920,6.057785384427916e-09
1921,7.572747429129834e-10
1922,1.4018077365562931e-08
1923,6.369568872344189e-09
1924,2.578324886925998e-09
1925,2.1996355847875293e-09
1926,5.57306911730393e-09
1927,1.7838759802657478e-08
1928,1.7139061725401916e-08
1929,2.4508894469477127e-08
1930,1.2604324695075775e-08
1931,5.7026783295555106e-09
1932,2.7398842306070037e-08
1933,6.882397318719313e-09
1934,9.585264137967897e-09
1935,3.590485242455088e-09
1936,7.274828739411987e-09
1937,3.5255130370615007e-08
1938,3.241303758727554e-08
1939,2.2941076593951948e-08
1940,2.5357829169792012e-09
1941,0.0
1942,2.1239483061208375e-08
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,0.0
1946,1.3921104269343232e-09
1947,2.3841741914054637e-09
1948,6.523132700664291e-09
1949,6.8719057111366055e-09
1950,8.508289184305795e-09
1951,1.1727541604500402e-08
1952,6.326882129314981e-09
1953,1.1851209791302608e-08
1954,3.9090144454689835e-09
1955,8.447047505910632e-09
1956,1.2209598665435806e-08
1957,8.835037590415595e-09
1958,9.926692356998501e-09
1959,9.300897829689347e-09
1960,5.536666680683311e-09
1961,6.94815938118154e-09
1962,2.5367825617905737e-09
1963,3.2330267352165265e-09
1964,7.300761772910391e-09
1965,7.660860390501512e-09
1966,1.2185964237687585e-08
1967,5.916402479044791e-09
1968,2.245707841908029e-09
1969,7.2668124850849836e-09
1970,5.518470125309705e-09
1971,2.569198631618974e-09
1972,4.6171320100540925e-09
1973,7.718485406371656e-09
1974,1.1813700240281833e-08
1975,8.567219822452898e-09
1976,5.713526984862938e-09
1977,5.876781727920388e-09
1978,1.128712323605896e-08
1979,7.022368020415115e-09
1980,5.116635559687666e-09
1981,6.958104314946922e-09
1982,1.2415004579935385e-09
1983,9.47297440490047e-09
1984,8.118611560803402e-09
1985,3.609334831011779e-09
1986,7.792831269171074e-09
1987,6.110816741511371e-09
1988,5.396898483667201e-09
1989,7.683371272548811e-09
1990,7.083246433836621e-09
1991,4.10302547493302e-09
1992,7.713921945651236e-09
1993,4.4313659408601325e-09
1994,5.274926717646622e-09
1995,8.675921314704738e-09
1996,8.540947504798169e-09
1997,8.630809844589749e-09
1998,1.2397135762398648e-08
1999,1.5995704316651427e-08
2000,1.3695897749244068e-08
2001,8.324302136486494e-09
2002,6.571832411594869e-09
2003,1.7084383685528337e-08
2004,1.497629043001325e-08
2005,1.0808999029165989e-08
2006,1.729513776638214e-08
2007,1.2382886716011399e-08
2008,1.830699147831183e-08
2009,1.2397300963584712e-08
2010,8.030448306328708e-09
2011,8.412738061736036e-09
2012,9.872333173177594e-09
2013,1.0319762822064149e-08
2014,1.1693403578760808e-08
2015,8.201329393386914e-09
2016,9.528164035543796e-09
2017,1.1823373391450787e-08
2018,1.0842160058643913e-08
2019,9.94885240857002e-09
