year,roues_NOUN égales_ADJ
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,1.755305234496518e-08
1804,2.7190360185613827e-08
1805,0.0
1806,3.7461699520235925e-08
1807,0.0
1808,0.0
1809,1.3554183553310395e-08
1810,4.680253518074551e-09
1811,2.5070768572277302e-08
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,3.457141417584353e-08
1819,1.449147024601416e-08
1820,2.610625848831205e-08
1821,2.9584463767662328e-09
1822,8.02049271442229e-09
1823,1.3835761869529506e-08
1824,3.8737120178211626e-08
1825,9.68598712347557e-09
1826,8.807984341885344e-10
1827,1.935627302884768e-08
1828,2.7516904310687096e-08
1829,6.001223074036943e-09
1830,5.218417697960831e-09
1831,3.897801548191637e-08
1832,4.19429042608499e-08
1833,1.2741991461950875e-08
1834,1.3068342852307069e-08
1835,2.193295500774184e-08
1836,3.091545153210973e-08
1837,1.87863058442872e-08
1838,2.651107955387033e-08
1839,3.076248944466897e-08
1840,3.3759349093998026e-08
1841,2.5040138851295524e-08
1842,7.379091471193533e-08
1843,2.0674189471492355e-08
1844,1.5367971784030487e-08
1845,2.4553003186156275e-08
1846,1.7563504428608212e-08
1847,1.1325769655456952e-08
1848,3.057184372323718e-08
1849,1.3407063903514427e-08
1850,8.82569484161877e-09
1851,7.094382858952031e-09
1852,7.161600201754936e-09
1853,1.6124216628554677e-08
1854,1.6626126253527218e-08
1855,2.175844215912548e-08
1856,1.5531567143511893e-08
1857,4.393358121745905e-09
1858,1.5170396494568195e-08
1859,9.675129142294736e-09
1860,1.6477862629926676e-08
1861,2.0750240636857598e-08
1862,1.3102160245637151e-08
1863,1.1487627737949424e-08
1864,1.342523781033833e-08
1865,8.001635798393636e-09
1866,1.1677471434268227e-08
1867,2.135237053835226e-08
1868,1.333765986544222e-08
1869,9.278686263769487e-09
1870,5.160643912205387e-09
1871,1.0621176826930423e-08
1872,1.5118347462816928e-08
1873,1.855661402316855e-08
1874,2.9275584623178474e-08
1875,5.149374260327022e-09
1876,4.232210137899983e-09
1877,2.4739263970730008e-09
1878,1.268208649207736e-08
1879,3.665595160740054e-09
1880,7.059631101924424e-09
1881,6.2752567586699115e-09
1882,5.324308105514319e-09
1883,6.951272890631799e-09
1884,9.902545450302114e-09
1885,4.511945039809007e-09
1886,1.0325542199041138e-08
1887,9.140494583448344e-09
1888,1.014498351992188e-08
1889,3.759081934617825e-09
1890,9.831579994568074e-09
1891,3.824532157636895e-08
1892,1.8805536683430546e-08
1893,7.390100087434348e-09
1894,8.192000855444803e-09
1895,1.5046536461227333e-08
1896,1.2973464080801023e-08
1897,1.2818770045441852e-08
1898,5.092519295146758e-09
1899,4.9748205555033564e-09
1900,8.824790675987515e-09
1901,5.58873880507349e-09
1902,4.0264328760031276e-08
1903,1.9980815224585058e-08
1904,2.6873125946735854e-08
1905,1.0321517862621477e-08
