year,telles_ADJ oies_NOUN,telles_ADJ lois_NOUN
1800,0.0,9.432493186523061e-08
1801,0.0,6.191074675143682e-08
1802,0.0,2.506380951672327e-07
1803,0.0,6.631153581793114e-08
1804,0.0,2.2988213288499537e-07
1805,0.0,1.3930100806192058e-07
1806,0.0,9.509508203109363e-08
1807,0.0,4.555128185756985e-08
1808,0.0,1.4276265858370607e-07
1809,0.0,1.7394535234416253e-07
1810,0.0,4.914266327205041e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,6.13457871168066e-08
1813,0.0,7.764502640839055e-08
1814,0.0,9.44003133440674e-08
1815,0.0,5.1247248222807684e-08
1816,0.0,9.965696534663948e-08
1817,0.0,1.3856173097792635e-07
1818,0.0,1.6689648418832803e-07
1819,0.0,1.811433776310878e-07
1820,0.0,2.75302369345809e-07
1821,0.0,2.169527419937367e-07
1822,0.0,2.7269675229035784e-07
1823,0.0,1.8085316355609393e-07
1824,0.0,1.4989581131885643e-07
1825,0.0,1.3032055790063168e-07
1826,0.0,1.4268934478423034e-07
1827,0.0,1.8895410391905898e-07
1828,0.0,1.5317742452225502e-07
1829,0.0,2.5890992105814803e-07
1830,0.0,2.0351829732589977e-07
1831,0.0,9.978371906527173e-08
1832,0.0,1.461236678323985e-07
1833,0.0,8.91939393454777e-08
1834,0.0,9.054495109239724e-08
1835,0.0,1.3840451629221207e-07
1836,0.0,1.1828520030121581e-07
1837,0.0,1.1897993346110525e-07
1838,0.0,1.3823634503751236e-07
1839,0.0,8.110111338055503e-08
1840,0.0,1.7962521781100804e-07
1841,0.0,1.3033714196808432e-07
1842,0.0,1.6770663080478698e-07
1843,0.0,1.7011903707953024e-07
1844,0.0,1.8825765835117636e-07
1845,0.0,1.3783163410607813e-07
1846,0.0,1.539733887057082e-07
1847,0.0,1.5478552484182728e-07
1848,0.0,1.407913856610321e-07
1849,0.0,1.61722709890455e-07
1850,0.0,1.0930283877996771e-07
1851,0.0,1.1673483868435142e-07
1852,0.0,2.1354588852773304e-07
1853,0.0,9.674529621861438e-08
1854,0.0,9.611979123747005e-08
1855,0.0,1.0560805208115198e-07
1856,0.0,1.0613237577672407e-07
1857,0.0,7.51752367023073e-08
1858,0.0,8.368186144025458e-08
