year,pertes_NOUN égales_ADJ
1800,3.144164484325529e-09
1801,4.7623650800687756e-08
1802,2.2378401354217203e-09
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,5.76333825108577e-09
1807,2.2775640928784924e-08
1808,0.0
1809,1.3554183553310395e-08
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,5.751483289628823e-09
1814,3.4613449884091096e-08
1815,7.552225866902518e-08
1816,4.6352077731626196e-09
1817,2.6466848268569265e-08
1818,8.344824387052086e-09
1819,4.140420006848444e-09
1820,9.493184904840746e-09
1821,2.9584463767662328e-09
1822,0.0
1823,4.941343334508019e-09
1824,4.378978601948802e-08
1825,8.805443263426582e-09
1826,1.4092774947016551e-08
1827,7.373818444733615e-09
1828,2.659967357487858e-08
1829,1.2859763920403111e-08
1830,5.218417697960831e-09
1831,7.795603274018958e-09
1832,2.705993873419743e-09
1833,4.6334514003376626e-09
1834,8.401078055442213e-09
1835,7.563087933704082e-10
1836,1.0753200108126748e-08
1837,1.3915782304252389e-08
1838,1.199310784016916e-08
1839,1.3982949909063791e-08
1840,2.1019973317493168e-08
1841,1.4125206782011901e-08
1842,3.3541326160957396e-08
1843,1.9492807368237663e-08
1844,9.879410178825765e-09
1845,5.022205318283568e-09
1846,3.5127007969038004e-09
1847,2.1572894581822766e-09
1848,1.6090443422100975e-09
1849,6.7035317297126085e-09
1850,1.0183494048021657e-08
1851,1.5478653248024443e-08
1852,5.208436348880241e-09
1853,1.3138249599364826e-08
1854,2.0263091204952843e-08
1855,1.1675261646360013e-08
1856,3.6240324075009767e-09
1857,8.78671624349181e-09
1858,1.1744822003834088e-08
1859,1.0693564256314403e-08
1860,1.9681891672007623e-08
1861,1.6034276129062164e-08
1862,1.445755604123633e-08
1863,6.493007020935693e-09
1864,8.63051052846231e-09
1865,7.530951195988678e-09
1866,9.731225603104576e-09
1867,6.308654931785895e-09
1868,4.44588676984381e-09
1869,4.883519366671862e-09
1870,6.307453670473251e-09
1871,1.911811864374613e-08
1872,1.0885210954825197e-08
1873,4.1902030178953e-09
1874,2.9873046258899194e-09
1875,2.2886109007913547e-08
1876,1.813804439976252e-09
1877,9.895705588292003e-09
1878,1.328599530392438e-08
1879,4.887460214320072e-09
1880,5.134277003548959e-09
1881,3.4862537301449947e-09
1882,3.9932310791357395e-09
1883,5.687405213450347e-09
1884,3.9610181801208455e-09
1885,9.023890079618013e-09
1886,7.098810428374236e-09
1887,0.0
1888,1.9021844099853524e-09
1889,8.771191772893872e-09
1890,3.2771931834929546e-09
1891,1.6572972327821844e-08
