year,vos_DET êtres_NOUN,vos_DET lettres_NOUN
1800,0.0,1.1256109431201367e-06
1801,0.0,5.962481225196825e-06
1802,1.3427040812530322e-08,1.940207425832341e-06
1803,0.0,2.9021047467381322e-06
1804,0.0,2.5682530520043656e-06
1805,0.0,3.127165406624499e-06
1806,0.0,9.221340960152702e-06
1807,2.8469551160981155e-09,9.9074037152036e-07
1808,1.3596443970698147e-08,2.1233112432739176e-06
1809,0.0,2.735685898480611e-06
1810,7.020380277111826e-09,3.2504360554241885e-06
1811,1.2535384286138651e-08,1.9630410825755007e-06
1812,2.6672082320544632e-09,3.438031328073521e-06
1813,0.0,2.1740608007192463e-06
1814,0.0,1.0100833520709784e-06
1815,0.0,1.2029617142417237e-06
1816,0.0,1.237600525172411e-06
1817,0.0,4.402838200689985e-06
1818,8.344824387052086e-09,4.9449044889904314e-06
1819,1.035105001712111e-09,2.7326772773506036e-06
1820,1.1866481131050932e-09,4.779818468136909e-06
1821,3.94459531705138e-09,5.527364139723545e-06
1822,3.0076847679083585e-09,4.811293138118344e-06
1823,0.0,3.5874153736514813e-06
1824,1.6842225392110777e-09,5.180668310345027e-06
1825,0.0,2.8362332358256026e-06
1826,0.0,3.7909564714055932e-06
1827,0.0,1.781698826697209e-06
1828,0.0,2.5306379427547654e-06
1829,4.286587973467704e-09,1.4651558122302788e-06
1830,0.0,2.877435584025534e-06
1831,0.0,2.7019560242536045e-06
1832,6.764984572527055e-09,3.018536084198331e-06
1833,0.0,2.3352594524794767e-06
1834,0.0,2.076933021122329e-06
1835,1.5126175867408165e-09,2.1713625315555873e-06
1836,1.3441500135158435e-09,3.320722657740305e-06
1837,0.0,3.3773602918785173e-06
1838,6.312161904276081e-10,3.248238426900585e-06
1839,1.3982950353153e-09,3.382475636470872e-06
1840,0.0,1.703254703500079e-06
1841,0.0,2.071911036516383e-06
1842,0.0,1.9641799813285843e-06
1843,0.0,2.6203057386098294e-06
1844,0.0,1.8875161806874985e-06
1845,0.0,2.0261806641386215e-06
1846,5.854501328173001e-10,2.36580393320196e-06
1847,0.0,1.1649363091947862e-06
1848,3.218088684420195e-09,1.4988247816205558e-06
1849,0.0,1.149655735943611e-06
1850,0.0,2.099836570401692e-06
1851,6.449438760824933e-10,1.7774652860680362e-06
1852,0.0,2.0814214174436074e-06
1853,0.0,2.5553897184948937e-06
1854,3.63696517347023e-09,2.399877317316168e-06
1855,1.0613874223963649e-09,2.161515496368338e-06
1856,2.0708756931497874e-09,2.2836582207474976e-06
1857,4.881509085841174e-10,2.0150868476065398e-06
1858,1.468102750479261e-09,2.8740558803974636e-06
1859,6.110608019582742e-09,2.52622716701012e-06
1860,4.577183909670879e-10,2.3014079673089327e-06
1861,0.0,3.3124929679217985e-06
1862,9.035972525772706e-10,5.234990504199288e-06
1863,4.994620828036034e-10,3.7604500962018506e-06
1864,3.3563094525845827e-09,3.510699910336257e-06
1865,0.0,3.901503255576699e-06
1866,2.432806400776144e-09,2.7412862610987077e-06
1867,9.7056229719783e-10,2.483183683565926e-06
1868,0.0,2.1231577997937734e-06
1869,4.883519144627257e-10,2.058403313576207e-06
1870,2.2936195165357276e-09,1.9725127309300206e-06
1871,6.37270636261178e-09,1.2448019268695987e-06
1872,6.047339295989218e-10,2.084517908063077e-06
1873,1.7958013409646867e-09,2.0370373645661743e-06
1874,5.974609140757536e-10,1.890963739370477e-06
1875,1.1443054281912168e-09,2.4247832008938985e-06
1876,1.209202959984168e-08,2.727961824433578e-06
1877,0.0,2.540103842818553e-06
1878,0.0,1.7006074148895323e-06
1879,1.832797580370027e-09,1.6782315981345164e-06
1880,0.0,3.266041954219645e-06
1881,0.0,2.6265435835171047e-06
1882,6.655385131892899e-10,2.29743884005984e-06
1883,6.319338941018771e-10,2.2193519493285407e-06
1884,0.0,1.515089484982468e-06
1885,0.0,1.4148170213168498e-06
1886,6.453463874400711e-10,1.2642335427415219e-06
1887,6.528924623161458e-10,1.6348427207546479e-06
1888,3.1703073499755874e-09,1.6631432879776753e-06
1889,3.132568426877924e-09,1.974771070223369e-06
1890,1.9663159989136147e-09,1.5704309568320696e-06
1891,1.2748440081367107e-09,1.2863175502531021e-06
1892,0.0,1.2023006394912272e-06
1893,0.0,1.3991922376277444e-06
1894,1.2603078580752936e-09,1.2067448196262376e-06
1895,0.0,1.4986350032053508e-06
1896,5.89702897624278e-10,1.3120889139628389e-06
1897,5.826713556089658e-10,1.5568978817270818e-06
1898,5.6583548957434e-10,1.3732827444101758e-06
1899,3.3165470370022376e-09,1.337673921852911e-06
1900,0.0,1.2396235438139058e-06
1901,1.1177477832191585e-09,1.0160327272856762e-06
1902,1.9641135384773634e-09,1.1470423331161328e-06
1903,1.6200660812870638e-09,1.2037091359218266e-06
1904,0.0,1.1082477664459134e-06
1905,5.160758931310738e-09,1.1374312740564108e-06
1906,0.0,1.5586879165141454e-06
1907,1.028568674676933e-09,1.1067399316999627e-06
1908,4.911389073214423e-10,1.3211636566978768e-06
1909,0.0,1.4302556845535719e-06
1910,3.206490406526541e-09,1.4397141994137996e-06
1911,2.128149656499545e-09,1.4700193373684556e-06
1912,5.209421227725386e-10,2.2759960920382127e-06
1913,3.1817937728995105e-09,1.250975284250444e-06
1914,2.0090231700464756e-09,1.2824263713184791e-06
1915,4.712304768617059e-09,8.058040916747444e-07
1916,2.197492410260793e-09,8.778982101276256e-07
1917,7.676497326691845e-09,9.79301701509172e-07
1918,4.594550517822427e-09,9.533692288954398e-07
1919,8.287063479883727e-09,7.495188825146215e-07
1920,3.786115865267448e-09,9.541011998237536e-07
1921,0.0,9.965735534578357e-07
1922,9.591316185719734e-09,1.178994107675635e-06
1923,0.0,1.1263520711679575e-06
1924,0.0,1.2530658519693816e-06
