year,défenses_NOUN égales_ADJ,défenses_NOUN légales_ADJ
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,2.0239355080775567e-08,7.784366928831332e-09
1818,0.0,0.0
1819,4.140420006848444e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,2.0051231786055723e-09,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,5.283265824829186e-09,4.4027217427355936e-09
1826,0.0,4.403992281964975e-09
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,6.001223074036943e-09
1830,0.0,1.0436835840010872e-09
1831,0.0,1.7150327380477393e-08
1832,0.0,9.470978667991403e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,0.0
1835,0.0,2.2689263801112247e-09
1836,6.720750067579218e-10,0.0
1837,0.0,6.957890930081589e-10
1838,0.0,3.787297142565649e-09
1839,0.0,0.0
1840,0.0,7.64362617644565e-09
1841,0.0,3.2102742686390684e-09
1842,0.0,3.3541325272778977e-09
1843,0.0,5.31621990873532e-09
1844,0.0,2.195424508855126e-09
1845,0.0,1.2276501593078137e-08
1846,0.0,3.5127007969038004e-09
1847,0.0,9.168480197274675e-09
1848,0.0,0.0
1849,0.0,8.379414939696517e-10
1850,0.0,1.3577992064028876e-09
1851,0.0,3.031236062156495e-08
1852,0.0,6.510545436100301e-10
1853,0.0,1.7915795513800958e-09
1854,0.0,7.27393034694046e-09
1855,0.0,2.1227748447927297e-09
1856,0.0,4.141751386299575e-09
1857,0.0,9.763018171682347e-10
1858,0.0,5.3830437884982985e-09
1859,0.0,2.5460866748261424e-09
1860,0.0,1.0069804545764782e-08
1861,0.0,3.3011746669586728e-09
1862,0.0,0.0
1863,0.0,3.995696662428827e-09
1864,0.0,6.712618905169165e-09
1865,0.0,1.0825742080555756e-08
1866,0.0,1.9462451650298362e-09
1867,0.0,1.455843445796745e-09
1868,0.0,1.4819622196071691e-09
1869,0.0,1.0743741896135361e-08
1870,0.0,9.747882501187632e-09
