year,leurs_DET âmes_NOUN,leurs_DET ames_NOUN,leurs_DET lames_NOUN
1800,3.04983969190431e-07,1.2042149819535553e-06,3.1127228794503026e-07
1801,1.9763816005990975e-07,1.959713259225282e-06,4.4528113107844547e-07
1802,2.394488944901241e-07,1.3113743477788375e-06,2.193083332713286e-07
1803,4.524786945125925e-07,1.2696708135973012e-06,2.145373123596528e-07
1804,2.71903616066993e-07,1.5597379068310602e-06,1.2853624298259092e-07
1805,2.5585898111302185e-07,1.0888221131377662e-06,2.9281639513101254e-07
1806,2.7087691023552907e-07,9.826491611519828e-07,1.9595350408962986e-07
1807,3.3594069215325817e-07,1.3836202086281446e-06,3.957267722398683e-07
1808,5.07600597998703e-07,1.1307709417707201e-06,2.447359861434961e-07
1809,2.7560172299878616e-07,1.5225865332979538e-06,5.873479480555943e-08
1810,3.8612091124434755e-07,1.7363740991704901e-06,6.786367778843783e-08
1811,4.3873842070496494e-07,9.251113444186387e-07,1.0028307251275237e-07
1812,5.867858128283387e-07,7.228134215608861e-07,2.6138641828765685e-07
1813,4.3423699946920635e-07,6.355389150503044e-07,2.386865673997818e-07
1814,6.356287745035161e-07,8.433094897952742e-07,3.776012658107675e-08
1815,6.041780924448403e-07,6.33847548670019e-07,1.0519171667056071e-07
1816,8.482430189360457e-07,1.11013225456702e-06,1.9931393069327896e-07
1817,1.019752073005975e-06,8.67178501118282e-07,1.214361304846534e-07
1818,7.569947459984405e-07,9.25083367464552e-07,2.1815754003284837e-07
1819,1.3663385880491319e-06,6.531512509733162e-07,1.0351050150347874e-07
1820,1.1830881128105375e-06,8.448934538662911e-07,1.4714436247231788e-07
1821,1.1035005913484497e-06,9.368413829147215e-07,2.1892503887510628e-07
1822,1.2040764119092273e-06,9.514309198266346e-07,1.744457165386848e-07
1823,7.846853398163489e-07,1.153309519441592e-06,1.0277994277885227e-07
1824,8.522165888535937e-07,1.3945362820066975e-06,1.625274705929769e-07
1825,1.3181748492741008e-06,1.1587962518433415e-06,1.3032055168338275e-07
1826,1.2049322064555668e-06,9.900174373633774e-07,6.95830753016935e-08
1827,9.364749384843662e-07,7.373818302625068e-07,9.862482475142542e-08
1828,1.1676339859434393e-06,8.887960032955e-07,9.539193257523948e-08
1829,8.418859094305731e-07,7.827309849162134e-07,1.2259641657408338e-07
1830,8.756505387452762e-07,9.414026120868613e-07,1.179362472125689e-07
1831,7.390231484549759e-07,8.247748013445744e-07,2.650505175338935e-07
1832,7.536193091794985e-07,7.130293929735743e-07,1.7318360356899376e-07
1833,8.259127000087574e-07,9.880835118991627e-07,1.204697399614929e-07
1834,8.979818986176724e-07,8.494423215932301e-07,1.3255034048142988e-07
1835,1.1079923893930754e-06,9.098394500028917e-07,1.3008511245971022e-07
1836,1.2050304576405324e-06,1.1902448115996833e-06,9.073012741112052e-08
1837,1.2468540049326293e-06,6.018575697819273e-07,1.1202204497351431e-07
1838,1.1911049409008e-06,6.0154902414844e-07,1.0730675148451496e-07
1839,1.2207115638318555e-06,5.872839321519052e-07,1.0766871705314429e-07
1840,1.7745953133641024e-06,3.063820236404169e-07,8.790170369366024e-08
1841,1.6680584664641174e-06,3.1974330916284543e-07,1.4061001252230199e-07
1842,1.7085951391493381e-06,3.857252384165122e-07,1.7173157873529021e-07
1843,1.7726639924831034e-06,3.5618673410731105e-07,7.206431762440957e-08
1844,2.1010213409056178e-06,2.804654815058427e-07,7.519328637517475e-08
1845,1.862680058195565e-06,2.3548561484121322e-07,1.0435025965538358e-07
1846,1.8113826989463178e-06,2.0783480181307823e-07,6.439951505399222e-08
1847,1.5758999687420783e-06,2.1195369193094393e-07,1.1865092020002521e-07
1848,1.4400946817261229e-06,2.856053729072272e-07,5.068489578041735e-08
1849,1.4764529474575738e-06,1.6339858888159142e-07,5.781796375003978e-08
1850,1.3951387174415686e-06,2.260735687542592e-07,6.585326151054005e-08
1851,1.4027529715576748e-06,1.6446069439624011e-07,4.385618312952033e-08
1852,1.764357866917976e-06,1.9922268590377712e-07,7.422021752745422e-08
1853,1.696028590458809e-06,1.3138249999045115e-07,8.002388796057858e-08
1854,1.8730370179298461e-06,2.3120706416079884e-07,9.560022284915703e-08
1855,1.999653996165307e-06,2.573864463784048e-07,5.837630823180007e-08
1856,2.1179881670718714e-06,2.2106598418503154e-07,5.2807330064297275e-08
1857,1.920873852867544e-06,3.295018546900508e-07,4.979139167637925e-08
1858,1.8718310954568551e-06,3.704512696600659e-07,5.4809173144487744e-08
1859,2.002751784857537e-06,1.3137807153285053e-07,6.263373020232166e-08
1860,1.8070721843344018e-06,1.0252891699535915e-07,9.06282391355262e-08
1861,1.9146812668680013e-06,1.4572327922124373e-07,6.460870105584604e-08
1862,1.8840003122022608e-06,1.4909355372516586e-07,8.584174171488712e-08
1863,1.8430151023096641e-06,1.578300213300743e-07,8.091285685907224e-08
1864,1.8555597591785045e-06,1.6302075156460205e-07,6.616724590458034e-08
1865,1.873794737150547e-06,1.7791871886885247e-07,6.589582257632287e-08
1866,1.947218194686684e-06,1.153150238630829e-07,5.449486428776851e-08
1867,1.6358827856777225e-06,8.346835578265654e-08,6.163070587206221e-08
1868,1.599531174178992e-06,1.2399084114989023e-07,4.791677810089823e-08
1869,1.7087433015205988e-06,8.204312462734009e-08,9.034510384253736e-08
1870,1.5997995674865706e-06,8.142349461337517e-08,4.529898633975904e-08
1871,1.100353969718526e-06,7.328612317003547e-08,6.26649443447036e-08
1872,1.4332194666621945e-06,9.978110149244657e-08,5.382131940123713e-08
1873,1.3947390016255667e-06,1.0774808351099452e-07,8.859286415585643e-08
1874,1.4327112332068737e-06,9.559374530843101e-08,4.182226254201282e-08
1875,1.360579162223985e-06,1.602027601133038e-07,5.092159111041994e-08
1876,1.2684538646112742e-06,1.052006610713363e-07,4.5345111665540117e-08
1877,1.4138489596859927e-06,1.4905406864329507e-07,4.762308236649915e-08
1878,1.162524533526721e-06,1.4856158414566778e-07,5.3747888362210006e-08
1879,1.438746085824505e-06,1.539549978613053e-07,6.720257528236573e-08
1880,1.2578978498822835e-06,8.40737852669804e-08,6.931273666133109e-08
1881,1.156738974827931e-06,1.0528486044103502e-07,8.227559078477498e-08
1882,1.317766272990184e-06,9.117877586284351e-08,5.790185220178046e-08
1883,1.2347988729288772e-06,9.036654724514648e-08,5.6874050913258145e-08
1884,1.2239546443026939e-06,1.0694749263961967e-07,8.912290638818376e-08
