year,deux_DET oies_NOUN,deux_DET lois_NOUN
1800,3.458580932758082e-08,2.546773245626355e-07
1801,5.23860170797974e-08,4.3099405999669216e-07
1802,1.1860552717735118e-07,2.64065135979763e-07
1803,9.751696339321825e-09,4.50528354178914e-07
1804,7.4155528384522995e-09,6.748152827640297e-07
1805,5.970043304159844e-08,3.4114533420392945e-07
1806,5.76333825108577e-09,3.0833859909762396e-07
1807,0.0,4.3843109054364504e-07
1808,2.039466551195801e-08,4.804076816355973e-07
1809,4.518061036407062e-09,4.743964154840796e-07
1810,2.3401266702194334e-08,6.786367876543409e-07
1811,0.0,3.5851198276759533e-07
1812,7.468182872116813e-08,4.694286559470129e-07
1813,2.8757416448144113e-09,3.5659197550330646e-07
1814,9.440031423224582e-09,3.7445456868567817e-07
1815,2.697223555614414e-09,4.1806963935187014e-07
1816,1.622322720606917e-08,3.9862787559741264e-07
1817,7.784366928831332e-09,4.0478708385194295e-07
1818,9.536941902865692e-09,4.5777320423212586e-07
1819,1.6561680027393777e-08,6.85239513131819e-07
1820,3.322614805512103e-08,5.221251946352368e-07
1821,1.577838126820552e-08,4.88143676591335e-07
1822,1.604098542884458e-08,5.263448059622533e-07
1823,3.95307486744656e-09,3.9333093937443664e-07
1824,1.2631669044083083e-08,4.816876462143682e-07
1825,1.1447076175841175e-08,3.3284573319747324e-07
1826,1.8496766784892316e-08,4.5184958352706417e-07
1827,9.217273166939322e-09,6.516612316431747e-07
1828,0.0,5.191522696179618e-07
1829,2.914879759785549e-08,5.195344705555272e-07
1830,1.982998831806526e-08,5.969870038313729e-07
1831,6.236482441579483e-09,4.5214497390588804e-07
1832,2.1647950210201827e-08,6.061426276460224e-07
1833,2.548398292390175e-08,3.984768248699311e-07
1834,1.7735608537350345e-08,5.00330862962528e-07
1835,2.2689263801112247e-09,4.726930029619325e-07
1836,4.099657546774438e-08,3.9854047528820047e-07
1837,1.5307360268224102e-08,4.891397260564645e-07
1838,2.651107999795954e-08,4.3617038514298656e-07
1839,1.2584655206815398e-08,5.061828005636926e-07
1840,1.2102408297742784e-08,5.248623544673592e-07
1841,3.980740226339208e-08,3.9036936527736543e-07
1842,2.4149754196400863e-08,5.024490619121025e-07
1843,6.497602011990011e-09,5.050409015439072e-07
1844,3.293136902060567e-08,5.054964873352219e-07
1845,2.678509469777879e-08,5.290056108719909e-07
1846,8.781752214304106e-09,4.408439622238802e-07
1847,2.8044763844548015e-08,6.310071682946727e-07
1848,8.84974404868899e-09,6.235047038671837e-07
1849,1.5920887941334172e-08,6.368355620622879e-07
1850,5.431196825611551e-09,7.15560190656106e-07
1851,1.3543821175687754e-08,5.565865706103068e-07
1852,1.5625309490729933e-08,5.625111469953481e-07
1853,9.555090940693844e-09,6.079426597693782e-07
1854,2.4419623212423858e-08,4.795598407270063e-07
1855,2.1227748447927297e-08,5.455531244535905e-07
1856,8.28350277259915e-09,5.917527161614089e-07
1857,1.757343248698362e-08,4.652078082756361e-07
1858,1.4681027893370668e-08,5.745175926108459e-07
1859,2.7497735644033128e-08,6.523074027597886e-07
1860,3.4328881071132855e-08,6.115117443528106e-07
1861,1.6034276573151374e-08,5.880806881464196e-07
1862,3.388489855371546e-08,7.011914746613002e-07
1863,2.7969877358646755e-08,5.973566281625153e-07
1864,2.1096803748399395e-08,6.022178098419317e-07
1865,3.9066808454890634e-08,5.262252074089702e-07
1866,2.6274310116480848e-08,6.169597099869861e-07
1867,2.2808213984149006e-08,5.968958234348065e-07
1868,2.321740799615668e-08,6.332918474072358e-07
1869,1.0743742229202269e-08,6.197185840051134e-07
1870,4.013834153937523e-09,6.055155523654321e-07
1871,2.6552942955504477e-08,6.457675780779937e-07
1872,1.2699412743621963e-08,5.714735848982855e-07
1873,2.514121905106137e-08,6.12966850610519e-07
1874,1.732636678575261e-08,5.83121853026114e-07
1875,1.2015207495608138e-08,7.2491749136816e-07
1876,3.023007311142578e-08,6.299947159504882e-07
1877,1.0514187187560253e-08,7.162016828488049e-07
1878,2.1136809524868738e-08,6.854365892650094e-07
1879,3.299035578052667e-08,6.927974993686803e-07
1880,1.7969970178555172e-08,6.353667814096298e-07
1881,2.6495528548942104e-08,6.665717222631429e-07
1882,2.5956002014382307e-08,6.482344900859971e-07
1883,5.2450515042323786e-08,6.376212908776324e-07
1884,1.3203393933736152e-08,6.053756251844788e-07
1885,2.2559724921489277e-08,6.793699895979444e-07
1886,1.097088819790315e-08,6.298580714769741e-07
1887,1.566941915109865e-08,6.084957959728854e-07
1888,2.4094334971636044e-08,6.866885442491366e-07
1889,2.380751940034287e-08,5.707539685317897e-07
1890,6.554386366985909e-09,8.284744552611301e-07
1891,2.7409145841872373e-08,7.540702142705413e-07
1892,2.4447198931909497e-08,6.782530590498936e-07
1893,1.8475249941030114e-08,6.614139422822518e-07
1894,2.3315695596437536e-08,7.278278104649871e-07
1895,4.032471756509892e-08,6.644550509804503e-07
1896,2.5357223876198987e-08,7.477432575342391e-07
1897,4.4283022804236793e-08,6.904655549533345e-07
1898,1.867257115595322e-08,7.672729509522469e-07
1899,8.291367592505594e-09,6.069280971132684e-07
1900,2.3359739032002835e-08,5.64786603263201e-07
1901,2.0678334156087885e-08,7.528031247261424e-07
1902,1.8659078282468045e-08,5.897250829889344e-07
1903,1.8360748255119574e-08,6.998685577741526e-07
1904,3.815983884436491e-08,6.390429092562044e-07
1905,7.741138396966107e-09,7.111525803793484e-07
1906,3.3951617239846854e-08,6.630853732758624e-07
1907,2.1085658274966335e-08,7.513694129102078e-07
1908,2.4065805792616857e-08,6.517413311257769e-07
1909,3.960708327976903e-08,6.854225631514055e-07
1910,1.2825962070195374e-08,7.50318747577694e-07
1911,2.128149700908466e-08,6.107789261022845e-07
1912,2.9693701220079305e-08,6.157535636930334e-07
1913,1.8560464554173706e-08,6.69767608485472e-07
1914,3.683208982252495e-08,6.529325276005693e-07
1915,2.4739600035239562e-08,5.07750826272968e-07
1916,1.8678685265172135e-08,6.021129479449883e-07
1917,3.728584163642523e-08,6.612753828960649e-07
1918,1.722956533001252e-08,5.881024875975527e-07
1919,1.0128633542993981e-08,5.846983697210817e-07
1920,8.329454903588385e-09,6.451541523233573e-07
1921,8.330022005509363e-09,6.959355118851818e-07
1922,1.7707045385506603e-08,6.094174622717219e-07
1923,1.0615948120573648e-08,6.656199360577375e-07
1924,2.1915761205804074e-08,6.471595526136298e-07
1925,2.3096173862313663e-08,6.323952312925485e-07
1926,3.343841470382358e-08,5.963184150914458e-07
1927,2.2298449531277242e-08,6.054029029201047e-07
1928,2.5137290915466792e-08,6.581399603078353e-07
1929,1.1140406153131721e-08,6.338891225254883e-07
1930,1.575540586884472e-08,6.470219773291319e-07
1931,9.124285327288817e-09,7.071321093121696e-07
1932,1.5343351700281005e-08,5.479768176996913e-07
1933,1.7205993074753678e-08,4.427675719398394e-07
1934,2.3963160344919743e-08,5.152079438630608e-07
1935,2.752705441366743e-08,4.583852692974233e-07
1936,1.333718646634452e-08,5.528869664317426e-07
1937,2.0145789370040745e-08,5.061629515523691e-07
1938,6.4826072287971215e-09,5.147190229592979e-07
1939,1.5294050470515685e-08,5.123506880977402e-07
1940,2.0286263113789005e-08,6.795898315203885e-07
1941,2.6563524713196784e-08,3.3351979311646573e-07
1942,2.1239482617119165e-08,5.09747593469001e-07
1943,2.0322646676618206e-08,3.8322703588278273e-07
1944,1.927911696952833e-08,5.141097858540888e-07
1945,1.089252066321933e-08,4.444148160587247e-07
1946,1.1136883415474585e-08,3.7586980994319674e-07
1947,3.5762612871081956e-09,4.506089155142945e-07
1948,5.435944139264848e-09,4.4574740698521964e-07
1949,1.079870937115146e-08,6.233800036170578e-07
1950,1.4889506294579746e-08,5.338951609701326e-07
1951,1.4925962910083967e-08,4.189930891129734e-07
1952,8.43584291310151e-09,5.082595357919217e-07
1953,1.4005975490505307e-08,4.665067265818834e-07
1954,1.9545072449389522e-08,4.3096883928228635e-07
1955,2.9095383879962355e-08,4.74911743708617e-07
1956,1.2209597999301991e-08,4.927445118596552e-07
1957,1.7670074847764283e-08,4.81509559335791e-07
1958,1.9026159758794847e-08,4.3181112374668373e-07
1959,1.860179499324488e-08,4.4566798607093006e-07
1960,2.2838750723952472e-08,4.380887403954148e-07
1961,1.5980766210343944e-08,3.6755761811946286e-07
