year,vingt - deux livres
1800,1.4468027176306464e-07
1801,1.5689897026049948e-07
1802,9.361316277711751e-08
1803,7.928565715076275e-08
1804,1.0873621736351424e-07
1805,2.4977881096788224e-08
1806,9.795788002975314e-08
1807,9.656340438368716e-08
1808,1.0458622057285538e-07
1809,7.90706948805564e-08
1810,1.0513590353866675e-07
1811,1.8211402164070023e-07
1812,1.3436217116691296e-07
1813,4.405891829151187e-08
1814,7.910571131475308e-08
1815,9.756178087627632e-08
1816,6.079537850922634e-08
1817,2.490940411714604e-07
1818,2.697878412893928e-07
1819,5.653045320741512e-08
1820,7.380774125209655e-08
1821,1.4148422189386167e-07
1822,6.907800553790366e-08
1823,5.2899771674219664e-08
1824,1.240317679673808e-07
1825,6.919707074004577e-08
1826,7.400155543901832e-08
1827,8.551556085478751e-08
1828,9.22125948932262e-08
1829,6.930465445975642e-08
1830,5.9352387893341074e-08
1831,9.24182046446731e-08
1832,4.29961914960586e-08
1833,5.1962498304192195e-08
1834,1.3297366763254104e-07
1835,8.797582085051658e-08
1836,1.3879194987742594e-07
1837,7.818717739915826e-08
1838,1.0392187022034705e-07
1839,1.5132306052656475e-07
1840,1.0646565018479492e-07
1841,1.5162747502017737e-07
1842,7.335207818925937e-08
1843,9.874893069916624e-08
1844,8.437403398176002e-08
1845,1.0004663808516057e-07
1846,1.5503982808695582e-07
1847,7.539967583625184e-08
1848,7.399573576094554e-08
1849,3.486200483848734e-08
1850,9.659086608326817e-08
1851,5.364512389860465e-08
1852,1.1484986828236288e-07
1853,8.955747921035595e-08
1854,4.546547183181815e-08
1855,7.679479807620737e-08
1856,7.032213744651017e-08
1857,8.880497404106791e-08
1858,5.0393285988548087e-08
1859,7.079310776481051e-08
1860,1.3899810369366605e-07
1861,6.093335969126201e-08
1862,1.0842876696504078e-07
1863,1.2829315210183267e-07
1864,9.65915303297038e-08
1865,6.604295066381383e-08
1866,8.436104081965823e-08
1867,1.0486963641920255e-07
1868,7.519777067699351e-08
1869,8.946711460566803e-08
1870,8.796603978566964e-08
1871,2.5662837188633603e-08
1872,5.439479533464464e-08
1873,4.657901464533154e-08
1874,4.6541664744381706e-08
1875,8.67601900877979e-08
1876,2.7360224308381476e-07
1877,6.807559949084663e-08
1878,7.24505255789154e-08
1879,6.787734491142672e-08
1880,8.763058745309138e-08
1881,7.914924537999468e-08
1882,6.448317435570061e-08
1883,4.597962188768179e-08
1884,4.2921570297949074e-08
1885,5.965750204950382e-08
1886,6.613660330501148e-08
1887,7.850860528346715e-08
1888,5.730995944475126e-08
1889,8.089452308013279e-08
1890,9.90369496411958e-08
1891,4.1460523902969726e-08
1892,8.300626319623916e-08
1893,3.60025929069252e-08
1894,4.662402375288366e-08
1895,5.3799856847280836e-08
1896,8.650791016862058e-08
1897,5.539983760627365e-08
1898,6.242592553995507e-08
1899,6.649447414908138e-08
1900,5.391844126734213e-08
1901,4.193795200002626e-08
1902,5.299009453452186e-08
1903,3.338155712961921e-08
1904,3.3830793388922586e-08
1905,4.216443016957783e-08
1906,5.732413654868651e-08
1907,8.014002489398209e-08
