year,frères_NOUN égaux_ADJ
1800,1.2576657937302116e-08
1801,0.0
1802,2.2378401354217203e-09
1803,5.655983770225248e-08
1804,0.0
1805,0.0
1806,2.881669125542885e-08
1807,0.0
1808,2.039466595604722e-08
1809,9.036122072814123e-09
1810,2.3401267590372754e-09
1811,0.0
1812,2.6672082320544632e-09
1813,3.738464116054274e-08
1814,0.0
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,0.0
1818,3.5763532135746345e-09
1819,2.2772310259711048e-08
1820,4.746592452420373e-09
1821,9.86148829262845e-10
1822,2.0051231786055723e-09
1823,9.882686669016039e-09
1824,1.6842225392110777e-09
1825,8.805443041381977e-10
1826,6.1655889282974385e-09
1827,0.0
1828,4.586150570418113e-09
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,6.764984683549358e-09
1833,4.6334514003376626e-09
1834,4.667265685043276e-09
1835,3.781543966852041e-09
1836,1.3441500135158435e-09
1837,1.3915781860163179e-09
1838,4.418513555037862e-09
1839,6.9914749545318955e-09
1840,5.732719632334238e-09
1841,3.2102742686390684e-09
1842,1.1404051036834062e-08
1843,1.1813822142769936e-09
1844,1.097712254427563e-09
1845,0.0
1846,4.6836010625384006e-09
1847,9.168480197274675e-09
1848,8.849743826644385e-09
1849,2.513824481908955e-09
1850,2.0366988096043315e-09
1851,3.8696632564949596e-09
1852,0.0
1853,1.1943863675867306e-08
1854,2.0782657816909023e-09
1855,7.960405667972736e-09
1856,2.0708756931497874e-09
1857,4.393358121745905e-09
1858,5.3830437884982985e-09
1859,7.638259802433822e-09
1860,6.408057640072684e-09
1861,2.357981809808507e-09
1862,3.162590411776023e-09
1863,4.994620828036034e-10
1864,1.4384183844029508e-09
1865,2.8241067262513297e-09
1866,2.432806400776144e-09
1867,4.367530337390235e-09
1868,0.0
1869,4.883519366671862e-09
1870,2.2936195165357276e-09
1871,4.248470908407853e-09
1872,0.0
1873,5.986004469882289e-10
1874,0.0
1875,2.2886108563824337e-09
1876,0.0
1877,0.0
1878,1.8117265465633636e-09
1879,1.832797580370027e-09
1880,1.9253538763308597e-09
1881,6.972507571312292e-10
1882,1.3310770263785798e-09
1883,9.479008689083912e-09
1884,8.582206056928499e-09
1885,6.445635691854079e-10
1886,2.5813855497602844e-09
1887,9.140494583448344e-09
1888,0.0
1889,3.132568426877924e-09
1890,4.5880703680722945e-09
1891,6.374220040683554e-10
1892,5.641661360300532e-09
1893,1.2316833108982905e-09
1894,1.1342770278588432e-08
1895,1.3842813118003505e-08
1896,0.0
1897,2.330685422435863e-09
1898,1.6975064687230201e-09
1899,5.527578395003729e-10
1900,5.191053142894475e-10
1901,6.147612641171918e-09
1902,4.419255628107521e-09
1903,1.6200660812870638e-09
1904,3.7622376325430196e-09
1905,5.160758931310738e-09
1906,4.629766015007419e-09
1907,5.142843373384665e-10
1908,3.437972351250096e-09
1909,0.0
1910,5.344150677544235e-10
1911,9.044636151145369e-09
1912,1.0418842455450772e-09
1913,2.121195885607108e-09
1914,2.6786975415582504e-09
1915,3.534228465440492e-09
1916,4.394984820521586e-09
