year,leurs_DET aides_NOUN,leurs_DET laides_ADJ
1800,1.760732146749433e-07,0.0
1801,5.2386017301842e-08,0.0
1802,6.042168365638645e-08,0.0
1803,7.411288893699464e-08,0.0
1804,2.9662211797898408e-08,0.0
1805,1.2224374756897305e-07,2.842877711017877e-09
1806,6.339671898558663e-08,0.0
1807,9.679647394733593e-08,0.0
1808,6.345007363961486e-08,0.0
1809,1.4909601020463015e-07,0.0
1810,2.8081521108447305e-08,0.0
1811,1.780024518893697e-07,0.0
1812,9.335229123053068e-08,0.0
1813,8.91479885467561e-08,0.0
1814,1.0698702368472368e-07,3.1466771410748606e-09
1815,3.776112933451259e-08,0.0
1816,6.721051448721482e-08,0.0
1817,7.161617787687646e-08,1.556873407970727e-09
1818,1.2755660350194375e-07,9.536941902865692e-09
1819,1.0351050150347874e-07,0.0
1820,1.0561168295453172e-07,0.0
1821,4.437669787193954e-08,0.0
1822,3.5089655625597516e-08,0.0
1823,1.0772128755665022e-07,0.0
1824,1.364220301169894e-07,0.0
1825,1.1359021812040737e-07,0.0
1826,1.0129181760021311e-07,0.0
1827,7.742509211539073e-08,0.0
1828,5.319934714975716e-08,0.0
1829,8.31598108153031e-08,6.001223074036943e-09
1830,1.033246732617954e-07,1.0436835840010872e-09
1831,9.978371906527173e-08,1.5591206103948707e-09
1832,9.470978590275791e-08,1.352996914505411e-08
1833,1.5522062835060524e-07,2.3167257001688313e-09
1834,1.297499778729616e-07,9.334530925997342e-10
1835,1.1344631900556124e-07,3.781543966852041e-09
1836,1.1761312634916976e-07,1.8818100855355624e-08
1837,9.323574090558395e-08,0.0
1838,1.5654161078515472e-07,0.0
1839,1.0906701009005815e-07,0.0
1840,1.4586586871701002e-07,0.0
1841,1.2327453191574023e-07,0.0
1842,8.586579269831418e-08,0.0
1843,9.391988697871057e-08,3.5441467538532834e-09
1844,1.0153838303494922e-07,0.0
1845,9.207375806230544e-08,0.0
1846,1.1767547825058955e-07,5.854501328173001e-10
1847,1.5262823183093133e-07,0.0
1848,1.3515972341338056e-07,0.0
1849,8.630797054820505e-08,8.379414939696517e-10
1850,5.974316508172706e-08,1.3577992064028876e-09
1851,8.835730924694474e-08,6.449438760824933e-10
1852,6.575650957074686e-08,0.0
1853,1.0868915900630327e-07,5.971931837933653e-10
1854,9.6639361069073e-08,0.0
1855,1.1303775693249918e-07,1.5920811335945473e-09
1856,1.009551908737194e-07,2.0708756931497874e-09
1857,8.396195783078042e-08,2.4407544874094356e-09
1858,8.514996352460003e-08,4.893676019968041e-10
1859,1.0489877411146153e-07,2.036869339860914e-09
1860,1.208376554373558e-07,9.154367819341758e-10
1861,1.3063220016817922e-07,7.073945429425521e-09
1862,1.0481728199285278e-07,4.9697850279528666e-09
1863,1.4434453987632878e-07,4.994620828036034e-10
1864,8.53461585847981e-08,2.3973640850272204e-09
1865,8.754730629334517e-08,1.882737743486018e-09
1866,8.466166312448564e-08,6.3252967308358166e-09
1867,9.317397875463485e-08,0.0
1868,7.607406360410351e-08,1.4819622196071691e-09
1869,9.034510384253736e-08,9.767038289254515e-10
1870,1.2385545122839403e-07,4.587239033071455e-09
1871,1.826842448426902e-07,1.0621177271019633e-09
1872,1.6267342184406175e-07,4.8378714367913744e-09
1873,1.2570609841944247e-07,0.0
1874,1.822255850103538e-07,5.974609251779839e-09
1875,9.497734748675768e-08,1.716458086775674e-09
1876,1.0278225026638665e-07,1.209202959984168e-09
1877,1.0081250423343846e-07,5.566334504436554e-09
1878,1.050801401447643e-07,6.039088673581716e-10
1879,9.958200386517291e-08,1.0996785704264767e-08
1880,9.113341503663719e-08,6.417846254436199e-10
1881,1.401474063467134e-07,0.0
1882,9.650308796516072e-08,1.9966155395678697e-09
1883,7.520013522999136e-08,0.0
1884,1.472178468020502e-07,1.3203393933736152e-09
1885,1.3020184042034089e-07,0.0
1886,1.3165066853337848e-07,4.5174246565693466e-09
1887,1.3776030982626253e-07,6.528924623161458e-10
1888,1.084245115912097e-07,0.0
1889,1.7354429093785484e-07,0.0
1890,1.0290386553979403e-07,6.554386478008212e-10
1891,1.1091142937402765e-07,6.374220040683554e-10
1892,1.1032581714864875e-07,0.0
1893,1.884475440139255e-07,2.463366621796581e-09
1894,1.4556556071632087e-07,1.8904617871129403e-09
1895,1.6190072504862485e-07,2.4074457982692365e-09
1896,1.3032434725834818e-07,1.7691086373616827e-09
1897,1.6256531198965973e-07,2.9133566670225264e-09
1898,1.5164391697908286e-07,0.0
1899,1.497973762809579e-07,0.0
1900,1.136840636073444e-07,4.15284251431558e-09
1901,1.5648468854045916e-07,3.912117296778206e-09
1902,1.3847000063238468e-07,4.910283846193408e-10
