year,pas_ADV égal_ADJ,pas_ADV egal_ADJ,pas_ADV légal_ADJ
1800,6.697070489281032e-07,0.0,9.432493897065797e-09
1801,7.024488581919286e-07,2.3811825844433088e-09,2.3811825400343878e-08
1802,5.930276074650465e-07,1.3427040812530322e-08,2.0140561218795483e-08
1803,4.895351253253466e-07,4.290746247193056e-08,4.4857802805609026e-08
1804,8.948100571615214e-07,2.4718509461507665e-09,2.9662210465630778e-08
1805,6.282759841269581e-07,0.0,6.538618890772341e-08
1806,4.841203917749226e-07,0.0,3.1698359492793315e-08
1807,7.117387781363504e-07,0.0,3.4163463169534225e-08
1808,6.345007363961486e-07,6.798221985349073e-09,1.3596443970698147e-08
1809,5.082818574919656e-07,0.0,5.421673421324158e-08
1810,6.739564923918806e-07,7.020380277111826e-09,1.4040760554223652e-08
1811,3.209058263564657e-07,2.5070767684098882e-09,2.757784400841956e-08
1812,3.9741402702020423e-07,0.0,2.400487453257938e-08
1813,4.3711273178814736e-07,2.8757416448144113e-09,5.176335093892703e-08
1814,5.160550244909246e-07,0.0,3.1466771410748606e-09
1815,2.508417935587204e-07,0.0,5.1247248222807684e-08
1816,7.091867928465945e-07,0.0,3.9399267848239106e-08
1817,4.2035583192046033e-07,0.0,5.293369653713853e-08
1818,3.397535692784004e-07,1.1921177378582115e-09,6.914282835168706e-08
1819,6.241683081498195e-07,1.035105001712111e-09,3.415846450138815e-08
1820,3.5243448337496375e-07,1.898636980968149e-08,9.730514705097448e-08
1821,5.019497280045471e-07,6.903041693817613e-09,2.5639868894700157e-08
1822,4.912551503366558e-07,0.0,1.9048670196752937e-08
1823,3.3897615026035055e-07,0.0,4.5460360809101985e-08
1824,3.604236269438843e-07,9.263223965660927e-09,1.51580028528997e-08
1825,3.733507867309527e-07,0.0,1.4088708866211164e-08
1826,3.4174979646195425e-07,1.7615968683770689e-09,3.963592831723872e-08
1827,4.424290978022327e-07,0.0,2.6730091917670507e-08
1828,4.4760830064660695e-07,9.172301251858528e-10,6.145441489024961e-08
1829,3.712185332460649e-07,0.0,3.8579290873030914e-08
1830,3.684203022658039e-07,0.0,4.383471008395645e-08
1831,2.697278773666767e-07,0.0,7.795603096383275e-08
1832,3.4772020285345207e-07,0.0,4.464889968858188e-08
1833,2.2819747869107232e-07,9.266902800675325e-09,4.749287541017111e-08
1834,3.435107487348432e-07,0.0,4.573920264761e-08
1835,3.7588546319966554e-07,0.0,4.310960122211327e-08
1836,3.676250344142318e-07,6.048674894287842e-09,3.696412420595152e-08
1837,3.374577204340312e-07,0.0,4.731365876864402e-08
1838,3.0613983881266904e-07,0.0,3.66105403770689e-08
1839,3.929208958197705e-07,2.7965900706306e-09,3.775396706373613e-08
1840,3.6116134083385987e-07,1.2739377330817092e-09,3.3759349093998026e-08
1841,3.030498874068144e-07,1.2841097074556274e-09,2.8892468861840825e-08
1842,3.240091928091715e-07,0.0,6.03743828264669e-08
1843,3.721353891705803e-07,1.1813822142769936e-09,6.14318764746713e-08
1844,3.254716887113318e-07,5.488561272137815e-10,4.8848196598783034e-08
1845,3.3481367722743016e-07,0.0,4.073566373108406e-08
1846,3.5653911822919326e-07,3.5127007969038004e-09,4.6836010625384006e-08
1847,3.004025472819194e-07,5.393223645455691e-10,6.25613978399997e-08
1848,2.9365060072450433e-07,2.413566457803995e-09,5.390298696283935e-08
1849,3.670183730264398e-07,0.0,6.116972883773997e-08
