year,étions_VERB égaux_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.1577788444915313e-08
1816,2.3176038865813098e-09
1817,0.0
1818,1.1921177378582115e-09
1819,8.280840013696888e-09
1820,0.0
1821,1.3806083387635226e-08
1822,1.0025615893027862e-09
1823,8.894418535021487e-09
1824,0.0
1825,0.0
1826,8.807984341885344e-10
1827,6.452091305675367e-09
1828,9.172301251858528e-10
1829,0.0
1830,3.1310507520032616e-09
1831,3.1182412207897414e-09
1832,0.0
1833,9.266902800675325e-09
1834,0.0
1835,5.294161553592858e-09
1836,1.4113575197427508e-08
1837,1.1828414692161004e-08
1838,1.8936485712828244e-09
1839,2.7965900706306e-09
1840,4.458782232319436e-09
1841,5.1364388298225094e-09
1842,2.0124795163667386e-09
1843,1.7720733769266417e-09
1844,2.195424508855126e-09
1845,6.696273757711424e-09
1846,1.7563503984519002e-09
1847,2.6966118227278457e-09
1848,8.84974404868899e-09
1849,1.1731181359664333e-08
1850,1.3577992064028876e-09
1851,6.449438760824933e-10
1852,1.9531636308300904e-09
1853,3.5831591027601917e-09
1854,5.195664454227256e-10
1855,4.2455496895854594e-09
1856,6.212626857404757e-09
1857,9.763018171682347e-10
1858,1.9574704079872163e-09
1859,0.0
1860,1.0069804545764782e-08
1861,4.2443675241088386e-09
1862,2.2589932147099034e-09
1863,3.995696662428827e-09
1864,4.315255264231155e-09
1865,8.001635798393636e-09
1866,1.9462451650298362e-09
1867,3.88224918879132e-09
1868,9.87974813071446e-10
1869,7.325278605918584e-09
1870,7.454262984651905e-09
1871,0.0
1872,6.047339295989218e-10
1873,3.591602570907071e-09
1874,0.0
1875,1.7736734747586524e-08
1876,3.627608879952504e-09
1877,2.4739263970730008e-09
1878,3.0195443923020093e-09
1879,1.832797580370027e-09
1880,1.2835692508872398e-09
1881,4.8807553554297556e-09
1882,6.655385131892899e-10
1883,2.5277355764075082e-09
1884,0.0
1885,1.2891271383708158e-09
1886,0.0
1887,3.9173548849191775e-09
1888,6.340614699951175e-10
1889,0.0
1890,1.9663159989136147e-09
1891,6.374220040683554e-10
1892,3.761107425503951e-09
1893,3.695050043717174e-09
1894,3.150769645188234e-09
1895,6.018614495673091e-10
1896,1.0614652268259306e-08
1897,5.826713556089658e-10
1898,0.0
1899,1.1055156790007459e-09
1900,3.633737311048435e-09
1901,2.794369402536745e-09
1902,1.4730852093691738e-09
1903,5.940242076007962e-09
1904,2.6873125946735854e-09
1905,2.0643036169332163e-09
1906,0.0
1907,0.0
1908,1.4734167219643268e-09
1909,2.7504918342913243e-09
1910,2.67207544979442e-09
1911,5.320374141248863e-10
1912,0.0
1913,1.590896969716482e-09
1914,0.0
1915,0.0
1916,1.0987461607214755e-08
1917,2.1932848870420685e-09
1918,0.0
1919,2.762354567309444e-09
1920,7.572231730534895e-10
1921,0.0
1922,0.0
1923,3.1847844361720945e-09
1924,1.4180787211159895e-08
1925,5.499089184013428e-09
1926,1.1146138456652466e-09
1927,0.0
1928,6.8556245125250825e-09
1929,0.0
1930,2.100720708497761e-09
1931,2.2810713318222042e-09
1932,1.0959536611565568e-09
1933,0.0
1934,4.7926320689839486e-09
1935,8.377798899061872e-09
1936,1.2124714565686645e-09
1937,0.0
1938,0.0
