year,véritables_ADJ oies_NOUN,véritables_ADJ lois_NOUN
1800,0.0,9.118077315406481e-08
1801,0.0,8.572257570449437e-08
1802,0.0,1.0517848636482086e-07
1803,0.0,1.5992782209650613e-07
1804,0.0,1.557266102736321e-07
1805,0.0,2.245873389483677e-07
1806,0.0,9.797675204481493e-08
1807,0.0,3.131650672116848e-08
1808,0.0,7.478044494746428e-08
1809,0.0,7.228897658251299e-08
1810,7.020380277111826e-09,2.737948250342015e-07
1811,0.0,1.6546707115594472e-07
1812,0.0,1.520308643421231e-07
1813,0.0,1.322841143291953e-07
1814,0.0,2.643208745212178e-07
1815,0.0,1.8341120266995858e-07
1816,0.0,2.595716352971067e-07
1817,0.0,1.9149543106777855e-07
1818,0.0,1.740491910595665e-07
1819,0.0,2.7844325245496293e-07
1820,0.0,1.6019750148643652e-07
1821,0.0,1.8835442006093217e-07
1822,0.0,1.1830226753772877e-07
1823,0.0,1.0673301886754416e-07
1824,0.0,1.035796870496597e-07
1825,0.0,1.2327620879659662e-07
1826,0.0,1.5061652902659262e-07
1827,0.0,1.2904182256079366e-07
1828,0.0,1.5042573409118631e-07
1829,0.0,2.0489891028319107e-07
1830,0.0,2.1917355752520962e-07
1831,0.0,9.354723573551382e-08
1832,0.0,1.5153565868786245e-07
1833,0.0,1.3205335847032984e-07
1834,0.0,1.4095141409598e-07
1835,0.0,1.2932881077176717e-07
1836,0.0,1.5524932450716733e-07
1837,0.0,1.0784730619661786e-07
1838,0.0,1.3444905277992802e-07
1839,1.3982950353153e-09,2.0834596625718405e-07
1840,0.0,1.229349919640299e-07
1841,0.0,1.7720714140523341e-07
1842,0.0,2.1801861294079572e-07
1843,0.0,1.4767277889404795e-07
1844,0.0,1.3721403036015545e-07
1845,0.0,1.3448349989175767e-07
1846,0.0,1.844167911713157e-07
1847,2.6966118227278457e-09,2.2274014099821215e-07
1848,0.0,1.2711450381175382e-07
1849,8.379414939696517e-10,1.4496387734652671e-07
1850,0.0,1.2831202411689446e-07
1851,0.0,1.7155507237021084e-07
1852,0.0,1.6276364078748884e-07
1853,0.0,2.0424006663688488e-07
1854,0.0,1.3352857308746025e-07
1855,0.0,1.0826151708442922e-07
1856,0.0,1.2735885945858172e-07
1857,0.0,1.5376753026430379e-07
1858,0.0,1.3506546281405463e-07
1859,3.055304009791371e-09,1.242490270669805e-07
1860,0.0,1.4326585073831666e-07
1861,0.0,1.1223993823250566e-07
1862,0.0,1.161122469284237e-07
1863,0.0,1.4983862683948246e-07
1864,3.835782358407869e-09,1.6541811476145085e-07
1865,1.4120533631256649e-09,1.2379000224882475e-07
1866,0.0,1.0363755365006e-07
1867,0.0,1.3490816286321206e-07
1868,0.0,1.3535255050101114e-07
1869,0.0,1.8948054503198364e-07
1870,0.0,1.605533697102146e-07
1871,0.0,1.4551012839092436e-07
1872,0.0,8.950062380108648e-08
1873,0.0,1.436641099417102e-07
1874,0.0,6.870800461911131e-08
1875,0.0,1.2186852416107286e-07
1876,0.0,8.887641911314859e-08
1877,0.0,1.5276495446414629e-07
1878,0.0,9.179414917070972e-08
1879,0.0,1.2035370389185118e-07
1880,0.0,1.2193908105473383e-07
1881,0.0,9.691785862742108e-08
1882,0.0,7.254369904785563e-08
1883,0.0,1.131161653233903e-07
1884,6.601696966868076e-10,9.968562153517269e-08
