year,quels_DET livres_NOUN
1800,1.2891074341325748e-07
1801,5.714838025028257e-08
1802,1.208433673127729e-07
1803,1.9113324967179324e-07
1804,1.2606439625528765e-07
1805,9.665784528323229e-08
1806,4.3225035994964855e-08
1807,3.9857373401730456e-08
1808,7.931258849680489e-08
1809,1.0391540627985307e-07
1810,1.0062544752997837e-07
1811,4.512738271955641e-08
1812,1.0135391548260486e-07
1813,8.052076694298194e-08
1814,2.2026740431613234e-08
1815,4.8550024445148665e-08
1816,3.244645441213834e-08
1817,5.604744368614689e-08
1818,4.2916238562895614e-08
1819,9.833497571776206e-08
1820,9.018525393145183e-08
1821,9.072569406853859e-08
1822,8.120748873352568e-08
1823,7.313188277180416e-08
1824,6.06320114115988e-08
1825,1.109485818773237e-07
1826,8.455664612938563e-08
1827,1.0231173419583683e-07
1828,5.870272667962695e-08
1829,1.0373542913555411e-07
1830,9.288784230676583e-08
1831,3.1182412207897414e-08
1832,1.2041672547979942e-07
1833,1.239448259582332e-07
1834,9.334530703952737e-08
1835,1.005890695182643e-07
1836,7.527239986870882e-08
1837,1.2524203718555782e-07
1838,9.468242545551675e-08
1839,6.921560480321887e-08
1840,8.153201580540781e-08
1841,1.1043343661754079e-07
1842,1.086738947719823e-07
1843,1.2640789881501746e-07
1844,1.0977122144595342e-07
1845,8.537748463766093e-08
1846,1.1474822692036923e-07
1847,7.011190916728083e-08
1848,1.0700144592590277e-07
1849,6.116972972591839e-08
1850,1.0183494314475183e-07
1851,1.0706068565013993e-07
1852,8.724131106419009e-08
1853,8.898178549543445e-08
1854,8.365019432687859e-08
1855,1.0985359821802376e-07
1856,1.2269938309827921e-07
1857,8.689086428148585e-08
1858,7.487324182875454e-08
1859,9.471442297126487e-08
1860,1.071061070945234e-07
1861,7.168264914980682e-08
1862,8.810073470755242e-08
1863,9.339940820751735e-08
1864,8.87024640405798e-08
1865,1.1390563159352496e-07
1866,1.3234467211020728e-07
1867,1.0336488287521206e-07
1868,9.830349156914053e-08
1869,1.0011214435223792e-07
1870,1.0263947558541986e-07
1871,5.2043766629594757e-08
1872,8.526748196402423e-08
1873,7.063485263358871e-08
1874,1.09335348774664e-07
1875,9.26887366858864e-08
1876,6.590156154118176e-08
1877,1.373029174800422e-07
1878,1.0628795976685979e-07
1879,1.1118971876555861e-07
1880,9.305876780274502e-08
1881,7.460583084650807e-08
1882,1.0049631526953817e-07
1883,9.731781780430993e-08
1884,8.384155236740298e-08
1885,9.088346608621123e-08
1886,8.260434114504278e-08
