year,des_DET armes_NOUN,des_DET larmes_NOUN
1800,8.193692586644374e-06,9.54568335487238e-06
1801,7.96743724862381e-06,9.677126342921838e-06
1802,8.047273126976506e-06,9.4503991192596e-06
1803,7.971036630749495e-06,9.188048238684132e-06
1804,8.522942422928281e-06,1.0905805936545221e-05
1805,6.518718492998232e-06,8.775963806328946e-06
1806,7.143657910546608e-06,7.92170808949777e-06
1807,7.80919829423965e-06,7.225572090874266e-06
1808,7.57548546914677e-06,7.879139445776673e-06
1809,7.762028786828523e-06,8.760520103123781e-06
1810,7.701357240819107e-06,1.1618729757856272e-05
1811,8.315973985872915e-06,8.366114855107298e-06
1812,8.097644151661143e-06,8.140319664562412e-06
1813,7.212360046082722e-06,8.894668553693919e-06
1814,8.911389500099176e-06,1.1035397164960159e-05
1815,9.089643313586748e-06,8.525923504976163e-06
1816,7.791783943389419e-06,7.4580491116194025e-06
1817,8.70603602720621e-06,8.673342080101065e-06
1818,8.53675550160915e-06,9.89100107062768e-06
1819,9.193802682716523e-06,8.889481662777143e-06
1820,1.026450597407802e-05,1.0131601158036574e-05
1821,9.679050357647156e-06,9.869377578297645e-06
1822,9.250636054503047e-06,1.0202066505371477e-05
1823,1.0198932791638526e-05,8.356800208275672e-06
1824,9.659016342311588e-06,9.022379799716873e-06
1825,9.661332150301405e-06,9.939584145968183e-06
1826,9.432470577053209e-06,8.773633297209926e-06
1827,9.107587487733326e-06,6.994988623887366e-06
1828,8.91547718140373e-06,7.3901232440221065e-06
1829,7.782729269933952e-06,7.363501083545998e-06
1830,9.310701017284373e-06,8.65213667111675e-06
1831,8.464465636848217e-06,7.231201522017727e-06
1832,9.2409694758544e-06,8.607766147861184e-06
1833,8.52786755700663e-06,8.787340959770518e-06
1834,1.0744045098931565e-05,8.122908639052184e-06
1835,1.0796308202998262e-05,7.878468721855825e-06
1836,9.735006557320958e-06,8.014494312647003e-06
1837,8.94367259718365e-06,7.111660551117893e-06
1838,9.276984684447598e-06,7.24509921212757e-06
1839,9.114785960662175e-06,6.453131788930477e-06
1840,1.0084490924100464e-05,6.698364799717638e-06
1841,7.759875032320451e-06,6.669665935987723e-06
1842,9.059511576481327e-06,7.484411241875932e-06
1843,7.465154354235892e-06,6.8254356904162705e-06
1844,8.777307620277952e-06,7.1834291475170176e-06
1845,8.221907648930937e-06,7.057872267068888e-06
1846,8.0610631485456e-06,6.148982961917682e-06
1847,9.144210821432353e-06,6.315464673889437e-06
1848,9.30590771019979e-06,6.116782046206026e-06
1849,8.880504360320174e-06,5.3536083584049265e-06
1850,8.202465053841479e-06,6.180023149227054e-06
1851,8.492620665379036e-06,5.828357913628679e-06
1852,7.596504588036623e-06,6.376428245857824e-06
1853,7.3180051671783986e-06,6.831293006825945e-06
1854,7.1741736391572886e-06,7.468248099939956e-06
1855,6.979683860208752e-06,7.351700020308272e-06
1856,7.115528859458209e-06,6.672361394066684e-06
1857,7.375960173305884e-06,6.746245503563841e-06
1858,7.708029173159048e-06,7.326322503331539e-06
1859,7.957539040148731e-06,7.183019732792673e-06
1860,8.98363899892729e-06,7.175651091984037e-06
1861,8.488263190997714e-06,6.8796477421528834e-06
1862,8.100749255390838e-06,6.639180952561219e-06
1863,8.134239024570888e-06,6.8021740844415035e-06
1864,7.500872470700415e-06,6.612888824975016e-06
1865,7.487648055359841e-06,6.260103120325766e-06
1866,7.503261500119152e-06,6.338433777841601e-06
1867,7.785851046548942e-06,6.426578096352387e-06
1868,7.814387238624931e-06,5.288135156433782e-06
1869,7.2569095905805625e-06,6.325133966811336e-06
1870,7.614243415332567e-06,5.684735810973507e-06
1871,9.473027816397916e-06,5.040810947321006e-06
1872,9.075241678146995e-06,5.464375846031544e-06
1873,8.460618857952795e-06,4.811550439853818e-06
1874,8.814938766477098e-06,4.75459373205922e-06
1875,7.343007801807744e-06,5.555602797358006e-06
1876,6.841670519008858e-06,4.99944955834053e-06
1877,6.890503513545809e-06,5.440164215997356e-06
1878,7.1321635317644905e-06,4.711093268383593e-06
1879,6.879100197920707e-06,5.093344469742078e-06
1880,6.063581210469238e-06,4.540626349580634e-06
