year,ayez_VERB assez_ADV
1800,2.829748035892976e-08
1801,9.524730160137551e-08
1802,4.0281122437590966e-08
1803,2.9255087241608635e-08
1804,9.88740351814954e-08
1805,5.401467717547348e-08
1806,6.916005901302924e-08
1807,3.131650672116848e-08
1808,7.478044494746428e-08
1809,4.292157917973327e-08
1810,1.2402671734079718e-07
1811,3.008492077682945e-08
1812,6.934741625386209e-08
1813,6.901780125190271e-08
1814,5.349351184236184e-08
1815,2.966945888971395e-08
1816,1.8540831092650478e-08
1817,6.538868468908277e-08
1818,5.48374146092101e-08
1819,3.829888406414739e-08
1820,4.746592452420373e-08
1821,6.015507958423427e-08
1822,6.416394171537831e-08
1823,3.755421185136498e-08
1824,5.4737231636181605e-08
1825,3.962449346417429e-08
1826,4.844391454650321e-08
1827,3.9634275195155055e-08
1828,3.668920545152332e-08
1829,3.0863434308248117e-08
1830,3.339787335576716e-08
1831,2.0268567268999504e-08
1832,2.5706941575442954e-08
1833,4.517614948795767e-08
1834,3.547121707470069e-08
1835,4.0084366048631637e-08
1836,2.8899225401612938e-08
1837,3.131051051763478e-08
1838,4.1029050823482294e-08
1839,2.586845804231075e-08
1840,3.3759350426265655e-08
1841,2.5682194149112547e-08
1842,6.037438682326979e-08
1843,5.493427224223524e-08
1844,3.84199286829201e-08
1845,3.515543700594037e-08
1846,2.1661654248106288e-08
1847,2.8584086209093584e-08
1848,3.861706282526356e-08
1849,3.184177610471295e-08
1850,1.8330288398260564e-08
1851,2.0638204478728994e-08
1852,4.948014353800545e-08
1853,4.837264722112877e-08
1854,3.273268522896444e-08
1855,3.6087172361476405e-08
1856,2.5885946719483854e-08
1857,3.2706109154290175e-08
1858,4.306434919776336e-08
1859,3.1571474323754956e-08
1860,4.3940966421018857e-08
1861,2.2165029811560544e-08
1862,4.563166244864192e-08
1863,4.994620922404991e-08
1864,3.78783506782554e-08
1865,4.612707549256356e-08
1866,2.3354941536268825e-08
1867,2.329349513274792e-08
1868,1.7783547412442147e-08
1869,3.857980246380066e-08
1870,2.3509600488580418e-08
1871,2.442870794538976e-08
1872,1.3304146229131675e-08
1873,2.6338419889526676e-08
1874,2.0313671078575624e-08
1875,2.7463329388410784e-08
1876,2.478866001354163e-08
1877,2.8450153788384114e-08
1878,2.777980856460971e-08
1879,2.3826368433788048e-08
1880,2.1820677931216892e-08
1881,1.8128519130300447e-08
1882,2.5956001570293097e-08
1883,1.64302811356265e-08
1884,7.2618666635548834e-09
1885,2.1915161685370776e-08
1886,2.0005738787798322e-08
1887,2.415702216040927e-08
1888,1.0144983297877275e-08
1889,1.0650732462647028e-08
1890,1.0487018031746231e-08
1891,1.8485238895138423e-08
1892,2.4447197599641868e-08
1893,1.3548516530903498e-08
1894,1.071261657159539e-08
1895,9.629782971032341e-09
1896,7.076434549446731e-09
1897,1.981082575763793e-08
1898,1.640922953072277e-08
1899,1.492446166651007e-08
1900,2.1283317774845045e-08
1901,6.147612696683069e-09
1902,2.209627647520307e-08
1903,1.5120616980723867e-08
1904,8.599400302955473e-09
1905,1.548227701597682e-08
1906,1.800464577428329e-08
1907,1.59428139578921e-08
1908,1.7681000219482712e-08
1909,8.801573692096554e-09
1910,1.0153886509378651e-08
1911,1.4365010514438836e-08
1912,1.4586378993541871e-08
1913,1.3787772923379293e-08
1914,1.205413840965619e-08
1915,4.712304768617059e-09
1916,7.691223435912775e-09
1917,9.869782324756216e-09
1918,1.2635013924011673e-08
1919,4.603924186330488e-09
1920,3.028892692213958e-09
1921,1.438822039290244e-08
1922,2.065821974595039e-08
1923,6.369568872344189e-09
1924,1.933743642990038e-08
1925,1.3197813508725176e-08
1926,7.802296808634424e-09
1927,1.3379069629948503e-08
1928,5.713020723163709e-09
1929,7.798284684668033e-09
1930,1.9956847396862543e-08
1931,1.596749932275543e-08
1932,8.76762951129706e-09
1933,1.3764795081527836e-08
1934,9.585264137967897e-09
1935,1.0771455727365264e-08
1936,4.849885826274658e-09
1937,5.0364472592434595e-09
1938,9.075650231338273e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,1.2136846860855144e-08
1943,2.032264689866281e-08
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,5.568441707737293e-09
1947,2.0265481293080256e-08
1948,1.1959076839929139e-08
1949,1.0798709482173763e-08
1950,3.1906084663191336e-08
1951,1.5992102975204148e-08
1952,1.5817205989421268e-08
1953,1.2928593307037772e-08
1954,6.840775057526116e-09
1955,7.508486277174597e-09
1956,6.976913491385517e-09
1957,6.184526502028831e-09
1958,8.272243612328367e-09
1959,1.0075972278755785e-08
1960,1.3149583422134015e-08
1961,2.084447769945541e-08
1962,2.5367826284039552e-08
1963,1.5518528240221485e-08
1964,1.0951142992432494e-08
1965,1.3680108601477059e-08
1966,8.862519607077957e-09
1967,1.2818872074937815e-08
1968,1.0330256428048301e-08
1969,1.2262745902047456e-08
1970,1.195668489217816e-08
1971,1.490135304038631e-08
1972,1.9494558856081312e-08
1973,7.718485406371656e-09
1974,5.06301445213353e-09
1975,4.569184142155791e-09
