year,expressions_NOUN égales_ADJ,expressions_NOUN légales_ADJ
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,2.0140561218795483e-08,0.0
1803,0.0,0.0
1804,2.2246657849223084e-08,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,2.2660739062985158e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,1.504245972228091e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,5.175524897538253e-09,0.0
1820,1.1866481131050932e-09,8.306536791735653e-09
1821,0.0,0.0
1822,1.1028177482330648e-08,0.0
1823,1.7788837070042973e-08,7.906149512848515e-09
1824,1.6842225392110777e-09,5.894778887238772e-09
1825,3.522177216552791e-09,5.283265824829186e-09
1826,0.0,0.0
1827,0.0,1.8434546111834038e-09
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,1.5591206103948707e-09,0.0
1832,1.352996914505411e-08,6.764984572527055e-09
1833,1.1583628500844156e-09,4.6334514003376626e-09
1834,0.0,9.334531370086552e-09
1835,0.0,7.563087933704082e-10
1836,0.0,4.704525213838906e-09
1837,6.957890930081589e-10,5.5663127440652715e-09
1838,8.2058102535143e-09,6.312161904276081e-10
1839,1.4682098203877558e-08,1.5381244722334486e-08
1840,3.1848443882154243e-09,8.280594876453051e-09
1841,5.778493683550323e-09,1.2841097074556274e-08
1842,6.708265054555795e-10,8.720745015011744e-09
1843,1.1813822142769936e-09,7.678984559333912e-09
1844,1.0977122322231025e-08,3.841992946007622e-09
1845,6.696273757711424e-09,4.464182357111213e-09
1846,1.7563503984519002e-09,1.7563503984519002e-09
1847,1.0786447290911383e-09,9.707802561820245e-09
1848,4.02261068899179e-09,2.091757700384278e-08
1849,8.379414939696517e-10,1.6758829879393033e-09
1850,1.2899092460827433e-08,0.0
1851,3.8696632564949596e-09,2.3217978650791338e-08
1852,4.557382027314816e-09,9.765818376195057e-09
1853,5.971931837933653e-10,1.7915795513800958e-09
1854,1.0391328908454511e-09,5.7152309551611324e-09
1855,0.0,1.5920811335945473e-09
1856,3.1063134287023786e-09,7.765783571755946e-09
1857,1.1715622250108026e-08,5.857811125054013e-09
1858,1.9574704079872163e-09,3.9149408159744326e-09
1859,0.0,8.656694916453489e-09
1860,2.288591982591015e-09,4.57718396518203e-09
1861,1.8863854922557266e-09,6.6023493339173456e-09
1862,2.710791813242963e-09,1.8071945051545413e-09
1863,1.4983863039219614e-09,1.4484400345793347e-08
1864,4.794727948009836e-10,3.3563094525845827e-09
1865,2.3534221238463715e-09,5.177528628053096e-09
1866,6.811858188626729e-09,2.919367858567057e-09
1867,4.85281148598915e-10,6.79393608038481e-09
1868,4.44588676984381e-09,7.409810987013543e-09
1869,0.0,2.9301114867763545e-09
1870,2.8670243956696595e-09,2.2936195165357276e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,6.652073114565837e-09,6.047339518033823e-09
1873,1.7958012854535355e-09,1.1972008939764578e-09
1874,5.974609140757536e-10,0.0
1875,5.721527140956084e-10,5.721527251978387e-09
1876,6.04601479992084e-09,1.209202959984168e-09
1877,8.040260901509555e-09,7.421779191219002e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,7.94212251520321e-09,0.0
1880,1.2835692508872398e-09,5.134277003548959e-09
1881,2.7890030285249168e-09,1.2550513517339823e-08
1882,0.0,0.0
1883,6.319338829996468e-09,5.687405213450347e-09
1884,1.3203393933736152e-09,2.6406787867472303e-09
1885,7.090199094506033e-09,5.156508553483263e-09
1886,2.5813855497602844e-09,5.162771099520569e-09
1887,5.223139698529167e-09,6.528924512139156e-09
1888,1.9021844099853524e-09,6.974675947901687e-09
1889,1.8795409673089125e-09,9.397704836544563e-09
1890,8.520702365899524e-09,1.9663159989136147e-09
1891,0.0,2.5496880162734215e-09
1892,5.014809900671935e-09,6.268512375839919e-10
1893,1.2316833108982905e-09,1.2316833108982905e-09
1894,6.301539290376468e-10,5.671385139294216e-09
1895,0.0,0.0
1896,0.0,4.1279202278587945e-09
1897,6.992056267307589e-09,4.078699600285063e-09
1898,5.6583548957434e-10,2.093591255913907e-08
1899,2.7637891975018647e-09,2.2110313580014918e-09
1900,5.19105292084987e-09,2.595526460424935e-09
1901,2.235495566438317e-09,3.353243460679778e-09
1902,4.910283846193408e-10,2.455141867585553e-09
1903,2.7001101354784396e-09,3.2401321625741275e-09
1904,0.0,2.1498500757388683e-09
1905,2.580379465655369e-09,5.160759042333041e-10
1906,0.0,2.0576738091193647e-09
