year,autres_ADJ eaux_NOUN,autres_ADJ lots_NOUN
1800,3.6157891258881136e-07,1.2576657937302116e-08
1801,4.690929813477851e-07,4.286128785224719e-08
1802,4.430923468135006e-07,6.713520406265161e-09
1803,4.661310697429144e-07,1.950339267864365e-08
1804,3.1392505661642645e-07,1.9774807569206132e-08
1805,3.5251684948889306e-07,2.2743021688143017e-08
1806,2.507052272449073e-07,2.881669125542885e-08
1807,4.5551280436484376e-07,7.402083213037258e-08
1808,3.7163613342272583e-07,4.305540457494317e-08
1809,3.95330346236733e-07,1.581321384946932e-08
1810,4.0250179722534085e-07,4.914266327205041e-08
1811,3.93611060189869e-07,3.008491944456182e-08
1812,2.0804223765935603e-07,6.401299401659344e-08
1813,2.3581081620704936e-07,8.627225156487839e-09
1814,3.8704129678990284e-07,3.1466771410748606e-09
1815,5.475363877849304e-07,3.236668177919455e-08
1816,3.221469455638726e-07,4.6352077731626196e-09
1817,2.9424907665998035e-07,3.113746815941454e-09
1818,2.944530876902718e-07,5.841376804482934e-08
1819,1.418093802385556e-07,1.6561680027393777e-08
1820,2.75302369345809e-07,4.746592452420373e-09
1821,1.64686852599516e-07,2.3667571014129862e-08
1822,4.3811940031446284e-07,3.909990198280866e-08
1823,1.7492355652848346e-07,6.917880934764753e-09
1824,1.4652735558229324e-07,2.105278085196005e-08
1825,1.6730341201309784e-07,1.7610886082763955e-09
1826,2.395771616647835e-07,3.699353356978463e-08
1827,2.497880871032976e-07,4.516463647519231e-08
1828,2.017906268747538e-07,3.8523666034961934e-08
1829,3.1720750826025323e-07,2.914879893012312e-08
1830,2.6092089910889626e-07,3.5485243188304594e-08
1831,3.2117884529725416e-07,6.392394169552063e-08
1832,2.3948047100930125e-07,1.0012177398266431e-07
1833,4.888291300630954e-07,3.1275796175123105e-08
1834,2.3616362909706368e-07,3.360431222176885e-08
1835,2.4201881387853064e-07,3.479020449503878e-08
1836,2.022945722046643e-07,3.629205025390547e-08
1837,3.4302402696084755e-07,4.6617870452791976e-08
1838,2.745790368408052e-07,3.7241754569095065e-08
1839,2.195323247633496e-07,3.0063343814390464e-08
1840,1.745294753163762e-07,4.2039946634986336e-08
1841,3.1332277217188675e-07,6.484754067059839e-08
1842,2.2875184413351235e-07,5.366612043644636e-08
1843,1.8193286166479083e-07,4.902736350231862e-08
1844,2.952845932213677e-07,3.0187088384536764e-08
1845,1.975400749643086e-07,4.296775557577348e-08
1846,2.494017508070101e-07,4.507965911670908e-08
1847,1.3213397664912918e-07,3.074137566727586e-08
1848,2.156119478513574e-07,6.838438793010937e-08
1849,2.379753851755595e-07,1.1228416241237937e-07
1850,1.4867900688386726e-07,7.19633561629962e-08
1851,1.8703372006712016e-07,7.416854685970975e-08
1852,2.070353417593651e-07,6.380334838240742e-08
1853,2.0125409605498135e-07,4.359510086260343e-08
1854,2.5043101459232275e-07,4.1045748133683446e-08
1855,2.3987354325072374e-07,6.262185792138553e-08
1856,2.619657664126862e-07,1.0043746812016252e-07
1857,2.260138671772438e-07,5.564920257938866e-08
1858,2.0406629630542739e-07,6.410715513993637e-08
1859,2.933091991508263e-07,5.6523123959095756e-08
1860,2.7600418661677395e-07,8.696649445028015e-08
1861,1.9288292207875202e-07,6.649509032286005e-08
1862,1.8840002269371325e-07,5.873382136201144e-08
1863,1.62325179076106e-07,7.14230807830063e-08
1864,3.509740906793013e-07,4.8426752385921645e-08
1865,1.6897571697427338e-07,3.6242703060906933e-08
1866,2.228450739494292e-07,6.227984528095476e-08
1867,1.4558435168510186e-07,7.910082899797999e-08
1868,2.1834243568719103e-07,7.212216246443859e-08
1869,1.802018516627868e-07,6.690421372468336e-08
1870,1.9782468996254465e-07,8.773094606340237e-08
1871,1.7524942563795776e-07,1.2532989046576404e-07
1872,1.5844028666833765e-07,4.354084381930079e-08
1873,2.5141218884527916e-07,1.0894527946447852e-07
1874,1.9357733549441036e-07,9.260644162623066e-08
1875,1.6821289250401605e-07,8.58229043387837e-08
1876,1.7956664066787198e-07,5.8041742079240066e-08
1877,1.9667714923343738e-07,1.0452338727873212e-07
1878,1.2923649705953721e-07,8.937850992651875e-08
1879,1.3135048959611595e-07,4.7041805117942204e-08
