year,tensions_NOUN égales_ADJ
1800,0.0
1801,4.7623651688866175e-09
1802,4.4756802708434407e-08
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,9.964342950752325e-08
1808,0.0
1809,0.0
1810,2.106114038724627e-08
1811,3.760615285841595e-08
1812,5.867858021701977e-08
1813,2.5881675469463516e-08
1814,6.922689976818219e-08
1815,2.697223555614414e-09
1816,4.4034472068688046e-08
1817,0.0
1818,1.1921177378582115e-09
1819,2.070210003424222e-09
1820,3.085285271708926e-08
1821,1.97229765852569e-09
1822,0.0
1823,5.138997138942614e-08
1824,5.052667617633233e-09
1825,4.4027217427355936e-09
1826,1.8496766784892316e-08
1827,2.6730091917670507e-08
1828,9.172301140836225e-09
1829,8.573175946935407e-09
1830,4.0703660886265425e-08
1831,1.5591206548037917e-08
1832,2.0294953273491956e-08
1833,1.2741991461950875e-08
1834,2.8003592777992026e-09
1835,0.0
1836,2.688300027031687e-09
1837,2.7831563720326358e-09
1838,3.029837714052519e-08
1839,1.8177836125232716e-08
1840,3.1848443882154243e-09
1841,8.988767952189392e-09
1842,4.024959032733477e-09
1843,1.4767278067040479e-08
1844,9.879410178825765e-09
1845,3.9061593959388574e-09
1846,5.854501328173001e-10
1847,1.77976389181822e-08
1848,0.0
1849,4.1897072478036534e-09
1850,6.788996032014438e-10
1851,1.9348316282474798e-09
1852,6.510545436100301e-10
1853,6.569124799682413e-09
1854,1.2989160858012383e-08
1855,4.2455496895854594e-09
1856,1.4496129630003907e-08
1857,7.322263684272912e-09
1858,1.5170396494568195e-08
1859,6.110608019582742e-09
1860,4.3025529805618135e-08
1861,6.083593007133459e-08
1862,9.939570055905733e-09
1863,3.995696662428827e-09
1864,1.6781548595190543e-08
1865,3.294791106611683e-09
1866,9.244664589402873e-09
1867,8.73506067478047e-09
1868,1.975949626142892e-09
1869,2.0999133099053324e-08
1870,6.307453670473251e-09
1871,0.0
1872,1.814201766592305e-08
1873,1.5563610844537834e-08
1874,1.4936523129449597e-08
1875,1.0870901512305409e-08
1876,1.3301232115736639e-08
1877,1.608052180301911e-08
1878,6.6429977074733415e-09
1879,6.720257683667796e-09
1880,2.5671385017744797e-09
1881,8.367009307619355e-09
1882,1.1314154946262533e-08
1883,1.7062214752172622e-08
1884,5.281357573494461e-09
1885,1.740321664556177e-08
1886,2.5813855497602844e-09
1887,6.528924623161458e-10
1888,1.3315291091942072e-08
1889,1.8168895721260014e-08
1890,4.5880703680722945e-09
1891,8.286486163910922e-09
1892,1.4417578242387208e-08
1893,1.23168328869383e-08
1894,1.2603078580752936e-08
1895,9.629783193076946e-09
1896,3.656158042986135e-08
1897,1.981082675683865e-08
1898,9.05336783318944e-09
1899,1.1607914629507832e-08
1900,6.22926377147337e-09
1901,2.5708198236884527e-08
1902,2.5042448115186744e-08
1903,1.4040573148577096e-08
1904,3.33226779503093e-08
1905,2.0126959654476195e-08
1906,1.2346042410626978e-08
1907,1.697138252154673e-08
1908,1.620758460774141e-08
1909,1.8153246017504898e-08
1910,1.0153886620400954e-08
1911,4.788336838146279e-09
1912,2.5526164293410147e-08
1913,2.3863453435524207e-08
1914,1.339348720819089e-08
1915,0.0
1916,5.493730803607377e-09
1917,7.676496771580332e-09
1918,1.378365155346728e-08
1919,2.025726608678724e-08
1920,3.407504323149624e-08
1921,1.6660044011018726e-08
1922,3.172512208493572e-08
1923,1.0615948120573648e-08
1924,1.2891624656674594e-08
1925,7.698724324711748e-09
1926,1.671920735191179e-08
1927,5.574612327308159e-09
1928,2.2852082892654835e-08
1929,1.0026365515614089e-08
1930,1.7856125467119455e-08
1931,3.763767608688795e-08
1932,2.849479585620429e-08
1933,5.850037609889114e-08
1934,3.714289675826876e-08
1935,3.351119559624749e-08
1936,2.3036957230715416e-08
1937,3.021868266728234e-08
1938,4.2785206488815675e-08
1939,4.129393715857077e-08
1940,1.5214697057785997e-08
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,0.0
1945,1.5249527862692958e-08
1946,2.7842208538686464e-09
1947,5.960435700558264e-09
1948,1.195907639583993e-08
1949,1.570721330779179e-08
1950,1.808011518278363e-08
1951,2.1322803078760444e-08
1952,6.326882129314981e-09
1953,2.1547654327491728e-08
1954,8.795282724349818e-09
1955,2.0648336374051723e-08
1956,6.976913269340912e-09
1957,1.767007518083119e-08
1958,1.9026160202884057e-08
1959,1.9376869886400527e-08
1960,6.920833239831836e-09
1961,1.320150300188061e-08
1962,1.0147130247162295e-08
1963,7.1126584622049904e-09
1964,9.125952438182594e-09
1965,7.660860390501512e-09
1966,1.3293779410616935e-08
1967,4.437302081328198e-09
1968,8.533690198930799e-09
1969,3.6334062425424918e-09
1970,2.7592350626548523e-09
1971,3.083038491169532e-09
1972,1.0260293725750103e-09
1973,3.859242703185828e-09
1974,4.500457340128605e-09
1975,3.998036124386317e-09
1976,2.856763492431469e-09
1977,2.3507127355770763e-09
1978,5.940591130126904e-09
1979,0.0
1980,1.1370301367108482e-09
1981,2.5302198114474095e-09
1982,6.207502289967692e-10
1983,1.89459470334441e-09
1984,2.3196033982486597e-09
1985,1.8046674155058895e-09
1986,1.1988970927134801e-09
1987,6.110816852533674e-10
1988,0.0
1989,5.488122178931576e-10
