year,divers_DET yeux_NOUN,divers_DET lieux_NOUN
1800,0.0,8.803660307421524e-07
1801,9.524730337773235e-09,1.1072498864450608e-06
1802,2.2378401354217203e-09,1.3225635484559461e-06
1803,0.0,1.0473321481185849e-06
1804,0.0,1.0282899438607274e-06
1805,0.0,9.55206928665575e-07
1806,0.0,1.1641943729046034e-06
1807,0.0,1.1330881761750788e-06
1808,2.2660739951163578e-09,1.3415158264251659e-06
1809,0.0,1.4796650020798552e-06
1810,0.0,1.2894098517790553e-06
1811,0.0,1.3989488252263982e-06
1812,0.0,1.2535879250208382e-06
1813,0.0,1.055397206073394e-06
1814,0.0,1.3719512708121329e-06
1815,0.0,7.525253522544517e-07
1816,0.0,1.103179442907276e-06
1817,0.0,1.3949585309092072e-06
1818,0.0,1.319674311162089e-06
1819,2.070210003424222e-09,1.3011269857088337e-06
1820,0.0,2.0944339667039458e-06
1821,0.0,1.462458726564364e-06
1822,1.0025615893027862e-09,1.7865647805592744e-06
1823,0.0,3.0873513878759695e-06
1824,9.263223965660927e-09,2.384017079748446e-06
1825,0.0,2.1837499843968544e-06
1826,0.0,3.6993533285567537e-06
1827,0.0,2.0075219708814984e-06
1828,2.7516904310687096e-09,1.986720462809899e-06
1829,0.0,1.3879972584618372e-06
1830,0.0,1.2879055475423229e-06
1831,0.0,1.1334807368257316e-06
1832,4.058990921151917e-09,1.3516439594241092e-06
1833,0.0,9.707080153020797e-07
1834,0.0,1.2741634236590471e-06
1835,0.0,1.9255621737102047e-06
1836,0.0,2.535066869313596e-06
1837,0.0,1.8633231775311287e-06
1838,0.0,2.415664312138688e-06
1839,6.9914751765765e-10,1.59056060056173e-06
1840,0.0,1.6159899587364634e-06
1841,0.0,1.4587486703021568e-06
1842,0.0,1.5764422869324335e-06
1843,3.5441467538532834e-09,1.494448497396661e-06
1844,1.6465684371524958e-09,1.290360728489759e-06
1845,0.0,1.1556652452782146e-06
1846,0.0,1.4718216334586032e-06
1847,5.393223645455691e-10,1.5645741768821608e-06
1848,0.0,1.2075877293682424e-06
1849,0.0,1.3306511164046242e-06
1850,0.0,1.3964964864499052e-06
1851,0.0,1.1325214472890366e-06
1852,3.906327261660181e-09,1.1953361536143348e-06
1853,1.1943863675867306e-09,1.4129590226730215e-06
1854,0.0,1.6969040643743938e-06
1855,5.306937111981824e-10,1.1691182635331643e-06
1856,1.0354378465748937e-09,1.365224761684658e-06
1857,9.763018171682347e-10,1.767594426382857e-06
1858,2.936205500958522e-09,1.5072522501213825e-06
1859,0.0,1.4084951089898823e-06
1860,4.119465657481669e-09,1.1227832601434784e-06
1861,4.715963730639317e-10,1.2879296491519199e-06
1862,0.0,1.2166937040092307e-06
1863,4.994620828036034e-10,1.2726293334708316e-06
1864,0.0,1.1123769354526303e-06
1865,0.0,1.1291720056760823e-06
1866,0.0,1.1083866411354393e-06
1867,0.0,9.860913223747048e-07
1868,0.0,1.1376530437701149e-06
1869,4.883519144627257e-10,9.361706361232791e-07
1870,0.0,9.048329161487345e-07
1871,0.0,7.148052532102156e-07
1872,0.0,9.796689255381352e-07
1873,0.0,9.625495067666634e-07
1874,0.0,9.834207048697863e-07
1875,0.0,9.812418966248515e-07
1876,0.0,1.048983563123329e-06
1877,0.0,1.0025586334450054e-06
