year,les_DET âmes_NOUN,les_DET ames_NOUN,les_DET lames_NOUN
1800,2.260654270003215e-06,9.3727544183686e-06,4.5024436303719995e-06
1801,1.0834380965718537e-06,1.0943914865890747e-05,6.043441544534289e-06
1802,2.10804543598897e-06,9.41459333603234e-06,3.4955063199504366e-06
1803,2.1999826884666618e-06,7.251361406446222e-06,4.534538561529189e-06
1804,1.9107407780438734e-06,1.0737720697262532e-05,3.823953449000328e-06
1805,2.126472580243899e-06,7.772427629282319e-06,4.773191790263809e-06
1806,3.287984441158187e-06,6.636483860233966e-06,4.285042081164647e-06
1807,1.7565712795430954e-06,9.221287797345212e-06,4.213493468796514e-06
1808,2.4700206182615148e-06,9.170801399172035e-06,3.188366207496074e-06
1809,1.746230537946758e-06,9.006754829954389e-06,3.45857563388563e-06
1810,2.8385738488623247e-06,1.285431617192856e-05,1.930604554445381e-06
1811,2.747756241205934e-06,6.445694239687327e-06,1.6972909406831604e-06
1812,4.691619153618376e-06,5.846520461538773e-06,8.66575931013358e-06
1813,4.333742737117063e-06,5.878016001048536e-06,3.8103575974446358e-06
1814,6.340554563166734e-06,6.007006756902911e-06,1.022984707788055e-05
1815,5.715416790508243e-06,6.01480858186676e-06,3.517179408163429e-06
1816,8.011956538211962e-06,7.439508488360502e-06,1.1868449746543774e-05
1817,6.168332305378499e-06,7.335987465162397e-06,3.7941004933372824e-06
1818,5.791308097968795e-06,7.680814652522017e-06,3.34150590219906e-06
1819,8.46612340410502e-06,4.41679306217857e-06,3.5711123018700164e-06
1820,9.497931841906393e-06,7.771358505159753e-06,2.896608066293993e-06
1821,1.0321033528271073e-05,7.467119041315584e-06,3.4091164309302258e-06
1822,8.111725890103116e-06,6.7733062394381705e-06,4.073407808391494e-06
1823,6.394098349460364e-06,7.259821962812829e-06,2.814589294075631e-06
1824,6.837101466317108e-06,5.603408302690127e-06,3.6008678421239892e-06
1825,8.307935445373005e-06,6.273878066398453e-06,2.7666703203976795e-06
1826,6.4694642958329496e-06,5.2416313519598745e-06,2.3288311155056363e-06
1827,5.373670234121164e-06,5.338644690766614e-06,3.48873797406668e-06
1828,7.527707424515029e-06,5.575841877658583e-06,2.684732663738032e-06
1829,5.432821865269943e-06,5.948069716432691e-06,3.3812605693128717e-06
1830,6.3048926222109e-06,6.208873529089942e-06,3.954517097781718e-06
1831,5.578533560424148e-06,6.780615677826063e-06,3.5298491809498955e-06
1832,5.532404429686721e-06,5.56217023650607e-06,3.841158417117185e-06
1833,6.552858735631162e-06,6.932801867365335e-06,3.9210583508975105e-06
1834,6.7124612996849464e-06,6.377351707165246e-06,3.2549509398904775e-06
1835,6.411986134935432e-06,8.089478690465057e-06,4.070453826443554e-06
1836,8.232247182604624e-06,8.249720887754108e-06,3.068022465413378e-06
1837,8.333466126941858e-06,4.468357631459696e-06,4.6965762976469705e-06
1838,8.194448696485779e-06,4.241141802641124e-06,3.75321144474583e-06
1839,8.58343406662243e-06,3.617389163768081e-06,4.029187238074883e-06
1840,1.1971830019774643e-05,2.290540136229424e-06,3.868311836185967e-06
1841,1.2319748520894791e-05,2.8584283064958527e-06,3.6327462851204473e-06
1842,1.3415188789167587e-05,3.007986017600217e-06,3.168984306967104e-06
1843,1.4910815991697746e-05,2.3533133464148648e-06,3.405334155104356e-06
1844,1.524283220533107e-05,2.3617279802934377e-06,2.9050955561160663e-06
1845,1.679592833170318e-05,1.6271944369705693e-06,2.3805253022146644e-06
1846,1.613851753745621e-05,1.5807153441738109e-06,2.704779689111092e-06
1847,1.2582390866100468e-05,1.2808905776040547e-06,3.3740007268079353e-06
1848,1.2601230650943762e-05,2.5438991454462823e-06,2.056358667346103e-06
1849,1.4105907212069724e-05,1.4647217341234864e-06,2.763531114169382e-06
1850,1.3706304400784575e-05,1.6605884765041878e-06,2.6918368121187086e-06
1851,1.4052036760858755e-05,1.2563506874840868e-06,3.082186765368533e-06
1852,1.490654500457822e-05,1.9505593726876214e-06,3.0234972427933826e-06
1853,1.6800238427094882e-05,7.793371121778137e-07,3.1460136540317762e-06
1854,1.881661836478088e-05,1.4890774249209926e-06,2.943863535165292e-06
1855,1.821818449343482e-05,9.679853185673437e-07,3.5726299927318905e-06
1856,2.1424243811907218e-05,1.3750614833440977e-06,3.7757241955205245e-06
1857,1.8111375425178267e-05,1.3809788832475078e-06,2.7731853435852827e-06
1858,1.776893708438365e-05,1.3756123671271325e-06,3.7681306253034563e-06
1859,1.9921091165997495e-05,8.514113929436462e-07,2.5959898550809157e-06
1860,1.9396731772758358e-05,6.174620885701643e-07,2.77148495797519e-06
1861,2.0830883158851066e-05,8.512314746411676e-07,3.004068872769494e-06
1862,1.8001012563217955e-05,9.22121015989319e-07,2.3077874686805444e-06
1863,1.9833140413538786e-05,9.864376195878322e-07,2.1097278590787027e-06
1864,1.9877023646586167e-05,1.5961648980322707e-06,2.6653893598904688e-06
1865,1.980169349735661e-05,1.0402125836250775e-06,2.624065700729261e-06
1866,1.9162242551828967e-05,6.816723772118394e-07,2.8760637462710292e-06
1867,1.6668922683038545e-05,5.672936751466295e-07,3.909910276433948e-06
1868,1.6361356415472983e-05,8.52622273228576e-07,3.982032438898386e-06
1869,1.877957362239613e-05,4.5758573108400924e-07,3.394534132894478e-06
1870,1.7669471674253145e-05,4.4954941369468315e-07,3.7391733087588364e-06
1871,1.4008270738941064e-05,5.151270929815155e-07,4.471515410386928e-06
1872,1.7128484500972263e-05,5.696593570192476e-07,2.799918092932785e-06
1873,1.5090119006799796e-05,6.369108964676684e-07,4.097419974868899e-06
1874,1.3473938736296986e-05,5.490665753171697e-07,3.4521291922828823e-06
1875,1.3919903778969456e-05,9.062899053446927e-07,3.019822088390356e-06
1876,1.3484426403920224e-05,5.145158681330031e-07,3.3766993396966427e-06
1877,1.2845244668824307e-05,5.219984582360837e-07,3.059010083461544e-06
1878,1.3921307129294291e-05,6.335003934765382e-07,3.17656053994142e-06
1879,1.3888329362998775e-05,5.64501639210846e-07,3.3503540066703863e-06
1880,1.2263220867225755e-05,3.902050655923972e-07,3.1607891912699415e-06
1881,1.1916712651327543e-05,3.521116287430459e-07,3.3056659276553546e-06
1882,1.2235925339609821e-05,4.3126894144762673e-07,3.693073296062721e-06
1883,1.1513203844515374e-05,3.109114805610602e-07,3.3783185529046023e-06
1884,1.2041495210723951e-05,2.9641618670694925e-07,4.059383400090155e-06
1885,1.136558978487301e-05,4.2025545976542844e-07,3.4406803877118364e-06
1886,1.1770472781336139e-05,4.2141119038774377e-07,3.2422202593807015e-06
1887,1.1378610281553847e-05,3.7476028325045263e-07,3.0228921445996093e-06
1888,1.1589375162657234e-05,3.328822639758755e-07,2.9388748430392297e-06
1889,1.109305077306999e-05,3.4458251807478746e-07,3.475271398656332e-06
1890,1.1923084002773976e-05,3.801544079529151e-07,3.6022909171151696e-06
1891,1.1532876726505492e-05,3.053251402818091e-07,3.874250978697091e-06
1892,1.2199779177990422e-05,4.438106788740015e-07,2.976916476882252e-06
1893,1.1530403128290345e-05,3.5164559264444506e-07,3.6661053002262634e-06
1894,1.2067448039942974e-05,4.858486750691782e-07,2.870981205660428e-06
1895,1.227255705771313e-05,4.5560913175535234e-07,2.9232409701762663e-06
1896,1.184005498089391e-05,2.88954414617848e-07,2.5870266995298152e-06
1897,1.1499601953346428e-05,5.203255213359625e-07,3.032804499980557e-06
1898,1.279750159710602e-05,4.7586764040374874e-07,3.0634332688350696e-06
1899,1.221207912749378e-05,3.272326427605776e-07,2.5410276975890156e-06
1900,1.2781930536220898e-05,2.886225498599515e-07,3.0808900817191898e-06
1901,1.2551749023259617e-05,2.900555551299533e-07,2.877641691156896e-06
1902,1.0238924289751594e-05,2.518975659171474e-07,7.818645144652692e-06
1903,1.1142274274789088e-05,2.5921057122957336e-07,2.6018262246907398e-06
1904,1.1014757149041543e-05,3.1280319046089744e-07,3.006027782248566e-06
1905,1.1124015884433902e-05,2.6732732383294433e-07,2.2640249710548233e-06
1906,1.211609782103551e-05,2.9167526527373866e-07,2.7346485182988545e-06
1907,1.1727226194579998e-05,4.762273091429847e-07,2.5673073480447783e-06
1908,1.1979368650827382e-05,4.012604941650011e-07,2.5588336995951977e-06
1909,1.2607704093170469e-05,2.706483908099244e-07,2.36652314811181e-06
1910,1.2514931881923985e-05,3.9600156664931774e-07,2.57748396848001e-06
1911,1.2578960649989313e-05,4.229697321278536e-07,2.6995578252808627e-06
