year,soixante - dix lieues
1800,7.234013565948771e-08
1801,4.1839726350190176e-08
1802,1.8229931697533175e-07
1803,8.357137204484388e-08
1804,1.658227404277568e-07
1805,8.117811489682936e-08
1806,1.8959589453970693e-08
1807,6.852886968999883e-08
1808,1.0707636732831816e-07
1809,1.902638615547403e-07
1810,6.154296983140739e-08
1811,8.001980233984796e-08
1812,1.2267850024727522e-07
1813,2.86382970671184e-07
1814,5.8469439068176143e-08
1815,1.6555938486817467e-07
1816,1.646541534228163e-07
1817,1.9279195839772e-07
1818,1.3293893630361708e-07
1819,8.253446281969445e-08
1820,1.851667832397652e-07
1821,1.6632495203339204e-07
1822,5.26308596704439e-08
1823,1.349483937929108e-07
1824,9.922541721607558e-08
1825,9.995132899121018e-08
1826,3.133052643988776e-07
1827,1.378309661959065e-07
1828,2.0547371093471156e-07
1829,1.6576923655975406e-07
1830,2.545304482737265e-07
1831,6.503503158228341e-08
1832,1.423322117943826e-07
1833,2.2432590185417212e-07
1834,9.410443624346954e-08
1835,1.1121471032993213e-07
1836,1.3658890907208843e-07
1837,1.0931022131899226e-07
1838,1.3076261495825747e-07
1839,1.108173890429498e-07
1840,9.741955153685922e-08
1841,9.40651929681735e-08
1842,1.4523712366099062e-07
1843,5.227884258829363e-08
1844,7.898845666431953e-08
1845,9.455627036913938e-08
1846,7.559793857581099e-08
1847,8.54136956718321e-08
1848,1.2156442608102225e-07
1849,5.321042451100766e-08
1850,8.841779219892487e-08
1851,8.046768584790698e-08
1852,4.1374487835810214e-08
1853,7.125375844907467e-08
1854,6.819820441705815e-08
1855,7.9703696087563e-08
1856,1.3894293715566164e-07
1857,8.880497404106791e-08
1858,5.253767909607632e-08
1859,9.030301839629828e-08
1860,4.7670830838342226e-08
1861,2.7368372457203805e-08
1862,7.377116872930856e-08
1863,8.333572054652905e-08
1864,7.034383031623292e-08
1865,6.96546749168192e-08
1866,4.698589606277892e-08
1867,7.399431467547402e-08
1868,4.273830001011447e-08
1869,4.8215810011242866e-08
1870,4.272635933944002e-08
1871,1.983037378749941e-08
1872,2.321728942433765e-08
1873,4.264276043386417e-08
1874,2.0976525405558277e-08
1875,6.098360927353497e-08
1876,5.711114781092874e-08
1877,6.603332991517163e-08
1878,4.0545707236105955e-08
1879,6.451708145505108e-08
1880,5.6535863990347934e-08
1881,5.225387056384534e-08
1882,1.6120793588925153e-08
1883,5.224957178029399e-08
1884,3.491924260856649e-08
1885,4.119208796282692e-08
1886,3.626846023507824e-08
1887,3.601311959755549e-08
1888,2.865497883419721e-08
1889,3.180468510777246e-08
1890,4.409674403405006e-08
1891,2.2487062878440156e-08
1892,1.5217814564039145e-08
1893,2.7171767058575824e-08
1894,5.149519211045117e-08
1895,5.047887796649775e-08
1896,4.6180915092008945e-08
1897,3.1565022595714254e-08
1898,3.3085740369642735e-08
1899,2.8061887036301414e-08
1900,2.0076015516679035e-08
1901,2.713632341055927e-08
1902,2.1087894097604476e-08
1903,1.3710281798751112e-08
1904,7.1222721054198246e-09
1905,1.367495094939386e-08
1906,1.8162102932706148e-08
1907,5.1153206115372996e-09
1908,2.2241943398171315e-08
1909,5.4594586629264086e-09
1910,1.356622458814627e-08
1911,4.110267237678045e-09
1912,7.472038099365363e-09
1913,1.4627750566376108e-08
1914,2.5114417212535045e-08
1915,5.195238905741917e-09
1916,2.297738532774929e-08
1917,1.688543349587235e-08
1918,3.791309044487434e-09
1919,0.0
1920,1.0012051632202201e-08
1921,8.356959568800448e-10
1922,9.772664455454105e-09
1923,1.7597121981793862e-08
1924,1.1399245103405065e-08
1925,7.311111716035157e-09
1926,9.876562678812206e-09
1927,1.3576948454385729e-08
1928,1.6447145867459767e-08
1929,6.171313238212406e-09
1930,9.300634928877116e-09
1931,1.8942818869049916e-08
1932,2.4257640340863418e-09
1933,1.1419179379856814e-08
1934,1.8583847349873395e-08
1935,1.5916487683398373e-08
1936,1.6106751488109694e-08
1937,6.973795318998555e-09
1938,4.303233325231304e-09
1939,1.1859523141311001e-08
1940,1.1258459942098398e-08
1941,6.561927001769163e-09
