year,vingt - deux lettres
1800,6.889536940946073e-09
1801,2.614982896886886e-09
1802,4.18795735868116e-08
1803,1.2857134024102379e-08
1804,1.6310432560118215e-08
1805,3.7466822533360755e-08
1806,4.107911166784106e-08
1807,6.229897042686616e-09
1808,2.2411333233662845e-08
1809,2.965150969203023e-08
1810,9.231445297075425e-08
1811,2.7593034523931692e-09
1812,1.4896675182285435e-07
1813,1.195884919980017e-07
1814,1.0318136567377678e-08
1815,1.1825670220844131e-08
1816,4.8129677132635607e-08
1817,1.876735988837197e-08
1818,8.992928002271583e-08
1819,7.801202228652215e-08
1820,1.0229494051827714e-07
1821,1.231236624876786e-07
1822,1.7543619890147966e-08
1823,2.3750918565212942e-08
1824,6.155650877914809e-08
1825,2.3065691578949554e-08
1826,1.2013238404051663e-07
1827,3.722442176723462e-08
1828,4.109474149860404e-08
1829,2.5286833960080912e-08
1830,2.6252017448769038e-08
1831,2.3960275541412557e-08
1832,3.4100425483352126e-08
1833,1.2673780247496325e-08
1834,1.4320240993015432e-08
1835,1.1619447626287638e-08
1836,3.8186145079333045e-08
1837,3.719583929751025e-08
1838,4.266990671908388e-08
1839,5.3498050323064206e-08
1840,1.1829516921579852e-08
1841,7.440977989325859e-08
1842,1.1002811994842432e-08
1843,7.680472347004752e-08
1844,3.351025412712261e-08
1845,1.6471092934011722e-08
1846,3.523632546853506e-08
1847,3.534359876988802e-08
1848,2.995065528921259e-08
1849,1.2843895724756749e-08
1850,3.937935411091331e-08
1851,2.188156278393194e-08
1852,2.996083409145811e-08
1853,5.6872264675433826e-08
1854,3.068919485205157e-08
1855,5.1778312026851125e-08
1856,4.253355145866777e-08
1857,3.691291183827161e-08
1858,4.2351803841711444e-08
1859,3.3445562652723027e-08
1860,2.860249864733433e-08
1861,4.6990979996053284e-08
1862,4.9015740799518426e-08
1863,6.798440566058161e-08
1864,2.8347514557935938e-08
1865,2.373418617196421e-08
1866,2.883225325156502e-08
1867,4.258665409206941e-08
1868,3.516442248496787e-08
1869,1.4839754580719955e-07
1870,5.843458117382738e-08
1871,2.2163359147953088e-08
1872,7.827543946348214e-08
1873,4.8547141751065226e-08
1874,2.6220657645126266e-08
1875,7.167146121034307e-08
1876,8.168222209725684e-08
1877,4.62914072629772e-08
1878,3.323418640288622e-08
1879,3.360264627660925e-08
1880,2.9681329394293243e-08
1881,4.5337914755805286e-08
1882,5.202619718369661e-08
1883,3.90130114880094e-08
1884,8.729810907492919e-08
1885,5.25554193497868e-08
1886,3.626845979098903e-08
1887,3.6733382557940786e-08
