year,diverses_ADJ âmes_NOUN,diverses_ADJ ames_NOUN,diverses_ADJ lames_NOUN
1800,0.0,0.0,3.144164395507687e-08
1801,0.0,2.3811825844433088e-09,9.762848662830947e-08
1802,0.0,0.0,0.0
1803,0.0,0.0,2.5354410126965377e-08
1804,0.0,0.0,3.707776485839531e-08
1805,0.0,0.0,3.1271653710973624e-08
1806,0.0,0.0,1.152667650217154e-08
1807,0.0,0.0,6.263301344233696e-08
1808,0.0,0.0,0.0
1809,0.0,0.0,1.129515236897305e-08
1810,0.0,0.0,1.1700633351097167e-08
1811,0.0,0.0,2.2563691359778204e-08
1812,0.0,0.0,7.20146218213813e-08
1813,0.0,0.0,0.0
1814,0.0,0.0,5.349351184236184e-08
1815,1.8880564667256294e-08,2.697223555614414e-09,8.361393355471591e-08
1816,0.0,0.0,1.5991466284503986e-07
1817,0.0,0.0,6.538868291272593e-08
1818,0.0,1.3113295338484932e-08,3.337929754820834e-08
1819,0.0,0.0,1.9666995143552413e-08
1820,0.0,8.306536791735653e-09,7.119888678630559e-09
1821,0.0,0.0,8.875339574387908e-09
1822,0.0,0.0,5.81485721795616e-08
1823,0.0,9.882686891060644e-10,1.680056804787e-08
1824,0.0,0.0,1.9368560089105813e-08
1825,1.1447076175841175e-08,0.0,1.3208164340028361e-08
1826,0.0,6.1655889282974385e-09,9.688783109140786e-09
1827,0.0,0.0,3.6869092223668076e-09
1828,0.0,9.172301251858528e-10,1.0089530988466322e-08
1829,1.714635211591542e-09,0.0,3.429270378774163e-08
1830,0.0,5.218417697960831e-09,5.114049628218709e-08
1831,0.0,0.0,2.182768810143898e-08
1832,0.0,4.058990921151917e-09,4.7354891563600177e-08
1833,1.6217079235048004e-08,2.3167257001688313e-09,4.865124125785769e-08
1834,0.0,1.8669061851994684e-09,3.827157613045529e-08
1835,7.563087933704082e-10,0.0,1.285724948729694e-08
1836,0.0,4.032449929525228e-09,1.008112526790228e-08
1837,5.5663127440652715e-09,0.0,3.339787468803479e-08
1838,0.0,1.8936485712828244e-09,2.3354999711955315e-08
1839,2.0974426639952526e-09,0.0,4.4046291947097416e-08
1840,5.732719632334238e-09,1.9109065441114126e-09,2.6115722917552375e-08
1841,0.0,6.420548537278137e-10,1.4767261191650505e-08
1842,2.683306021822318e-09,0.0,1.2074877098200432e-08
1843,1.2995204023980023e-08,0.0,1.7720733325177207e-08
1844,3.2931368743049916e-09,0.0,1.866110821424627e-08
1845,7.254296274794569e-09,0.0,1.5066614622583074e-08
1846,1.7563503984519002e-09,0.0,2.1076203893244383e-08
1847,5.9325460100012606e-09,0.0,4.314578916364553e-09
1848,3.218088684420195e-09,0.0,1.448139919091318e-08
