year,nos_DET yeux_NOUN,nos_DET lieux_NOUN
1800,1.3702268873316825e-05,1.8864987794131594e-08
1801,1.178209149088616e-05,1.6668277869058556e-08
1802,9.240042260216796e-06,6.713520406265161e-09
1803,1.0352400678925733e-05,1.3652374342143503e-08
1804,1.034716825643045e-05,1.9774807569206132e-08
1805,1.0720491424365264e-05,2.2743021688143017e-08
1806,1.086389291060641e-05,1.729001475325731e-08
1807,9.508830103754917e-06,1.9928686256776018e-08
1808,1.1658950370474486e-05,2.2660739951163578e-09
1809,8.905097843125986e-06,9.036122072814123e-09
1810,1.2830914585038045e-05,0.0
1811,8.218197663723004e-06,0.0
1812,8.932480156431666e-06,5.3344164641089264e-09
1813,1.0576977913956398e-05,8.627225156487839e-08
1814,1.0604302318029113e-05,2.8320094713762956e-08
1815,1.0440952635804024e-05,0.0
1816,1.0628531470047164e-05,9.270415546325239e-09
1817,1.1243739422184262e-05,1.2454987263765815e-08
1818,1.1334655880546052e-05,1.1921177378582115e-09
1819,1.095555158769912e-05,1.0351049795076506e-08
1820,1.0494716008224714e-05,1.6613073583471305e-08
1821,1.274202922729728e-05,1.8736827200882544e-08
1822,1.0748462756282606e-05,2.3058916553964082e-08
1823,9.387563906670948e-06,6.917880934764753e-09
1824,1.1414818217758693e-05,2.0210670470532932e-08
1825,1.110894731937151e-05,2.1133062855227536e-08
1826,1.049383278939331e-05,6.1655889282974385e-09
1827,9.785057443423284e-06,2.1199728195142598e-08
1828,1.0599511199416156e-05,1.1923991571904935e-08
1829,1.0458417335712511e-05,2.9148798763589667e-08
1830,1.1697605714289239e-05,2.5048406016026092e-08
1831,1.0639438997372963e-05,6.392394169552063e-08
1832,1.1097281159777594e-05,2.705993829010822e-08
1833,1.2620363676774105e-05,3.0117434990373226e-08
1834,1.164856138302639e-05,2.0535967593104942e-08
1835,1.1613877489935476e-05,1.5882484660778573e-08
1836,1.0860060143613737e-05,2.822714967321005e-08
1837,1.0456318179308255e-05,3.896418787618927e-08
1838,1.00666353972656e-05,1.0730675015224733e-08
1839,1.0630538305633763e-05,2.23727205650448e-08
1840,1.0036718137484968e-05,1.4013314952876499e-08
1841,1.2080261640790013e-05,1.2841097074556274e-08
1842,1.2005782224377981e-05,2.0124794275488966e-08
1843,1.2522651289259557e-05,1.1813822142769936e-08
1844,1.2167591151523993e-05,2.3600812915081093e-08
1845,1.1453417599227578e-05,1.0602432709561072e-08
1846,1.170549030860002e-05,1.7563504428608212e-08
1847,1.0977367459474863e-05,3.9909856752728956e-08
1848,1.1494208294493546e-05,1.850401026848303e-08
1849,1.2313549888176567e-05,1.3407063903514427e-08
1850,1.184476163018644e-05,3.19082831268247e-08
1851,1.0849245882127434e-05,7.739326512989919e-09
1852,1.1594630684896856e-05,4.492276417522589e-08
1853,1.1530606279563926e-05,1.6721408258035808e-08
1854,1.3347662203955224e-05,2.8576154442738755e-08
1855,1.2729749883533259e-05,7.695058457102277e-08
1856,1.291915818057987e-05,9.318940286107136e-09
1857,1.1972877388188863e-05,3.6123165847445904e-08
1858,1.2492086867155194e-05,1.3702292633865909e-08
1859,1.2371435218483384e-05,2.2405563182559263e-08
1860,1.2894384795458791e-05,2.654766717569146e-08
1861,1.3321182748882165e-05,2.4051415081771665e-08
1862,1.2249164186073358e-05,1.852374437172344e-08
1863,1.304644928268317e-05,2.1976330977224734e-08
1864,1.3764704846153109e-05,3.979624307870466e-08
1865,1.3062905210858844e-05,2.5416959203994338e-08
1866,1.1889612153481721e-05,2.6274310116480848e-08
1867,1.2295083038793564e-05,3.0572714138088486e-08
1868,1.2181729601934421e-05,2.173544577654951e-08
1869,1.2334792458545962e-05,4.0533208789383934e-08
1870,1.2445753000633886e-05,3.899153044883974e-08
1871,1.201786186300069e-05,2.4428708167434365e-08
1872,1.2294845859628367e-05,3.3260366238963e-08
1873,1.1223159617657075e-05,3.71132280463371e-08
1874,9.806723163308106e-06,5.556386639682387e-08
1875,1.0738161847712036e-05,3.032409406911185e-08
1876,1.1007979537680512e-05,3.264847947548333e-08
1877,1.0630461630967147e-05,2.2265338017746217e-08
1878,9.942152033204366e-06,2.0532902045289347e-08
1879,1.0678489267945679e-05,2.7491963261461194e-08
1880,9.911721733146805e-06,1.2193908105473383e-08
1881,1.0269109537830445e-05,2.1614773970668466e-08
1882,1.0130161683719052e-05,2.0631693686823382e-08
1883,9.624353204173985e-06,1.958995082818049e-08
1884,9.695912282836616e-06,3.6969503014461225e-08
1885,9.253999522229606e-06,3.2872741195788535e-08
1886,9.192313996209123e-06,3.097662598650075e-08
1887,8.772916409327536e-06,1.8933882017790893e-08
