year,es_VERB à_ADP,es_VERB là_ADV
1800,9.118077315406481e-08,1.2576657937302116e-08
1801,9.524730160137551e-08,0.0
1802,8.727576528144709e-08,6.713520406265161e-09
1803,8.971560561121805e-08,1.3652374342143503e-08
1804,7.662737999680758e-08,7.4155526164076946e-09
1805,7.960057502032214e-08,1.421438877713399e-08
1806,4.8988376022407465e-08,1.152667650217154e-08
1807,9.11025637151397e-08,2.8469551160981155e-09
1808,7.251436784372345e-08,0.0
1809,8.810219043198231e-08,6.7770917766551975e-09
1810,7.722418615685456e-08,7.020380277111826e-09
1811,5.264861258069686e-08,5.0141535368197765e-09
1812,5.601137331723294e-08,1.0668832928217853e-08
1813,7.476928232108548e-08,1.7254450312975678e-08
1814,1.4474714760126517e-07,9.440030979135372e-09
1815,3.776112933451259e-08,5.394447111228828e-09
1816,6.025770460382773e-08,1.3905623319487859e-08
1817,8.56280379935015e-08,1.5568733857662664e-08
1818,4.2916237674717195e-08,9.536941902865692e-09
1819,8.384350280721264e-08,1.035105001712111e-09
1820,6.289234733003468e-08,2.254631326081835e-08
1821,1.015733275266939e-07,4.832129363308013e-08
1822,1.2532019866284827e-07,2.3058916553964082e-08
1823,8.499110748516614e-08,1.8777104315859106e-08
1824,7.410579172528742e-08,2.5263338088166165e-08
1825,7.220463515977826e-08,2.905796137042671e-08
1826,4.492072136486058e-08,5.284790383086602e-09
1827,9.032927295038462e-08,1.566936447261469e-08
1828,6.879226077671774e-08,7.337841001486822e-09
1829,4.9724420136953995e-08,8.573175946935407e-09
1830,5.218418053232199e-08,1.3567886369969528e-08
1831,5.3010101197514814e-08,1.4032085715598441e-08
1832,7.712082350508354e-08,2.0294953273491956e-08
1833,7.29768601104297e-08,4.749287541017111e-08
1834,3.360431222176885e-08,6.16079063320285e-08
1835,6.504255622985511e-08,5.142899794918776e-08
1836,1.0820407680967037e-07,4.099657502365517e-08
1837,1.1271783506572319e-07,4.800944708449606e-08
1838,5.680945847075236e-08,4.670999942391063e-08
1839,6.082583325905944e-08,5.872839281551023e-08
1840,8.407989326997267e-08,4.395085184683012e-08
1841,6.805781538332667e-08,5.714288064950779e-08
1842,8.049917710195587e-08,6.439934452373564e-08
1843,3.898561473647533e-08,5.7887728388550386e-08
1844,6.366730787021879e-08,3.4577936958157807e-08
1845,9.87700374821543e-08,4.575786860527842e-08
1846,6.14722637237719e-08,3.8639708321852595e-08
1847,7.5505127483666e-08,1.6179670936367074e-08
1848,6.516629724728773e-08,1.609044275596716e-08
1849,3.016589289472904e-08,2.513824526317876e-08
1850,5.7706465383944305e-08,2.4440385715251978e-08
1851,5.7400004749297295e-08,1.1608989325395669e-08
1852,5.9245962802378926e-08,4.166749079104193e-08
1853,9.793968303029033e-08,2.6276499198729653e-08
1854,5.923057599943604e-08,3.636965217879151e-08
1855,6.42139355022664e-08,3.343370380548549e-08
1856,6.989205303398194e-08,2.847454005916461e-08
1857,7.468708673741276e-08,4.881509241272397e-08
1858,8.563932851757272e-08,6.019221387987272e-08
1859,7.892868580938739e-08,3.7172863898149444e-08
1860,8.330474798867726e-08,7.781212474355925e-08
1861,7.121105483065548e-08,7.168264914980682e-08
1862,6.505900529418795e-08,4.9697849391350246e-08
1863,8.840478926686046e-08,5.4940830551686304e-08
1864,6.856460998960756e-08,4.411149845395812e-08
1865,7.719224726088214e-08,7.813361690978127e-08
1866,9.682569412916564e-08,4.379051787850585e-08
1867,6.842464017609018e-08,1.0287960350296999e-07
1868,6.619431047738544e-08,5.5820578381826635e-08
1869,8.301982745706482e-08,6.83692675806924e-08
1870,4.9886224928741285e-08,6.135432073506308e-08
1871,6.691341525311145e-08,3.611200227737754e-08
1872,7.861540751719076e-08,6.349706183073067e-08
1873,7.542365665358375e-08,6.345164393906089e-08
1874,9.43988212043223e-08,5.616132625618775e-08
1875,8.982797794487851e-08,4.4627910256167524e-08
1876,6.831997012568536e-08,4.413590914964516e-08
1877,7.421779457672528e-08,6.122967732835605e-08
1878,4.287753085918666e-08,3.8650167510922984e-08
1879,4.215434401544371e-08,5.498392852132383e-08
1880,6.032775701214632e-08,6.28948910730287e-08
1881,6.066081681410651e-08,6.972507549107831e-08
1882,7.254369904785563e-08,7.786800892972678e-08
1883,8.278333751832179e-08,8.088753844504026e-08
1884,6.271611852071146e-08,6.073561564789998e-08
1885,5.8655285073427876e-08,6.703461252755005e-08
1886,6.388929563172496e-08,6.453463896605172e-08
1887,9.336362438716606e-08,7.181817096579834e-08
1888,6.404020780337305e-08,5.452928775184773e-08
1889,5.0121094830046786e-08,6.265136676120164e-08
1890,7.537544632896243e-08,6.751017878059429e-08
1891,4.3344694944380535e-08,6.182993672609882e-08
1892,8.274436424926535e-08,6.017771880806322e-08
1893,4.557228194812524e-08,5.850495554682311e-08
1894,6.994708456886656e-08,6.490585491292222e-08
1895,5.8982422501685505e-08,8.245501703640912e-08
1896,7.725108019940308e-08,6.368791360955584e-08
1897,4.311768009301886e-08,9.264474698511549e-08
1898,5.375436984422777e-08,9.336285700101143e-08
1899,6.743645997175918e-08,1.006019232363542e-07
1900,6.125442553184257e-08,8.046132649042192e-08
1901,6.091725168744233e-08,7.544797853142882e-08
1902,6.481574388317313e-08,5.106695155632224e-08
1903,6.804277319361063e-08,7.2902970771338e-08
1904,6.71828175313749e-08,8.814384955257992e-08
1905,6.863809431933987e-08,7.276670288547393e-08
1906,9.053764671307363e-08,8.899439052356684e-08
1907,8.331406320394308e-08,9.514260312926126e-08
1908,6.77771723189835e-08,8.00556421154397e-08
1909,8.251475236420447e-08,1.0561888075244497e-07
1910,8.283433317046729e-08,1.1596807070191062e-07
1911,6.650467554436545e-08,7.661338941034046e-08
1912,6.668059171488494e-08,7.814131919303691e-08
1913,7.954484715355647e-08,1.6704417760138313e-07
1914,6.027069332503743e-08,9.040603998755614e-08
1915,6.008188790929125e-08,8.599955947374838e-08
1916,7.581348882013117e-08,1.2635581470021862e-07
1917,6.031533672512523e-08,1.1405081323800914e-07
1918,8.729645628591243e-08,1.711470076770638e-07
1919,8.287063479883727e-08,1.3351380800941115e-07
1920,1.0146790430098918e-07,1.3478572213898588e-07
1921,8.784387262039672e-08,1.9083323365975957e-07
1922,8.853522359686394e-08,2.073199851793106e-07
1923,9.554353397334125e-08,1.6136240788000578e-07
1924,7.992807127266133e-08,2.281817472749026e-07
1925,9.128487477028102e-08,1.9906701709260233e-07
1926,8.693987751939858e-08,2.1957892215596075e-07
1927,1.0257286930936971e-07,2.5754710009096016e-07
1928,9.255093402771308e-08,2.1937998440080264e-07
1929,9.803557787790851e-08,2.2392217147171323e-07
1930,8.612954616182833e-08,2.0902170660974662e-07
1931,9.124285327288817e-08,1.7564249787938024e-07
1932,8.110057336807586e-08,1.9507974968746566e-07
1933,8.602996359741155e-08,1.6976579786387447e-07
1934,8.866369682891673e-08,2.1686659579245315e-07
1935,8.976213194955562e-08,1.9388620842164528e-07
1936,6.062357016389797e-08,1.52771406192187e-07
1937,9.443338910841703e-08,1.775347726606924e-07
1938,9.983214965814113e-08,1.6984431283617596e-07
1939,7.647025057622159e-08,2.3705777607574419e-07
1940,7.100192078723921e-08,1.141102288215734e-07
1941,5.60785480274717e-08,2.449747285027115e-07
1942,7.282108072104165e-08,3.246606468110258e-07
1943,7.258088174921795e-08,2.7580733785725897e-07
1944,7.711646787811333e-08,2.763340205547138e-07
1945,1.3942425880486553e-07,4.6402135467360495e-07
1946,1.0023195073927127e-07,3.0765639280616597e-07
1947,1.0251949333905941e-07,3.552419514107896e-07
1948,1.1850357850562432e-07,3.033256632534176e-07
1949,8.14811684790584e-08,2.434618124880217e-07
1950,1.2337019938968297e-07,4.254144698734308e-07
1951,7.462980988748313e-08,2.7506416699907277e-07
1952,8.857634981040974e-08,3.2056203735919553e-07
1953,9.050015137290757e-08,2.8227427151250595e-07
1954,1.0652064474925282e-07,3.2640269864714355e-07
1955,6.945349895204345e-08,2.740597437878023e-07
1956,9.942101542037562e-08,3.3838028912214213e-07
1957,1.0160293584249303e-07,2.88022221184292e-07
1958,8.603133494489157e-08,3.3916197139660653e-07
1959,1.007597205671118e-07,2.6895094151768717e-07
1960,7.751333441774477e-08,3.128216690129193e-07
1961,7.781938649031872e-08,3.196153386397782e-07
1962,8.751899827075249e-08,3.602231117838528e-07
1963,8.211887347897573e-08,3.1683660495218646e-07
1964,8.395875994438029e-08,2.9324726824597747e-07
1965,7.9344630421474e-08,2.8509344929261715e-07
1966,8.862519962349324e-08,2.6919903461930517e-07
1967,9.762064223650668e-08,3.29839451751468e-07
1968,1.0105685532835196e-07,2.7173066996510897e-07
1969,7.811823365955206e-08,2.7977228000963805e-07
1970,8.691590380749403e-08,2.423527973860473e-07
1971,7.861748230197918e-08,2.7130738544656197e-07
1972,6.463984902893571e-08,2.5753337240530527e-07
1973,8.545465846054867e-08,2.8613527547349804e-07
1974,7.256987544224103e-08,2.4414981680820347e-07
1975,9.138368284311582e-08,2.3759757539210113e-07
1976,7.82753204475739e-08,2.313978342272094e-07
1977,6.934602225783237e-08,2.2743145677850407e-07
1978,7.306927329864266e-08,2.631682036735583e-07
1979,7.841644134032322e-08,2.5104966994149436e-07
1980,8.016062480464825e-08,2.478725775745261e-07
1981,7.337637697446553e-08,3.080542683164822e-07
1982,8.442203380809588e-08,2.520245914183761e-07
1983,8.462523481966855e-08,3.1323966709351225e-07
1984,8.292582265312376e-08,2.777725001124054e-07
1985,6.978047650818553e-08,3.2604324928797723e-07
1986,6.593933932208529e-08,3.0451985821855487e-07
1987,9.655090593696514e-08,2.878194607092155e-07
1988,6.776105720973646e-08,2.908328724515741e-07
1989,7.902895760025785e-08,2.700156187529501e-07
1990,8.172976606601878e-08,3.143871651900554e-07
1991,6.330382262831336e-08,2.7900574650630006e-07
1992,6.116037809533736e-08,2.617223344714148e-07
1993,8.807339924032931e-08,2.586809841886861e-07
1994,7.490395859122145e-08,2.6427383659211046e-07
1995,6.181593903420435e-08,2.976925372877304e-07
1996,6.779377059729086e-08,2.588974723494175e-07
1997,1.3905193441132724e-07,2.795423483803461e-07
1998,9.107127141305682e-08,2.7464423624223855e-07
1999,9.643124343483578e-08,2.6507166239753133e-07
2000,6.582867229099065e-08,3.326777857637353e-07
2001,7.185187200775545e-08,2.8434064347493404e-07
2002,9.68249977972846e-08,3.316584695767233e-07
2003,9.542253565086867e-08,3.425210763907671e-07
2004,9.558397096043336e-08,3.554666534455464e-07
2005,7.65637437893929e-08,3.445368577104091e-07
2006,9.965293656932772e-08,3.6731577779391955e-07
2007,1.2063327403666335e-07,6.443095230679319e-07
2008,1.3453509950522857e-07,7.114181812539755e-07
2009,1.4829078054390266e-07,8.072549917415017e-07
2010,1.9650978799745644e-07,1.258890847566363e-06
2011,2.3976303964445833e-07,1.3731882972933818e-06
2012,2.597444961338624e-07,1.7654454040894052e-06
2013,2.791914255340089e-07,1.8592307924336637e-06
2014,3.064104987515748e-07,2.0993991256545996e-06
2015,3.1298043268179754e-07,2.070503114737221e-06
2016,3.3286434586443647e-07,2.096196112688631e-06
2017,3.763354641250771e-07,2.5644142169767292e-06
2018,4.303304876884795e-07,2.7567482447921066e-06
2019,3.913215209649934e-07,2.528794084355468e-06
