year,nos_DET oies_NOUN,nos_DET lois_NOUN
1800,1.8864987794131594e-08,3.213335993734745e-06
1801,2.1430643926123594e-08,3.0360078515645483e-06
1802,8.951360541686881e-09,3.34333316232005e-06
1803,5.070882025393075e-08,2.917707382366075e-06
1804,1.4831105232815389e-08,4.592698976679799e-06
1805,3.41145314219915e-08,3.363124276845042e-06
1806,5.76333825108577e-09,3.35138122409262e-06
1807,8.540865792383556e-09,5.073273895206398e-06
1808,4.5321479902327155e-09,4.217163565911619e-06
1809,4.0662548883574345e-08,2.972884122431907e-06
1810,0.0,3.7839850079990356e-06
1811,5.0141535368197765e-09,2.7803480264765312e-06
1812,8.00162425207418e-09,3.021946874071091e-06
1813,0.0,3.830487846245845e-06
1814,3.1466771410748606e-09,4.062360279277755e-06
1815,0.0,4.8145438524827e-06
1816,9.270415546325239e-09,3.3721136372122373e-06
1817,2.8023721676539992e-08,4.363916063176987e-06
1818,4.172412104708201e-08,5.329958435495996e-06
1819,7.24573512300708e-09,6.8109909889813025e-06
1820,1.6613073583471305e-08,5.567753042612367e-06
1821,8.875339574387908e-09,4.6664562294296275e-06
1822,1.2030739071633434e-08,5.880023678628277e-06
1823,5.929612023614084e-09,4.400760487577315e-06
1824,1.1789557774477544e-08,4.522137660778469e-06
1825,3.25801385869795e-08,5.068413031494856e-06
1826,1.7615968683770689e-09,5.492659219896723e-06
1827,7.373818444733615e-09,7.020796713774757e-06
1828,3.485474309172787e-08,5.557497416930346e-06
1829,2.5719527840806222e-08,4.668951470776506e-06
1830,6.262101504006523e-09,5.598318618682541e-06
1831,1.5591206548037917e-08,6.347179905219491e-06
1832,1.352996914505411e-08,7.264240538429334e-06
1833,2.3167257445777523e-08,4.830373242725727e-06
1834,1.8669062296083894e-08,4.951968685773522e-06
1835,1.5882484660778573e-08,4.308691387677754e-06
1836,2.8899224790990274e-08,3.941047743261095e-06
1837,2.574419688539109e-08,4.149686138710251e-06
1838,1.325553999897977e-08,4.024003293690015e-06
1839,8.389769878824893e-09,4.029187255838451e-06
1840,1.2102408852854296e-08,4.156858889103887e-06
1841,3.017657901338566e-08,4.191976116452167e-06
1842,1.408735617047796e-08,4.735364484531601e-06
1843,6.497602123012314e-09,4.303775448022407e-06
1844,6.037417454862748e-09,4.390300030188143e-06
1845,5.5802281129224696e-09,4.872655004817261e-06
1846,3.5127007969038004e-09,5.174208055791496e-06
1847,2.3730184928183462e-08,5.077720231838612e-06
1848,2.011305477722658e-08,6.180339170214211e-06
1849,2.011059585527164e-08,6.105241808995743e-06
1850,5.431196825611551e-09,5.1562423735163065e-06
1851,1.2898877521649865e-08,4.500418576469656e-06
1852,1.6276363812295358e-08,4.4688384122082425e-06
1853,1.5527023222716707e-08,3.4087785962810813e-06
1854,8.832629738719788e-09,3.5470801691417364e-06
1855,9.021793090369101e-09,3.609247826830142e-06
1856,8.28350277259915e-09,3.47751790741313e-06
1857,3.417056471111124e-09,2.8913179406231393e-06
1858,9.29798454896158e-09,3.5440002505993107e-06
1859,1.171199848215565e-08,3.83033281536882e-06
1860,1.830873536112776e-09,3.7610719729741504e-06
1861,1.1789909493131745e-08,3.7534355072921244e-06
1862,3.162590467287174e-09,4.100072477086769e-06
1863,3.496234635136375e-09,4.266904458205545e-06
1864,7.192092144059359e-09,4.31141915413491e-06
1865,1.0355057922240007e-08,4.063889578631574e-06
1866,2.919367858567057e-09,3.819019478434882e-06
1867,5.82337378318698e-09,4.003569541666252e-06
1868,1.2843672791973404e-08,3.7982692555615927e-06
1869,1.0255390092694938e-08,4.200314776880987e-06
1870,4.587239033071455e-09,4.295375855889461e-06
1871,0.0,4.212358810207206e-06
1872,5.442605477412599e-09,4.178106930652348e-06
1873,1.1373408437265198e-08,3.996855248544762e-06
1874,5.974609251779839e-09,3.643316667023555e-06
1875,2.8607636259891933e-09,3.825985274374943e-06
