year,meilleurs_ADJ yeux_NOUN,meilleurs_ADJ lieux_NOUN
1800,5.65949598296811e-08,0.0
1801,1.3572740442668874e-07,0.0
1802,6.042168365638645e-08,0.0
1803,5.655983770225248e-08,0.0
1804,4.69651695311768e-08,0.0
1805,3.4114531644036106e-08,0.0
1806,4.610670600868616e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,4.5321478125970316e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,4.680253340438867e-08,0.0
1811,5.766276700569506e-08,0.0
1812,4.800974906515876e-08,0.0
1813,1.0640243885973177e-07,0.0
1814,2.5173417128598885e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,1.2610674104962527e-07,0.0
1818,6.675859509641668e-08,0.0
1819,9.937008371707634e-08,0.0
1820,7.831877724129299e-08,0.0
1821,8.08642042215979e-08,0.0
1822,7.21844344298006e-08,0.0
1823,4.15072847204101e-08,0.0
1824,5.726356633317664e-08,0.0
1825,4.842993561737785e-08,0.0
1826,5.108631029315802e-08,8.807984341885344e-10
1827,3.3182182335167454e-08,0.0
1828,2.5682442839070063e-08,1.3758452155343548e-08
1829,5.229637523029851e-08,6.858540846366168e-09
1830,5.322786122974321e-08,0.0
1831,4.8332740476553226e-08,0.0
1832,3.2471927369215337e-08,0.0
1833,6.718504863556518e-08,1.1583628500844156e-09
1834,6.440826183506942e-08,8.401078055442213e-09
1835,4.5378527602224494e-08,0.0
1836,5.309392392405243e-08,2.2178475944656384e-08
1837,3.339787468803479e-08,0.0
1838,4.481634974240478e-08,1.2624323808552163e-09
1839,3.985140750728533e-08,6.9914749545318955e-09
1840,2.5478755105723394e-08,4.458782232319436e-09
1841,3.852328944731198e-08,0.0
1842,3.085801836277824e-08,0.0
1843,3.36693943836508e-08,8.860366662588604e-09
1844,2.030767731753258e-08,3.841992946007622e-09
1845,3.236532108985557e-08,1.1160455670733427e-08
1846,3.219975752699611e-08,9.367202125076801e-09
1847,1.77976389181822e-08,6.47186837454683e-09
1848,2.252662056889676e-08,3.218088684420195e-09
1849,1.5920887719289567e-08,4.1897072478036534e-09
1850,4.0055077477063605e-08,4.073397619208663e-09
1851,3.4826967976187007e-08,1.0319102017319892e-08
1852,7.291811243703705e-08,0.0
1853,4.538668108011734e-08,2.388772735173461e-09
1854,3.221311928314208e-08,2.0782657816909023e-09
1855,6.209116065747367e-08,3.714855978387277e-09
1856,2.847454005916461e-08,0.0
1857,3.514686497396724e-08,7.810414537345878e-09
1858,2.7404585267731818e-08,0.0
1859,4.073738679721828e-08,4.073738679721828e-09
1860,5.2637613379147297e-08,5.034902272882391e-09
1861,2.6409397335669382e-08,7.073945429425521e-09
1862,3.34330998441601e-08,4.517986262886353e-10
1863,3.296449690992631e-08,7.491931519609807e-09
1864,2.9727313943794798e-08,0.0
1865,5.883555331820389e-08,4.706844358715045e-10
1866,3.259960479340407e-08,7.298419202328432e-09
1867,1.455843445796745e-08,0.0
1868,4.100095551962113e-08,1.4819622196071691e-09
1869,3.809144999422642e-08,0.0
1870,2.2362790730312554e-08,5.734048791339319e-10
1871,1.911811864374613e-08,0.0
1872,1.6327815544059376e-08,6.047339295989218e-10
1873,2.573981916498269e-08,5.986004469882289e-10
1874,2.6885741633009275e-08,5.377148060148329e-09
1875,2.9751941355016243e-08,8.010138330405425e-09
1876,1.874264654588842e-08,1.0882827083946722e-08
1877,4.576763856789512e-08,0.0
1878,4.227361927178208e-08,6.039088673581716e-10
1879,3.726688291294522e-08,9.163987790827832e-09
1880,4.813384535395926e-08,6.417846254436199e-10
1881,3.416528571165145e-08,6.972507571312292e-10
1882,4.19289278852375e-08,1.9966155395678697e-09
1883,3.033282780506852e-08,5.687405213450347e-09
1884,3.630933420595284e-08,0.0
1885,2.8360796378024133e-08,7.090199094506033e-09
1886,2.3232470169887165e-08,4.5174246565693466e-09
1887,5.549586035158427e-08,1.3057849246322917e-09
1888,2.53624587998047e-08,1.268122939990235e-09
1889,1.1903759755682586e-08,1.2530273485467092e-09
1890,3.4082809463598096e-08,0.0
1891,2.6134301833735663e-08,0.0
1892,3.008885940403161e-08,6.268512375839919e-09
1893,3.387129154930335e-08,2.463366621796581e-09
1894,2.5836310868498913e-08,0.0
1895,1.5046536461227333e-08,6.018614495673091e-10
1896,2.889544248318998e-08,1.7691086373616827e-09
1897,1.8645483379486905e-08,1.1653427112179315e-09
1898,2.7160103499568322e-08,2.26334195829736e-09
1899,1.3818945987509323e-08,1.6582735185011188e-09
1900,3.218453059616877e-08,1.038210628578895e-09
1901,1.2295225282343836e-08,0.0
1902,1.1293653123800595e-08,0.0
1903,2.808114629715419e-08,5.400220270956879e-09
1904,3.278521276683932e-08,3.2247751136083025e-09
1905,1.5482276793932215e-08,1.0321518084666081e-09
1906,1.18316245689698e-08,3.0865106026567446e-09
1907,1.3885677496716653e-08,0.0
1908,1.1787333775714615e-08,1.964555629285769e-09
1909,3.355599886845084e-08,0.0
1910,1.8170112525695004e-08,2.137660271017694e-09
1911,4.0434844805758985e-08,1.5961122423746588e-09
1912,2.344239469209697e-08,1.5628263128064646e-09
1913,1.7499866444836698e-08,0.0
1914,2.0759905794420774e-08,0.0
1915,1.5314990164938536e-08,0.0
1916,1.7579939282086343e-08,0.0
1917,1.315970976634162e-08,2.1932848870420685e-09
1918,2.2972752589112133e-08,0.0
1919,1.9336480860943084e-08,9.207848372660976e-10
1920,1.3630017114962811e-08,1.514446346106979e-09
1921,3.256281289054641e-08,2.2718242842501013e-09
1922,1.8444838545406128e-08,7.377935484775833e-10
1923,1.6985516992917837e-08,0.0
1924,3.0939897754933554e-08,2.578324886925998e-09
1925,1.6497267552040284e-08,2.1996355847875293e-09
1926,1.114613823460786e-08,6.687683296036084e-09
1927,3.2332753363562006e-08,2.2298449753321847e-09
