year,intérêts_NOUN égaux_ADJ,intérêts_NOUN légaux_ADJ
1800,0.0,3.144164484325529e-09
1801,2.8574191901498125e-08,7.143547975374531e-09
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,3.900678446910888e-09,7.801356893821776e-09
1804,0.0,2.9662210465630778e-08
1805,1.1371510844071508e-08,2.842877711017877e-09
1806,5.76333825108577e-09,1.729001475325731e-08
1807,5.4092147649953404e-08,3.131650672116848e-08
1808,7.251436784372345e-08,6.798222074166915e-08
1809,2.4849335034105025e-08,3.6144488291256494e-08
1810,3.2761775514700275e-08,2.8081521108447305e-08
1811,1.7549536934780008e-08,1.504245972228091e-08
1812,3.200649700829672e-08,2.9339290108509886e-08
1813,0.0,6.326631307729258e-08
1814,6.293354282149721e-09,1.5733386149463513e-08
1815,2.1577788444915313e-08,1.6183340889597275e-08
1816,1.8540831092650478e-08,6.952811659743929e-09
1817,6.227493631882908e-09,4.670620334934483e-09
1818,1.1921177378582115e-09,0.0
1819,5.175524897538253e-09,1.9666995143552413e-08
1820,9.493184904840746e-09,3.5599443393152796e-09
1821,2.1695274909916407e-08,1.676452932031225e-08
1822,4.010246357211145e-09,3.308453244699194e-08
1823,9.882686669016039e-09,1.581229902569703e-08
1824,3.2000230021367315e-08,9.263223965660927e-09
1825,1.4088708866211164e-08,5.107157008410468e-08
1826,3.435113882233054e-08,4.668231845528226e-08
1827,1.3825909306319772e-08,2.949527333484525e-08
1828,2.5682442839070063e-08,5.961995697134626e-08
1829,1.8860987438529264e-08,3.943661008865007e-08
1830,2.7135772739939057e-08,1.0436835395921662e-08
1831,7.795603274018958e-09,2.6505050598757407e-08
1832,8.117981842303834e-09,5.411987658021644e-08
1833,1.9692167896323554e-08,4.40177885252524e-08
1834,2.8937046536725575e-08,5.507373401769655e-08
1835,1.2100940693926532e-08,3.6302822081779595e-08
1836,2.2178475944656384e-08,3.36037508930076e-08
1837,4.5226290268374214e-08,2.6439985201243132e-08
1838,1.830527018853445e-08,5.5547026533986354e-08
1839,2.7266752411492234e-08,5.173691519644308e-08
1840,1.3376346252869098e-08,8.853866972913238e-08
1841,5.264849889385914e-08,5.3290553747586955e-08
1842,1.8112315203211438e-08,1.25444557852461e-07
1843,1.3585895075607368e-08,9.214781471200695e-08
1844,1.6465683927435748e-08,9.769639058854196e-08
1845,1.2834524554250493e-08,2.3604363780238558e-07
1846,5.269050973311096e-09,9.777016884982004e-08
1847,2.6426796750911308e-08,1.3590923231276975e-07
1848,5.148941895072312e-08,1.126331028444838e-07
1849,1.0558062513155164e-07,1.8686095559772298e-07
1850,7.467895635215882e-09,1.235597331117333e-07
1851,3.353708066811123e-08,1.4575731044352835e-07
1852,2.0833745395520964e-08,1.204450923442124e-07
1853,8.957897534855874e-09,1.2242460534217514e-07
1854,1.558699302961486e-08,9.508065768049079e-08
1855,1.1144567935161831e-08,9.499417430447465e-08
