year,beaux_ADJ yeux_NOUN,beaux_ADJ lieux_NOUN
1800,1.8644894907993148e-06,1.062727547296305e-06
1801,2.5192912289639935e-06,8.024585342880641e-07
1802,1.7544666661706287e-06,5.393194442149252e-07
1803,2.2623935365118086e-06,5.051378586529154e-07
1804,2.597915454316535e-06,7.020056944639919e-07
1805,2.1406870018836344e-06,1.4470248004272435e-06
1806,1.948008275576285e-06,8.933174058256554e-07
1807,1.7537244048071443e-06,3.6156329930037145e-07
1808,2.071191602226463e-06,7.410061693136072e-07
1809,1.6942728962021647e-06,4.2695677393567166e-07
1810,2.6677444111555815e-06,7.067183043218961e-07
1811,2.4694707008166006e-06,9.000405398751354e-07
1812,2.768562126220786e-06,4.6676144016544185e-07
1813,3.056913328691735e-06,6.125329812256552e-07
1814,1.3121643860358745e-06,5.003216756449547e-07
1815,8.388365131395403e-07,4.693168875746778e-07
1816,1.2468708519008942e-06,1.7845549393769033e-07
1817,1.7654944031164632e-06,4.0167335235707924e-07
1818,1.8346692058912595e-06,3.409456870162586e-07
1819,1.6385712342525949e-06,5.848343196390715e-07
1820,2.2047922811907483e-06,5.767109705345774e-07
1821,1.8066247093884158e-06,2.761216850721837e-07
1822,1.7885698753161705e-06,4.210758675071702e-07
1823,1.888581437015091e-06,4.2199072503024126e-07
1824,1.9772771793213906e-06,8.774799518107557e-07
1825,2.292056933583808e-06,5.001491611977826e-07
1826,1.6056955018939334e-06,3.9547849262078216e-07
1827,1.0774991778816911e-06,3.7422127507902303e-07
1828,1.3886864280721056e-06,2.7608625430275424e-07
1829,1.7609303313292912e-06,3.746477985622221e-07
1830,2.0602312815753976e-06,3.5589609836961245e-07
1831,1.8459987813912448e-06,2.993511623028411e-07
1832,2.320389739907114e-06,3.1254228893828895e-07
1833,2.0711527213279624e-06,6.59108454925672e-07
1834,1.5439313756360207e-06,3.659136131872742e-07
1835,1.6578288750679349e-06,3.4865834663833084e-07
1836,1.78570326170302e-06,2.6412547948773124e-07
1837,1.5279528042810853e-06,2.560503991055896e-07
1838,1.4865141793052317e-06,2.998276835697311e-07
1839,1.2263047892702161e-06,1.8317664585154603e-07
1840,1.3510109511116752e-06,2.5542450288185137e-07
1841,1.3855543556928751e-06,2.953452336029727e-07
1842,1.8219648154627066e-06,1.9118555671937543e-07
1843,1.5948660347930854e-06,2.014256685889393e-07
1844,1.3523814459404093e-06,2.40398983608614e-07
1845,1.3710620123674744e-06,2.2878934657910577e-07
1846,1.4044949239178095e-06,2.4881631177642305e-07
1847,1.0209372476310818e-06,1.644933167455065e-07
1848,1.3507926723832497e-06,2.0113053977866002e-07
1849,1.239315452039591e-06,2.59761871568287e-07
1850,1.109321942749375e-06,1.805872962279409e-07
1851,1.1415506833145628e-06,1.8574383719993648e-07
1852,1.5026338360257796e-06,2.6693236421238e-07
1853,1.5628545497747837e-06,2.185727008274796e-07
1854,1.4984295830799965e-06,2.519897233099755e-07
1855,2.0129211861785734e-06,3.056795740974394e-07
1856,1.68828137248056e-06,2.1588878951206425e-07
1857,1.9760348095587688e-06,2.3968210038916027e-07
1858,1.9804706425929908e-06,3.1711021586389165e-07
1859,1.9991873614344513e-06,2.5715476636989365e-07
1860,2.1517341792787192e-06,2.9751695240776144e-07
1861,1.6713375998733682e-06,2.8295783005560793e-07
1862,1.990172904697829e-06,2.7469356300713343e-07
1863,1.9009527250091196e-06,2.1277085249238326e-07
1864,1.7841182398115052e-06,2.354211487975988e-07
1865,2.0182949356239988e-06,2.17926886980635e-07
1866,1.953057108039502e-06,1.839201715370109e-07
1867,1.6965428812909522e-06,1.7227480419990115e-07
1868,1.8020660945694544e-06,1.2794274351080048e-07
1869,1.927525090650306e-06,1.889921925624094e-07
1870,1.5848910379645531e-06,1.5424590715795716e-07
1871,1.4646603858636809e-06,1.232056630051659e-07
1872,1.4918786064299638e-06,2.0863319893926757e-07
1873,1.5826996104806312e-06,1.5623471938397415e-07
1874,1.7356239823129727e-06,1.3741600746186577e-07
1875,1.8446203284838703e-06,1.3159512501914605e-07
1876,1.7194865904457401e-06,2.0495990460389635e-07
1877,2.2116901163826697e-06,2.906863521001668e-07
1878,1.7235558971151477e-06,2.55453449948817e-07
1879,1.950096702785231e-06,1.6495178689623913e-07
1880,1.9426820472290274e-06,1.585208015963957e-07
1881,1.9467240690573817e-06,1.6315667494826158e-07
1882,2.1031016785855172e-06,1.7170893329421233e-07
1883,2.144783593394095e-06,1.2765064738573528e-07
1884,1.829330244618177e-06,1.254322405941366e-07
1885,1.710671767796157e-06,1.0699755237375541e-07
1886,1.7514701085019624e-06,1.6133660318828902e-07
1887,1.6922972463362385e-06,1.4167766604344934e-07
1888,1.7284515934079536e-06,1.0525420091056503e-07
