year,autres_ADJ yeux_NOUN,autres_ADJ lieux_NOUN
1800,3.018398047061055e-07,3.4522925034252694e-06
1801,5.738650088460417e-07,3.7813179005752318e-06
1802,2.2602185367759375e-07,3.8647499422950204e-06
1803,3.8031615190448065e-07,4.351206825958798e-06
1804,4.0291169511874614e-07,3.7374386465671705e-06
1805,3.894742519605643e-07,4.181873009656556e-06
1806,2.507052272449073e-07,4.723055553768063e-06
1807,1.8505208743135881e-07,4.6576187742175534e-06
1808,2.4020383193601447e-07,5.5314867495326325e-06
1809,1.4457795316502597e-07,5.862184025318129e-06
1810,3.8378078670575633e-07,3.954814019380137e-06
1811,1.5293167621166504e-07,5.61585193281644e-06
1812,1.2802598803318688e-07,4.283536327420734e-06
1813,2.7894694198948855e-07,3.640688873929321e-06
1814,1.321604372606089e-07,5.254950792732416e-06
1815,2.454473531088297e-07,3.9055798879417125e-06
1816,2.201723674488676e-07,4.2064511944772676e-06
1817,5.184388669476903e-07,4.323437678976916e-06
1818,2.8491612624748086e-07,4.731515218736604e-06
1819,3.5711121881831787e-07,4.300861291994806e-06
1820,3.35821425778704e-07,4.824911229661666e-06
1821,3.717780998613307e-07,4.4011821955791675e-06
1822,2.7770954602601705e-07,6.626932190556545e-06
1823,2.480554428530013e-07,7.072050721035339e-06
1824,3.4273929827577376e-07,5.680882622982608e-06
1825,2.6944655928673455e-07,5.748193416366121e-06
1826,2.8714029554066656e-07,8.397531928494573e-06
1827,2.0278000079088088e-07,5.9727931329689454e-06
1828,1.990389364436851e-07,5.173178124096012e-06
1829,2.7434163030193304e-07,5.739741482102545e-06
1830,1.847319879288989e-07,5.296694325807039e-06
1831,1.980083226271745e-07,4.6991895032988396e-06
1832,2.9495333819795633e-07,3.9899878174765036e-06
1833,2.2703912350152677e-07,4.020677351945778e-06
1834,1.8295681059044e-07,4.78861420560861e-06
1835,2.821031728217349e-07,5.397776021709433e-06
1836,2.130477838591105e-07,6.302047495410079e-06
1837,1.746430626781148e-07,4.887222530669533e-06
1838,2.0072674544735492e-07,6.16887564319768e-06
1839,1.3423633049569617e-07,5.1673991947609466e-06
1840,1.3057861281140504e-07,4.725672170025064e-06
1841,1.6308193551139993e-07,4.6298573579406366e-06
1842,1.8179397898165917e-07,4.531433205556823e-06
1843,1.9374668625005143e-07,4.56663292425219e-06
1844,1.5807056286121224e-07,4.369443558971398e-06
1845,1.5401428754557855e-07,3.867097802867647e-06
1846,1.5631518124337163e-07,4.596368853526656e-06
1847,1.0301057074002529e-07,5.187741862755502e-06
1848,1.3515972341338056e-07,5.199626684770919e-06
1849,1.349085749779988e-07,4.346402420196682e-06
1850,1.262753244191117e-07,4.415563125803601e-06
1851,9.158203084780325e-08,4.446243110578507e-06
1852,1.9271215023763943e-07,5.020281605538912e-06
1853,1.7736637403231725e-07,4.2335022953921e-06
1854,2.1250266968309006e-07,4.370073384052375e-06
1855,1.772517066456203e-07,4.145248567510862e-06
1856,1.8586109717944055e-07,4.422355232236441e-06
1857,1.9867742651058506e-07,4.392381924844813e-06
1858,2.0210882212268189e-07,4.650460141419899e-06
1859,1.6193111207485344e-07,3.887874299834948e-06
1860,1.6157459015175846e-07,3.710722921823617e-06
1861,1.5185403867690184e-07,3.7293841614882695e-06
1862,2.706273676267301e-07,4.2319975364080165e-06
1863,1.7531118601255002e-07,4.36429945693817e-06
1864,2.1911907310823153e-07,4.180044015811291e-06
1865,1.882737734604234e-07,3.916094556188909e-06
1866,1.7078301084438863e-07,3.819019639195176e-06
1867,1.5917221674044413e-07,3.86332339985529e-06
