year,divisions_NOUN égales_ADJ,divisions_NOUN légales_ADJ
1800,2.7354229814591235e-07,0.0
1801,2.3097470602806425e-07,0.0
1802,4.5875722776145267e-07,0.0
1803,5.070882025393075e-07,5.851017448321727e-09
1804,5.43807232133986e-07,0.0
1805,4.804463173968543e-07,0.0
1806,1.5849180101668026e-07,0.0
1807,2.1921555060089304e-07,0.0
1808,2.01680592226694e-07,0.0
1809,1.6265019553429738e-07,0.0
1810,2.2933242860290193e-07,0.0
1811,1.8301660986708157e-07,0.0
1812,1.5736529235255148e-07,0.0
1813,6.326631307729258e-08,0.0
1814,1.4160046646338742e-07,0.0
1815,1.9689731800554e-07,0.0
1816,6.00259397742775e-07,0.0
1817,3.6119462265560287e-07,0.0
1818,5.48374146092101e-08,0.0
1819,2.3703904616922955e-07,0.0
1820,1.044250339532482e-07,2.3732962262101864e-09
1821,1.3313008651039127e-07,0.0
1822,2.035200026284656e-07,1.0025615893027862e-09
1823,3.80483442086188e-07,9.882686891060644e-10
1824,9.936913158981042e-08,8.421112696055388e-10
1825,2.0780845488843624e-07,0.0
1826,1.2859656806085695e-07,7.927186018719112e-09
1827,2.3504045998379297e-07,0.0
1828,1.476740436601176e-07,0.0
1829,1.0802202154991392e-07,3.429270423183084e-09
1830,8.34946831673733e-08,0.0
1831,1.7929886553247343e-07,1.2472964883158966e-08
1832,5.817886972181441e-08,6.764984572527055e-09
1833,1.1004446776041732e-07,4.6334514003376626e-09
1834,1.1761508744712046e-07,2.8003592777992026e-09
1835,1.232783404248039e-07,1.739510224751939e-08
1836,9.409050250042128e-08,3.36037508930076e-09
1837,1.3776623575267877e-07,6.957890930081589e-10
1838,1.230871617963203e-07,1.8936485712828244e-09
1839,1.125627520082162e-07,3.4957374772659477e-09
1840,7.898413656448611e-08,3.1848443882154243e-09
1841,1.0786521897898638e-07,5.778493683550323e-09
1842,7.244926081284575e-08,0.0
1843,4.961805188941071e-08,0.0
1844,9.659867572509029e-08,5.488561272137815e-10
1845,1.0881444723054301e-07,1.1160455892778032e-09
1846,8.898842196458645e-08,5.854501328173001e-10
1847,7.172987182002544e-08,0.0
1848,4.34441957963827e-08,5.63165514222419e-09
1849,9.636327291673297e-08,0.0
1850,1.2355972955901962e-07,1.3577992064028876e-09
1851,7.67483214758613e-08,0.0
1852,6.966283905285309e-08,2.6042181744401205e-09
1853,1.4034040418664517e-07,7.166318205520383e-09
1854,6.33871053423718e-08,1.0391328908454511e-09
1855,8.225752878843196e-08,5.306937111981824e-09
1856,4.918329921110853e-08,3.6240324075009767e-09
1857,1.0788134829908813e-07,4.3445432140742923e-08
1858,1.1010771316932733e-07,3.4255731584664773e-09
1859,7.485494535330872e-08,8.656694916453489e-09
1860,6.224970405810382e-08,9.154367819341758e-10
1861,7.922819378336499e-08,1.8863854922557266e-09
1862,6.731799828685325e-08,6.776979422085105e-09
1863,1.5133700514979864e-07,6.493007020935693e-09
1864,5.9454627887589595e-08,0.0
1865,7.154403647291474e-08,1.4120533631256649e-09
1866,6.082016312802807e-08,9.731225825149181e-10
1867,6.599823620945244e-08,1.94112459439566e-09
1868,1.1756900164527906e-07,1.975949626142892e-09
1869,6.543915986867432e-08,0.0
1870,1.0780011905353604e-07,7.454262984651905e-09
