year,garanties_NOUN égales_ADJ,garanties_NOUN légales_ADJ
1800,3.144164484325529e-09,9.432493897065797e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,9.887403784603066e-09
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,1.7254450312975678e-08,1.1502966579257645e-08
1814,0.0,6.293354282149721e-09
1815,0.0,1.6183340889597275e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,2.3353100786493997e-08
1818,2.026600220972341e-08,1.0371424252753059e-07
1819,0.0,6.314140676977331e-08
1820,1.1866481131050932e-09,9.849179249954432e-08
1821,9.86148829262845e-10,6.7058117281249e-08
1822,1.0025615893027862e-09,3.308453244699194e-08
1823,0.0,1.9765373782121287e-09
1824,8.421112696055388e-10,3.8737120178211626e-08
1825,9.68598712347557e-09,3.78634048558979e-08
1826,7.927186018719112e-09,6.694067877788257e-08
1827,6.452091305675367e-09,5.346018383534101e-08
1828,4.586150570418113e-09,4.4027045120742514e-08
1829,8.573175946935407e-09,9.173298565201549e-08
1830,7.305785310052215e-09,6.78394300734908e-08
1831,1.5591206548037917e-08,5.14509785887185e-08
1832,1.488296597074168e-08,8.523880978827947e-08
1833,1.2741991461950875e-08,8.224376557564028e-08
1834,9.334531370086552e-09,1.110809151327885e-07
1835,9.075705520444899e-09,1.104210838320796e-07
1836,5.376600054063374e-09,5.511015038761613e-08
1837,1.0436836284100082e-08,9.393152744507915e-08
1838,6.312161904276081e-10,6.375283678750066e-08
1839,1.3982949909063791e-08,5.313521223015982e-08
1840,9.554533164646273e-09,5.6053260255595205e-08
1841,1.6051371787284552e-08,8.410918450607596e-08
1842,1.0062397137744483e-08,1.086738947719823e-07
1843,1.7720733325177207e-08,7.797122947295065e-08
1844,1.3721403568922597e-08,1.1196664928547762e-07
1845,1.562463758375543e-08,1.2499710067004344e-07
1846,9.952652035849496e-09,1.0479557488451974e-07
1847,1.9954928376364478e-08,1.0301057074002529e-07
1848,2.494018680465615e-08,1.4481399546184548e-07
1849,2.9327951622803994e-08,1.248532868203256e-07
1850,2.1724787302446202e-08,1.4800011172155791e-07
1851,1.5478653025979838e-08,1.186696749755356e-07
1852,2.408901877970493e-08,9.961134850300368e-08
1853,3.5831591027601917e-09,1.702000531622616e-07
1854,3.896748168585873e-08,9.144369528257812e-08
1855,1.1144567935161831e-08,1.3638829088336024e-07
1856,5.177189343896771e-09,7.76578374939163e-08
1857,1.8061584228235006e-08,1.532793874048366e-07
1858,2.936205589776364e-08,1.487677446787572e-07
1859,2.5970084749360467e-08,1.4818223803558794e-07
1860,3.204028820036342e-09,1.7439070632008224e-07
1861,2.452301117727984e-08,1.0563758934267753e-07
1862,2.710791813242963e-09,9.578130999443601e-08
1863,1.1987090431375691e-08,1.9029505438084016e-07
1864,2.2535221688713136e-08,1.0452507126501587e-07
1865,7.530950973944073e-09,1.0449194576267473e-07
1866,2.1408697037372804e-08,8.904071668869307e-08
1867,2.5719900875742496e-08,1.3976097079648753e-07
1868,3.457911734727759e-09,8.644779825317528e-08
1869,5.371870948067681e-09,1.3283171540479088e-07
1870,1.77755516972411e-08,8.199689549570621e-08
1871,2.0180236148803488e-08,1.3064048687283503e-07
1872,2.0560953828407946e-08,9.796689726115915e-08
1873,2.3944018323618366e-08,7.662085788062711e-08
1874,4.779687312606029e-09,7.05003913026303e-08
1875,1.0870901512305409e-08,9.783811333319292e-08
1876,1.753344314181504e-08,7.255217582269324e-08
1877,2.4739263970730008e-09,5.999271479595336e-08
1878,6.6429977074733415e-09,1.3104822205178834e-07
1879,6.109325489944695e-09,1.130225149026387e-07
1880,1.2835692508872398e-09,1.0653624915590854e-07
1881,1.5339516323820135e-08,6.83305714233029e-08
1882,3.1945848633085916e-08,1.597292396127159e-07
1883,1.3902545781263598e-08,8.657494277031219e-08
1884,3.1688145440966764e-08,7.723985362417807e-08
1885,1.4824961702686323e-08,8.121500810753801e-08
1886,5.162771099520569e-09,6.25986018576441e-08
1887,9.140494583448344e-09,8.29173419369944e-08
1888,1.268122939990235e-08,6.467426683087751e-08
1889,1.2530273707511697e-08,8.771191772893872e-08
1890,3.211649257650606e-08,8.520702721170892e-08
1891,6.3742202627281586e-09,1.0772431835448515e-07
1892,1.56712811616444e-08,6.581937839200691e-08
1893,2.6481190573690583e-08,8.744951440764481e-08
1894,1.764431090123253e-08,6.616616077259607e-08
1895,1.5046536461227333e-08,8.787176852820267e-08
1896,4.717623180994224e-09,6.427761650718011e-08
1897,1.2818770045441852e-08,7.166857907137114e-08
1898,5.092519295146758e-09,1.5503891859225405e-07
1899,1.9346524382513053e-08,1.221594772005119e-07
1900,2.076421168339948e-08,9.032432379818545e-08
1901,3.576792906301307e-08,9.668518441419138e-08
1902,2.356936334990678e-08,7.169014537566909e-08
1903,2.2680925582108102e-08,1.107045146664376e-07
1904,1.6123875568041512e-08,8.86813147360499e-08
1905,2.167518786677647e-08,1.3159936207429723e-07
1906,2.1605574218597212e-08,1.2551809636107691e-07
1907,2.262851062084792e-08,1.5582816104142694e-07
1908,2.2592390180875555e-08,1.0706827890949455e-07
1909,7.701377313651392e-09,1.1111986708556287e-07
1910,2.6186338430989053e-08,1.464297227915523e-07
1911,1.702519725199636e-08,8.406191098764282e-08
1912,9.897900277167082e-09,1.1096067420446332e-07
1913,1.856046338843953e-08,1.1613547190592044e-07
1914,1.1384464038144415e-08,7.366417931198299e-08
1915,2.238344798399794e-08,9.071186812814602e-08
1916,8.789969641043172e-09,1.0218339951961752e-07
1917,1.315970976634162e-08,1.2282394834528532e-07
1918,3.445912710731136e-08,1.2635013568740305e-07
1919,8.287063479883727e-09,7.918749389546065e-08
1920,1.514446346106979e-09,7.496509191184941e-08
1921,1.3630945261411398e-08,8.860114697473165e-08
1922,1.1066902949607993e-08,1.4682092164264304e-07
1923,8.492758496458919e-09,1.0509788905821438e-07
1924,1.2891624656674594e-08,1.6888028397943344e-07
1925,1.5397448649423495e-08,7.148815495128247e-08
1926,8.916910765321973e-09,1.1814907097118521e-07
1927,7.804457524684949e-09,1.0703255803878875e-07
1928,2.2852082448565625e-09,7.198406271058388e-08
1929,1.2254447234738564e-08,1.1140406375176326e-07
