year,quelques_DET yeux_NOUN,quelques_DET lieues_NOUN
1800,5.973912209356058e-08,2.182050138799241e-06
1801,5.476719877606229e-08,2.109727802235284e-06
1802,2.0140561218795483e-08,1.9021640582650434e-06
1803,5.655983770225248e-08,2.5959016056731343e-06
1804,7.662737999680758e-08,2.219722091467702e-06
1805,4.264316544322355e-08,2.007071771004121e-06
1806,2.0171683878800195e-08,1.4033728348294972e-06
1807,5.693910232196231e-09,2.664749899849994e-06
1808,4.305540457494317e-08,1.608912498340942e-06
1809,9.487928309681593e-08,2.5436684154556133e-06
1810,1.4040760554223652e-08,1.7691357925286866e-06
1811,1.0028307073639553e-08,1.8752933783616754e-06
1812,6.13457871168066e-08,1.2642567526199855e-06
1813,8.052076339026826e-08,2.2890903892403003e-06
1814,6.922689976818219e-08,2.91696960630361e-06
1815,7.821948599939788e-08,1.8718731098488206e-06
1816,6.952811304472561e-08,2.0232682800269686e-06
1817,4.0478710161551135e-08,2.394471266597975e-06
1818,4.887682791832049e-08,2.099319317494519e-06
1819,3.105314938522952e-08,2.2306512619252317e-06
1820,1.6613073583471305e-08,2.4100822884065565e-06
1821,3.944595405869222e-08,1.8510013433115091e-06
1822,1.604098542884458e-08,1.8777978993966826e-06
1823,1.9765373338032077e-08,2.31650187743071e-06
1824,2.6947560627377243e-08,2.0665411284426227e-06
1825,8.189061873054015e-08,2.1828693661518628e-06
1826,1.6735169694470642e-08,2.405460463705822e-06
1827,5.2538454919925925e-08,2.227815002697753e-06
1828,1.3758452155343548e-08,2.141732238669647e-06
1829,3.600733933240008e-08,2.430495442240499e-06
1830,3.1310506187764986e-08,2.6238205919071333e-06
1831,4.989185953263586e-08,2.585022002676851e-06
1832,7.441483085290912e-08,2.2513868316309527e-06
1833,3.8225973497674204e-08,2.270391178171849e-06
1834,1.866906162995008e-08,2.248688588224468e-06
1835,5.596685070941021e-08,2.3438010430254508e-06
1836,3.427582484505365e-08,2.2716135390510317e-06
1837,4.035576894878545e-08,2.282883997395402e-06
1838,1.8936486156917454e-08,2.6296465875930153e-06
1839,2.9364195075487487e-08,2.351932153032976e-06
1840,2.8026629905752998e-08,2.2924509721633513e-06
1841,2.5040138851295524e-08,2.2298565909295576e-06
1842,7.647422251011449e-08,2.451870841468917e-06
1843,3.1306629344474146e-08,2.10817665902141e-06
1844,3.9517641825526084e-08,2.2074993921705754e-06
1845,5.1896119845906696e-08,2.1891235064686043e-06
1846,2.6930706553685013e-08,2.0361956103442935e-06
1847,1.4561703842730367e-08,2.2144577087601647e-06
1848,3.459445352405055e-08,2.189104861827218e-06
1849,6.535943475327599e-08,2.4157852749340236e-06
1850,1.4935791270431764e-08,2.0903319182252744e-06
1851,1.676854055610022e-08,2.1624969122058246e-06
1852,3.255272873481374e-08,1.910845185193466e-06
1853,2.20961471342207e-08,2.159450559702236e-06
1854,2.1821791262865986e-08,1.9359044927114155e-06
1855,3.3964397516683675e-08,2.186988695029868e-06
1856,3.4169448159815374e-08,2.1827029286214383e-06
1857,3.7099468830348314e-08,2.0272907477192348e-06
1858,2.9851424443450014e-08,1.970683342733537e-06
1859,1.476730293603623e-08,2.1621367523039225e-06
1860,2.4259074749011234e-08,2.160888470825739e-06
1861,2.5937800796071997e-08,2.0887002847302938e-06
1862,5.82820236516568e-08,1.9418305328144925e-06
1863,4.345320192555846e-08,2.0133315956627484e-06
1864,2.685047595374357e-08,1.7280199244851246e-06
1865,2.3063536858103362e-08,1.7561236518304213e-06
1866,1.6056522000873485e-08,1.6961527080638916e-06
1867,2.91168689159349e-08,1.7940843690666952e-06
