year,des_DET égaux_NOUN,des_DET egaux_NOUN
1800,1.6664071367245015e-07,0.0
1801,1.7620750725200196e-07,0.0
1802,1.4769744893783354e-07,0.0
1803,1.8333189188979304e-07,0.0
1804,1.1864884186252311e-07,0.0
1805,1.876299289271799e-07,0.0
1806,2.0171684411707247e-07,0.0
1807,1.7651122163897526e-07,2.8469551160981155e-09
1808,2.628645794366946e-07,2.2660739951163578e-09
1809,1.7620438086396462e-07,2.259030518203531e-09
1810,1.4274773407763064e-07,0.0
1811,1.7048121492280188e-07,0.0
1812,2.720552458868042e-07,1.8670457180292033e-08
1813,2.013019200219901e-07,0.0
1814,6.293354459785405e-08,0.0
1815,1.6992508733437717e-07,0.0
1816,2.1321956111819418e-07,0.0
1817,1.97722921591037e-07,0.0
1818,2.6584225532033656e-07,2.384235475716423e-09
1819,2.970751324937737e-07,5.175525008560555e-09
1820,2.480094698498192e-07,0.0
1821,3.3035985480545094e-07,0.0
1822,2.095353721642823e-07,0.0
1823,1.5515818252431757e-07,0.0
1824,2.298963810432042e-07,8.421112696055388e-10
1825,1.8491430431311073e-07,0.0
1826,2.2988839532001037e-07,0.0
1827,1.7512818395459817e-07,1.8434546111834038e-09
1828,1.5409466413984774e-07,0.0
1829,1.688915718389694e-07,0.0
1830,2.0456198424056993e-07,1.0436835840010872e-09
1831,2.1515864090382308e-07,1.5591206103948707e-09
1832,1.6235963606892057e-07,0.0
1833,1.888131464511389e-07,0.0
1834,1.736222816628441e-07,0.0
1835,1.9437135989619492e-07,0.0
1836,2.473236011546476e-07,0.0
1837,1.9551673346995813e-07,0.0
1838,1.4202364684301472e-07,0.0
1839,1.5800734454174403e-07,0.0
1840,3.5479165771956644e-07,1.9109065441114126e-09
1841,2.227930280263024e-07,0.0
1842,1.978938253266449e-07,0.0
1843,1.9788152189059716e-07,1.1813822142769936e-09
1844,1.93746216625712e-07,0.0
1845,1.9921414340373644e-07,0.0
1846,2.0139484591119583e-07,0.0
1847,1.661112882800353e-07,5.393223645455691e-10
1848,1.520546959454805e-07,0.0
1849,1.8769890175462933e-07,0.0
1850,1.452845115323953e-07,0.0
1851,2.1734609223500456e-07,1.2898877521649865e-09
1852,1.712273480780624e-07,0.0
1853,1.4392356417758378e-07,0.0
1854,1.371655389270643e-07,5.195664454227256e-10
1855,1.8627348907784835e-07,5.306937111981824e-10
1856,2.795682143563738e-07,3.1063134287023786e-09
1857,2.2406126243268432e-07,4.881509085841174e-10
1858,2.211941498853065e-07,1.468102750479261e-09
1859,1.782260732330343e-07,2.036869339860914e-09
1860,1.922417287580913e-07,1.3731551729012637e-09
1861,1.848657822378641e-07,0.0
1862,1.9562880032575336e-07,2.7107918409985388e-09
1863,1.9978483800642266e-07,0.0
1864,1.8651492295074235e-07,9.589455896019672e-10
1865,1.939219891333721e-07,1.882737743486018e-09
1866,2.184660168325081e-07,0.0
1867,1.6596615459718578e-07,4.85281148598915e-10
1868,1.8672724233503857e-07,0.0
1869,1.9534077200233924e-07,1.4650557433881772e-09
1870,1.6170017325123354e-07,0.0
1871,9.877695106297324e-08,0.0
1872,1.9170065290730065e-07,0.0
1873,1.4186830926687932e-07,0.0
1874,1.1351757533972773e-07,5.974609140757536e-10
1875,1.9510406934486468e-07,1.1443054281912168e-09
1876,2.0193688898828555e-07,0.0
1877,1.3173657409382145e-07,1.8554447978047506e-09
1878,1.6486711507113228e-07,3.0195443923020093e-09
1879,1.6861738394435832e-07,0.0
1880,1.1616302075800888e-07,0.0
1881,1.2132162879874286e-07,6.972507571312292e-10
1882,1.2778339453234366e-07,3.3276925659464496e-09
1883,1.1627583368367667e-07,1.8958017378167824e-09
1884,1.208110553818642e-07,3.300848483434038e-09
1885,1.2633445578558167e-07,1.2891271383708158e-09
1886,1.3487739747297667e-07,1.2906927748801422e-09
1887,1.1229750562780083e-07,6.528924623161458e-10
1888,1.0779045012121458e-07,0.0
1889,1.3470044279983995e-07,0.0
1890,1.4091930317094992e-07,0.0
1891,1.4087025834719213e-07,0.0
1892,1.4480263721416975e-07,1.8805537127519756e-09
1893,1.2686338385359264e-07,0.0
1894,1.0838647312993999e-07,6.301539290376468e-10
1895,1.4745605247945548e-07,3.611168697403855e-09
1896,1.2973463447973899e-07,1.769108692872834e-09
1897,1.1944763400606462e-07,5.826713556089658e-10
1898,1.1543043854089774e-07,3.96084842702038e-09
1899,1.4261151903838254e-07,0.0
1900,1.5625070060032442e-07,5.191053142894475e-10
