year,certaines_DET âmes_NOUN,certaines_DET ames_NOUN,certaines_DET lames_NOUN
1800,1.8864987794131594e-08,7.545995117652637e-08,9.432493452976587e-09
1801,1.6668277424969347e-08,9.28661236798689e-08,3.809892135109294e-08
1802,8.951360541686881e-09,9.622712582313397e-08,1.1189200677108602e-08
1803,2.3404069793286908e-08,5.851017803593095e-08,3.900678446910888e-09
1804,9.887403784603066e-09,7.909923027682453e-08,2.2246657849223084e-08
1805,1.9900143755080535e-08,2.8428777332223376e-08,2.842877711017877e-09
1806,3.1698359492793315e-08,7.204172902675055e-08,2.0171682990621775e-08
1807,2.8469551160981155e-09,6.832692633906845e-08,3.9857372513552036e-08
1808,4.5321479902327155e-09,4.078933146800523e-08,1.5862518409903714e-08
1809,2.25903047379461e-08,8.358412628695078e-08,0.0
1810,3.042164919975221e-08,3.25277625279341e-07,2.106114038724627e-08
1811,2.5070768572277302e-08,2.2563691359778204e-08,1.504245972228091e-08
1812,5.3344166417446104e-08,1.6536691305191198e-07,1.8670457180292033e-08
1813,4.3136125782439194e-08,4.026038169513413e-08,0.0
1814,5.664018942752591e-08,4.72001566720337e-08,2.2026739543434815e-08
1815,1.213750626671839e-07,2.1577788444915313e-08,2.697223555614414e-09
1816,6.25753067140522e-08,5.0987285504788815e-08,0.0
1817,9.808302792180257e-08,1.1676550570882682e-07,1.401186100480345e-08
1818,2.861082504246326e-08,6.199012148044858e-08,2.384235475716423e-09
1819,1.2524770909294602e-07,6.521161566297451e-08,0.0
1820,7.001224044955734e-08,1.3409123766905395e-07,5.933240565525466e-09
1821,2.06105099209708e-07,1.2918549430196435e-07,9.86148829262845e-10
1822,1.4737655362750957e-07,9.323822780515911e-08,2.90742860897808e-08
1823,9.783859733492051e-08,1.1266263300058199e-07,2.9648061783404955e-09
1824,8.58953512761218e-08,4.378978601948802e-08,7.57900142644985e-09
1825,8.541280038798504e-08,8.717388477741395e-08,8.805443041381977e-10
1826,8.455664612938563e-08,7.574866600634778e-08,0.0
1827,6.359918519605046e-08,4.885154680778214e-08,2.7651818612639545e-09
1828,1.0639869191253482e-07,6.512333783348367e-08,1.2841221419535032e-08
1829,6.429882015712707e-08,9.259029809527419e-08,1.3717081692732336e-08
1830,8.03636355239945e-08,9.706257486641334e-08,0.0
1831,7.639690835503643e-08,1.3720261904381914e-07,0.0
1832,8.929779504729396e-08,7.170883975504694e-08,1.3529969367098715e-09
1833,6.023486953665724e-08,1.4016190164056752e-07,9.266902800675325e-09
1834,9.894603070215169e-08,1.23215812664057e-07,3.733812370398937e-09
1835,1.1193370141882042e-07,1.3991711966809817e-07,1.3613558280667348e-08
1836,1.2030142748642447e-07,1.3508707857878832e-07,6.720750067579218e-10
1837,1.5446518553119404e-07,9.810625989370436e-08,4.174734336004349e-09
1838,1.8242148458469387e-07,7.258986300939796e-08,1.51491887923072e-08
1839,1.0836786845658253e-07,6.432156851587933e-08,6.9914749545318955e-09
1840,1.9109066329292546e-07,3.057450503884951e-08,8.280594876453051e-09
1841,1.752809821731205e-07,5.072233255631886e-08,3.2102742686390684e-09
