year,voulons_VERB imiter_VERB,voulons_VERB limiter_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,4.475680270843441e-09,0.0
1803,2.7304748684287006e-08,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.3554183553310395e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.8880564667256294e-08,0.0
1816,3.476405652236281e-08,0.0
1817,6.227493631882908e-09,0.0
1818,2.1458118837358597e-08,0.0
1819,1.9666995143552413e-08,0.0
1820,0.0,1.0679833017945839e-08
1821,9.861488514673056e-09,0.0
1822,4.010246357211145e-09,0.0
1823,2.075364236020505e-08,2.9648061783404955e-09
1824,6.736890156844311e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,3.5231937367541377e-09,0.0
1827,1.935627302884768e-08,0.0
1828,9.172301140836225e-09,0.0
1829,2.0575622983187714e-08,0.0
1830,1.1480519646056564e-08,0.0
1831,9.354723218280014e-09,0.0
1832,2.1647950987357945e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,2.8003592777992026e-09,9.334531370086552e-09
1835,1.4369867074037757e-08,0.0
1836,1.8818100855355624e-08,0.0
1837,9.045257876039159e-09,0.0
1838,6.312161904276081e-09,0.0
1839,1.8876983531868063e-08,0.0
1840,8.280594876453051e-09,0.0
1841,1.733548060656176e-08,0.0
1842,1.475818312002275e-08,1.341653010911159e-09
1843,2.658109998776581e-08,1.1813822142769936e-09
1844,2.085653250105679e-08,0.0
1845,3.4039391749729475e-08,1.1160455892778032e-09
1846,1.5221703009160592e-08,2.3418005312692003e-09
1847,5.3932236454556914e-09,0.0
1848,2.011305433313737e-08,8.045221711050488e-10
1849,8.379414495607307e-09,0.0
1850,1.2220192857625989e-08,0.0
1851,8.384270167027807e-09,0.0
1852,5.859490670445666e-09,0.0
1853,5.971931837933653e-09,7.763511611358354e-09
1854,7.27393034694046e-09,0.0
1855,8.491099379170919e-09,0.0
1856,2.329735160344626e-08,5.177189232874468e-10
1857,6.8341128311999455e-09,0.0
1858,4.404308473482388e-09,0.0
1859,1.0693564256314403e-08,1.5276520048956854e-09
1860,8.238931314963338e-09,0.0
1861,2.169343282787395e-08,0.0
1862,7.680577063240435e-09,0.0
1863,3.496234635136375e-09,4.994620828036034e-10
1864,5.274200631788517e-09,0.0
1865,1.835669216632141e-08,4.706844247692743e-09
1866,1.556996132023869e-08,4.865612912574591e-10
1867,1.358787216076962e-08,0.0
1868,1.0373735648272486e-08,9.87974813071446e-10
1869,1.4162205630441349e-08,0.0
1870,5.160643912205387e-09,3.4404292748035914e-09
1871,3.18635318130589e-09,2.1242354542039266e-09
1872,1.0280476914203973e-08,0.0
1873,1.1373408881354408e-08,5.986004469882289e-10
1874,1.1949218503559678e-08,0.0
1875,2.2886108563824337e-09,0.0
