year,branches_NOUN égales_ADJ
1800,7.231578535993322e-08
1801,8.096020565062645e-08
1802,2.9091921760482364e-08
1803,7.411289004721766e-08
1804,3.9549615138412264e-08
1805,3.695740957709859e-08
1806,2.305335300434308e-08
1807,2.8469550272802735e-08
1808,2.039466551195801e-08
1809,3.388545621874073e-08
1810,6.786367379163494e-08
1811,2.206227520673565e-07
1812,4.800974906515876e-08
1813,1.1502966579257645e-08
1814,5.034683425719777e-08
1815,4.5852800667489646e-08
1816,7.184571870766376e-08
1817,9.341240669868967e-09
1818,1.668964877410417e-08
1819,6.210630232317271e-08
1820,2.8479554714522237e-08
1821,4.043210211079895e-08
1822,2.3058916553964082e-08
1823,4.743689885344793e-08
1824,3.705289586264371e-08
1825,9.68598712347557e-09
1826,4.1397527184017235e-08
1827,3.041700225026034e-08
1828,9.172300963200541e-08
1829,2.3147574523818548e-08
1830,4.696576283436116e-08
1831,6.704218691311326e-08
1832,8.794479811058409e-08
1833,1.1120283716081758e-07
1834,1.1294782353843402e-07
1835,2.0193445493532636e-07
1836,6.04867480547e-08
1837,8.210311364109657e-08
1838,5.1759727170974656e-08
1839,8.319855737681792e-08
1840,1.5860524626987171e-07
1841,1.4510439427795063e-07
1842,1.012948018797033e-07
1843,3.2015458373280126e-07
1844,2.612555078940204e-07
1845,1.311353514665825e-07
1846,1.2352997202924598e-07
1847,1.4130246484000963e-07
1848,6.597081636527946e-08
1849,1.0725651122811541e-07
1850,1.2288083439671027e-07
1851,1.4382248991751112e-07
1852,1.985716409080851e-07
1853,2.364885034467079e-07
1854,1.652221328640735e-07
1855,7.270503488143731e-08
1856,1.0975641373534017e-07
1857,1.6694761484359333e-07
1858,1.5317205281917268e-07
1859,1.1050016013314234e-07
1860,1.1763362550709644e-07
1861,1.0375120496064483e-07
1862,9.397411560030378e-08
1863,1.3685260569218372e-07
1864,1.3473184878876054e-07
1865,1.214365852320043e-07
1866,1.3477747984325106e-07
1867,1.606280619625977e-07
1868,1.1460507920446616e-07
1869,1.0060049504545532e-07
1870,7.454263339923273e-08
1871,1.1577083114389097e-07
1872,1.0703790565003146e-07
1873,1.316921043326147e-07
1874,1.7386112460826553e-07
1875,1.172913073332893e-07
1876,1.166880849723384e-07
1877,1.0637883463004982e-07
1878,1.1715832215486444e-07
1879,1.0813505468831863e-07
1880,1.1616301520689376e-07
1881,8.994534539397137e-08
1882,1.3576985224972304e-07
1883,1.3523384723157506e-07
1884,1.432568268455725e-07
1885,1.5211699633255193e-07
1886,1.4326690234156558e-07
1887,1.1947932421207952e-07
1888,1.4329789621569944e-07
1889,1.497367634328839e-07
1890,4.1751442836357455e-07
1891,1.1473596117639318e-07
1892,1.4354893096424348e-07
1893,9.607129669575443e-08
1894,1.0838647312993999e-07
1895,1.221778802573681e-07
1896,1.2324790077400394e-07
1897,1.2236098712037347e-07
1898,8.827033326497258e-08
1899,1.0004917072592434e-07
1900,1.2147064865075663e-07
1901,7.936009183140413e-08
1902,1.2815840477742313e-07
1903,6.588268774976314e-08
1904,1.2092907297756028e-07
1905,1.3056720149506873e-07
1906,8.487904779030941e-08
1907,1.7537095686748216e-07
1908,1.2916953551211918e-07
1909,1.083693774717176e-07
1910,8.604082779584132e-08
1911,7.395320267278294e-08
1912,7.866226070518678e-08
1913,8.219634395345565e-08
1914,1.0647822534792795e-07
1915,9.542416989916092e-08
1916,7.251725264723063e-08
1917,7.347504293875318e-08
1918,1.2405286042849184e-07
1919,6.537572261322566e-08
1920,9.843900983241838e-08
1921,6.739745117556595e-08
1922,6.345024416987144e-08
1923,1.0828266994167279e-07
1924,6.059063650809549e-08
1925,8.35861513337477e-08
1926,8.248142790989732e-08
1927,9.588333682586381e-08
1928,1.2797165993561066e-07
1929,8.689517017046455e-08
1930,8.823027286553042e-08
1931,5.2464642408267537e-08
1932,1.4576183104964002e-07
1933,8.25887696009886e-08
1934,9.824896096688462e-08
1935,9.095896302824258e-08
1936,8.123559069872499e-08
1937,6.547381303789734e-08
1938,6.871563584809337e-08
1939,1.514111005462837e-07
1940,7.60734906180005e-08
1941,9.739958528598436e-08
1942,7.888950648293758e-08
1943,8.709705667797607e-08
1944,1.2210107058763242e-07
1945,8.496165548876888e-08
1946,5.986074569364064e-08
1947,5.8412268799656886e-08
1948,8.480072466454658e-08
1949,5.792034940554913e-08
1950,7.87016745107394e-08
1951,4.691016641800161e-08
1952,6.748674508116892e-08
1953,6.787511352968068e-08
1954,7.133951385185355e-08
1955,4.880516257799172e-08
1956,6.976912914069544e-08
1957,6.007825703591152e-08
1958,5.707848060865217e-08
1959,6.278105502133258e-08
1960,3.460416664324839e-08
1961,3.61304266505158e-08
1962,4.756467220090599e-08
1963,5.560805860227447e-08
1964,4.867174752121173e-08
1965,6.840054567192055e-08
1966,4.763604266599941e-08
1967,6.45873967641819e-08
1968,3.9973599541553995e-08
1969,9.991867244707464e-08
1970,4.414776100247764e-08
1971,2.928886644326667e-08
1972,5.4379555081141007e-08
1973,6.450448353234606e-08
1974,7.988311523376979e-08
1975,4.454954449784054e-08
1976,3.828062844490887e-08
1977,3.761140376923322e-08
1978,6.237620908677854e-08
1979,2.925986741786346e-08
1980,5.2871900635409474e-08
1981,2.4669642328944974e-08
1982,2.7933760193832313e-08
1983,3.0945049189767815e-08
1984,2.3775934110403796e-08
1985,2.2257564680217e-08
1986,3.057187569766029e-08
1987,3.666490044906823e-08
1988,2.878345739532051e-08
1989,5.597884467078984e-08
1990,2.7788120249283565e-08
1991,2.6962739596569918e-08
1992,3.03046938654461e-08
1993,2.4372512896775334e-08
1994,2.4264663167627987e-08
1995,3.633041956163652e-08
1996,2.6690461396583487e-08
1997,2.109753616252874e-08
1998,3.3853716274734325e-08
1999,2.7421206638678086e-08
2000,1.9439339027371716e-08
2001,3.1982846593336944e-08
2002,2.4972962364699924e-08
2003,1.750107614384433e-08
2004,1.805964444656638e-08
2005,1.4862373554080932e-08
2006,1.7706927479821388e-08
2007,1.3581230362547103e-08
2008,2.8524846484856425e-08
2009,2.0503227560197956e-08
2010,1.369900015646408e-08
2011,2.2943831723409858e-08
2012,1.3617010630184723e-08
2013,8.646287241731443e-09
2014,1.017759210242275e-08
2015,1.4629397249166232e-08
2016,3.2934305949083864e-08
2017,1.0314006537726073e-08
2018,2.6330960523068825e-08
2019,3.21424451499297e-08
