year,tes_DET oies_NOUN,tes_DET lois_NOUN
1800,0.0,3.8673221824936377e-07
1801,0.0,6.857806102988917e-07
1802,2.2378401354217203e-09,3.110597788236191e-07
1803,0.0,3.35458356204299e-07
1804,0.0,6.080753465198541e-07
1805,0.0,4.918178415636021e-07
1806,0.0,4.87002083104926e-07
1807,0.0,3.84338949999119e-07
1808,0.0,4.441504981578248e-07
1809,0.0,2.5301141715061704e-07
1810,0.0,4.469642238547067e-07
1811,0.0,6.969673478351979e-07
1812,0.0,4.080828599484221e-07
1813,0.0,5.233849782459998e-07
1814,0.0,4.814415888176882e-07
1815,0.0,5.637197482144529e-07
1816,0.0,2.6652443985142327e-07
1817,0.0,4.4526578379944226e-07
1818,0.0,3.1471907968594337e-07
1819,0.0,5.579216009188315e-07
1820,0.0,4.995788840389537e-07
1821,8.875339574387908e-09,5.147696628959864e-07
1822,1.0025615893027862e-09,4.2408355227507855e-07
1823,0.0,4.832633863083302e-07
1824,0.0,4.825297645894011e-07
1825,0.0,4.5788304392502255e-07
1826,0.0,2.9506748155938567e-07
1827,0.0,2.6822263998749207e-07
1828,9.172301140836225e-09,3.4120960279437895e-07
1829,0.0,2.9320263328358465e-07
1830,0.0,3.788571296681198e-07
1831,0.0,3.25856217120446e-07
1832,0.0,2.503044453927572e-07
1833,0.0,3.3245013197902296e-07
1834,9.334530925997342e-10,2.585664948817623e-07
1835,7.563087933704082e-10,2.9571673110240226e-07
1836,3.36037508930076e-09,2.325379530598859e-07
1837,0.0,2.2056513615531514e-07
1838,0.0,1.9820188446040277e-07
1839,2.7965900706306e-09,2.0834596536900563e-07
1840,0.0,2.0510397957806958e-07
1841,0.0,2.2215098605116168e-07
1842,0.0,2.133228247380714e-07
1843,0.0,2.1619294005015277e-07
1844,1.097712254427563e-09,1.0538037847895865e-07
1845,5.580227946389016e-10,1.389476693702818e-07
1846,5.854501328173001e-10,1.6743873421098954e-07
1847,5.3932236454556914e-09,1.35909234977305e-07
1848,1.6090443422100975e-09,1.8343105118168168e-07
1849,0.0,1.7596771373362685e-07
1850,6.788996032014438e-10,1.3849552260580822e-07
1851,3.2247193804124663e-09,1.9154832786583142e-07
1852,0.0,1.6146152592710905e-07
1853,5.971931837933653e-10,1.6661689428154602e-07
1854,2.0782657816909023e-09,1.7665259000043676e-07
1855,5.306937111981824e-10,1.9635667669604118e-07
1856,3.6240324075009767e-09,1.5531567798543477e-07
1857,4.881509085841174e-10,1.8110399274684497e-07
1858,0.0,1.8791716133170766e-07
1859,1.5276520048956854e-09,1.6753250298151556e-07
1860,1.373155145145688e-09,1.6844037187269123e-07
1861,1.4147891747029462e-09,1.8911014554312544e-07
1862,9.035972525772706e-10,2.8734393803242497e-07
1863,1.4983863039219614e-09,1.1937143895579538e-07
1864,4.794727948009836e-10,1.9658384908805004e-07
1865,4.706844358715045e-10,1.769773541604458e-07
1866,0.0,1.328312292381284e-07
1867,4.85281148598915e-10,1.0433544694876673e-07
1868,0.0,1.1756900109016755e-07
1869,0.0,1.56272619511455e-07
1870,2.8670243956696595e-09,1.6571400562881422e-07
1871,0.0,1.4444800444657346e-07
1872,0.0,1.2457519604769374e-07
1873,5.986004469882289e-10,1.1313548264890727e-07
1874,0.0,7.40851557878841e-08
1875,1.1443054281912168e-09,7.15190917044417e-08
1876,6.04601479992084e-10,1.0822366136586936e-07
1877,3.710889595609501e-09,1.3421051070494627e-07
1878,0.0,1.056840550073268e-07
1879,0.0,8.491961800416448e-08
1880,1.2835692508872398e-09,1.4247619239959874e-07
1881,6.972507571312292e-10,8.785359489893452e-08
1882,6.655385131892899e-10,7.05470808437525e-08
1883,3.159669414998234e-09,7.456820133588948e-08
1884,7.2618666635548834e-09,8.912291171725428e-08
1885,0.0,8.121500905122758e-08
1886,1.2906927748801422e-09,8.712175930680743e-08
1887,0.0,6.790081474861154e-08
1888,0.0,6.974676192150753e-08
1889,3.759081934617825e-09,5.388017676466461e-08
1890,1.0487018364813139e-08,4.784701967963656e-08
1891,6.374220040683554e-10,7.330353235524001e-08
