year,ces_DET yeux_NOUN,ces_DET lieux_NOUN
1800,1.4651806452548044e-06,1.1686859693327278e-05
1801,1.500145003774378e-06,1.375609184606219e-05
1802,8.459035711894103e-07,1.1741946764232125e-05
1803,1.273571541560159e-06,1.3820103930584082e-05
1804,1.399067642182672e-06,1.5891529926648218e-05
1805,1.3247809675931421e-06,1.5050194747345813e-05
1806,1.1324959672265322e-06,1.3235506003184128e-05
1807,8.76862159771008e-07,1.2142263869918679e-05
1808,1.264469290163106e-06,1.3023127166889026e-05
1809,9.917144296878178e-07,1.121834520745324e-05
1810,1.095179300136806e-06,1.6022848654984045e-05
1811,1.318722354426427e-06,1.310198277337804e-05
1812,8.935147590705128e-07,1.285327661548763e-05
1813,1.0611486942480042e-06,1.7849728180863167e-05
1814,7.457624917606154e-07,1.1164410608444086e-05
1815,6.527281044554911e-07,1.1082891774094605e-05
1816,9.061831178769353e-07,8.816165575353807e-06
1817,1.033763922464459e-06,1.4687543512081902e-05
1818,1.0884035077651788e-06,1.4448466970407026e-05
1819,1.0237188661221808e-06,1.3322836935003579e-05
1820,1.4346575767376635e-06,1.522588235047806e-05
1821,1.1892954745462703e-06,1.3018150525567762e-05
1822,1.2732531757819743e-06,1.488302655161533e-05
1823,1.164180517321256e-06,1.3499750593837234e-05
1824,1.013901965052355e-06,1.5196740292822142e-05
1825,1.0575336801821322e-06,1.404027904072791e-05
1826,8.085729845674905e-07,1.2761888228851603e-05
1827,7.751726940341541e-07,1.027449428647742e-05
1828,8.667824431540794e-07,1.1630478155666424e-05
1829,9.421920736940592e-07,9.25817249708416e-06
1830,1.1772751236094336e-06,1.3093010352349665e-05
1831,1.3174569488683119e-06,1.0131165652182972e-05
1832,1.6046543152015147e-06,1.0182654847312733e-05
1833,1.2510318470049242e-06,1.1489801067909866e-05
1834,1.05573546704818e-06,1.0459342291824214e-05
1835,1.3152210271982767e-06,9.728399788855313e-06
1836,1.182851960379594e-06,9.409050079511871e-06
1837,1.0993468038122955e-06,8.66814050937137e-06
1838,9.335687209954813e-07,9.22206882592036e-06
1839,8.263923803042417e-07,7.1466861015778704e-06
1840,8.236007644768506e-07,7.799046983336666e-06
1841,9.104337692633635e-07,7.705942209668137e-06
1842,1.0719807477244103e-06,7.913739949572118e-06
1843,9.533754479207346e-07,7.000871065088177e-06
1844,9.654379482526565e-07,6.828867867625377e-06
1845,1.0853542917743653e-06,6.7297549009026625e-06
1846,8.875424271082011e-07,6.720382117464396e-06
1847,6.347824026420312e-07,5.731378564632905e-06
1848,7.996950159849803e-07,6.086210049716101e-06
1849,8.58052082719496e-07,6.180656640708548e-06
1850,7.637620598188732e-07,6.357215795560478e-06
1851,7.977955576166096e-07,6.350117445208525e-06
