year,cents_ADJ livres_NOUN
1800,3.895620011462597e-06
1801,3.426521743676858e-06
1802,2.508618763386039e-06
1803,3.77000560547458e-06
1804,3.8857497202116065e-06
1805,3.894742349075386e-06
1806,6.192707132868236e-06
1807,6.530915015900973e-06
1808,4.495890607358888e-06
1809,4.8501383389520925e-06
1810,3.423605448915623e-06
1811,4.8311367208953016e-06
1812,3.1286351713788463e-06
1813,2.7750907065637875e-06
1814,2.63691549662326e-06
1815,1.9123315269098384e-06
1816,3.921385996363824e-06
1817,5.64055244467454e-06
1818,4.32261913374532e-06
1819,5.186911039345432e-06
1820,4.1176690501743e-06
1821,4.074766820849618e-06
1822,4.4634043661062606e-06
1823,3.500447746773716e-06
1824,4.010134034615476e-06
1825,4.756700491270749e-06
1826,5.138578217156464e-06
1827,3.7919860460533528e-06
1828,3.0525418424076634e-06
1829,5.621431682811817e-06
1830,5.2789514484175015e-06
1831,2.9233510758785997e-06
1832,2.754701654339442e-06
1833,3.3511437322886195e-06
1834,7.837272278266028e-06
1835,3.755829538931721e-06
1836,2.820026793415309e-06
1837,3.17766875923553e-06
1838,2.784294565572054e-06
1839,5.493202024808852e-06
1840,2.6192160476057325e-06
1841,2.9316224754438736e-06
1842,2.4599207790743094e-06
1843,2.3769409835949773e-06
1844,2.4138691969710635e-06
1845,2.337557589271455e-06
1846,2.559002496127505e-06
1847,2.9269024253153475e-06
1848,2.861685288735316e-06
1849,1.9917870304198004e-06
1850,2.5390845621586777e-06
1851,2.4752946501394035e-06
1852,2.664115299921832e-06
1853,2.584054982435191e-06
1854,2.998418040078832e-06
1855,2.617381369418581e-06
1856,2.934948497568257e-06
1857,2.8727681637974456e-06
1858,2.511434558982728e-06
1859,2.603119128252729e-06
1860,2.56688463196042e-06
1861,2.4268349534395384e-06
1862,3.111988917225972e-06
1863,4.387774424685631e-06
1864,2.2789342892792774e-06
1865,2.936600139946677e-06
1866,3.088691073571681e-06
1867,3.4896568195108557e-06
1868,2.5405772703379625e-06
1869,1.982220510399202e-06
1870,2.8486754217738053e-06
1871,2.003154122576234e-06
1872,2.6880422865360742e-06
1873,2.423733121759142e-06
1874,2.8594479317689547e-06
1875,3.0095231977611547e-06
1876,3.909353381459368e-06
1877,3.3144428925879765e-06
1878,2.9211071250756504e-06
1879,2.793794465105748e-06
1880,3.518905032251496e-06
1881,3.2422160529677058e-06
1882,2.499097035979503e-06
1883,2.612414618852199e-06
1884,2.4069786377367564e-06
