year,seriez_VERB à_ADP,seriez_VERB a_ADP,seriez_VERB là_ADV
1800,4.4018303668735825e-08,0.0,1.2576657937302116e-08
1801,1.4048977448055666e-07,0.0,3.809892135109294e-08
1802,2.9091921760482364e-08,0.0,6.713520406265161e-09
1803,4.8758479920252285e-08,0.0,0.0
1804,4.449331569844617e-08,0.0,1.2359254952798437e-08
1805,1.9900143755080535e-08,0.0,2.842877711017877e-09
1806,9.509508203109363e-08,0.0,0.0
1807,4.27043254092041e-08,0.0,0.0
1808,6.798222074166915e-08,0.0,0.0
1809,6.09938268780752e-08,0.0,1.3554183553310395e-08
1810,5.148278958699848e-08,2.3401267590372754e-09,0.0
1811,3.008491944456182e-08,0.0,0.0
1812,6.934741492159446e-08,0.0,0.0
1813,2.300593315851529e-08,0.0,0.0
1814,4.090680150170556e-08,0.0,0.0
1815,3.506390555685357e-08,0.0,0.0
1816,2.3176038865813098e-08,0.0,1.8540831092650478e-08
1817,6.538868291272593e-08,0.0,7.784366928831332e-09
1818,8.464036227451288e-08,0.0,0.0
1819,4.7614829412623294e-08,0.0,5.175524897538253e-09
1820,9.137190204455692e-08,0.0,1.1866481131050932e-08
1821,7.987805616949117e-08,0.0,0.0
1822,8.72228582693424e-08,0.0,8.02049271442229e-09
1823,8.696764552951208e-08,0.0,0.0
1824,6.989523626543814e-08,8.421112696055388e-10,9.263223965660927e-09
1825,8.893497494000258e-08,0.0,2.1133063299316746e-08
1826,6.429828403042848e-08,8.807984341885344e-10,9.688783109140786e-09
1827,4.7929820112813104e-08,0.0,1.8434546111834038e-09
1828,5.6868266540277546e-08,9.172301251858528e-10,9.172301140836225e-09
1829,2.5719527840806222e-08,0.0,8.573175946935407e-09
1830,5.218418053232199e-08,0.0,4.174734336004349e-09
1831,3.4300654760954785e-08,0.0,4.677361609140007e-09
1832,5.141388470519814e-08,2.705993873419743e-09,0.0
1833,6.255159235024621e-08,3.4750886612755494e-09,1.50587169400751e-08
1834,8.961149688957448e-08,0.0,2.14694217959277e-08
1835,1.1722786297241328e-07,0.0,1.3613558280667348e-08
1836,7.19120265557649e-08,6.720750067579218e-10,3.36037508930076e-09
1837,7.862416850912268e-08,6.957890930081589e-10,1.0436836284100082e-08
1838,6.059675428105038e-08,0.0,1.2624323808552163e-09
1839,5.942753844578874e-08,0.0,2.7965900706306e-09
1840,8.981260890550402e-08,1.9109065441114126e-09,1.2739377330817092e-09
1841,9.823439484080154e-08,2.5682194149112547e-09,9.630822361827995e-09
1842,5.836190553054621e-08,0.0,5.366612043644636e-09
1843,5.1390127708828004e-08,5.906911071384968e-10,4.7255288571079745e-09
1844,6.256959750317037e-08,0.0,3.2931368743049916e-09
1845,7.14269177137794e-08,1.1160455892778032e-09,1.1160455892778032e-09
1846,5.1519613464279246e-08,5.854501328173001e-10,1.7563503984519002e-09
1847,7.820174374728595e-08,5.393223645455691e-10,5.3932236454556914e-09
1848,5.470750608083108e-08,8.045221711050488e-10,8.045221711050488e-10
1849,1.5920887719289567e-08,8.379414939696517e-10,1.3407063903514427e-08
1850,4.2091777174846357e-08,6.788996032014438e-10,1.4935791270431764e-08
1851,2.7087642351375507e-08,0.0,4.514607354622058e-09
1852,4.427170807730363e-08,0.0,7.812654523320361e-09
1853,4.837264810930719e-08,0.0,4.777545470346922e-09
1854,9.50806580135577e-08,3.63696517347023e-09,9.352196350675968e-09
1855,6.792879503336735e-08,5.306937111981824e-10,4.2455496895854594e-09
1856,4.40061072026765e-08,0.0,5.177189232874468e-10
1857,8.200935042168567e-08,0.0,5.857811125054013e-09
1858,5.725600971118183e-08,4.893676019968041e-10,9.787352039936081e-10
1859,5.448625373105642e-08,0.0,5.092173349652285e-10
1860,5.40107691904268e-08,4.577183909670879e-10,8.696649622663699e-09
1861,5.046081241744105e-08,4.715963730639317e-10,3.3011746669586728e-09
1862,7.816116465164669e-08,0.0,4.9697850279528666e-09
1863,4.345320192555846e-08,1.4983862484108101e-09,4.994620717013731e-09
1864,8.390773587052536e-08,0.0,2.8768367688059016e-09
1865,7.295609094626343e-08,9.41368871743009e-10,1.1767110841276462e-08
1866,6.227984528095476e-08,0.0,5.838735717134114e-09
1867,6.114542827617697e-08,6.308654931785895e-09,1.455843445796745e-09
1868,6.965222354438083e-08,6.9158239135447275e-09,7.903798504571569e-09
1869,4.5905078849273195e-08,1.953407657850903e-09,6.8369265804335555e-09
1870,5.447346396181274e-08,0.0,2.2936195165357276e-09
1871,7.541035529357032e-08,0.0,9.559059321873065e-09
1872,5.624025689598966e-08,1.2094678591978436e-09,1.8142017887967654e-09
1873,2.6338419445437466e-08,0.0,1.1972008939764578e-09
1874,5.616132625618775e-08,5.974609140757536e-10,8.961913877669758e-09
1875,3.1468399441791917e-08,0.0,8.010138330405425e-09
1876,5.441413364337677e-08,1.209202959984168e-09,6.04601479992084e-09
1877,5.3807898581226254e-08,0.0,1.1751150275074451e-08
1878,4.589707458535486e-08,6.039088673581716e-10,6.039088784604019e-09
1879,6.353698012162567e-08,1.221865053580018e-09,8.55305515301552e-09
