year,sois_VERB également_ADV,sois_VERB légalement_ADV
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,2.305335300434308e-08,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,3.7442028144596406e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,8.00162425207418e-09,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,4.768470951432846e-09,0.0
1819,2.070210003424222e-09,0.0
1820,2.3732962262101864e-08,9.493184904840746e-09
1821,6.903041693817613e-09,7.88919063410276e-09
1822,1.0025615893027862e-09,0.0
1823,5.929612356680991e-09,3.9530747564242574e-09
1824,2.5263338088166165e-09,1.6842225392110777e-09
1825,8.805443041381977e-10,8.805443041381977e-10
1826,4.403992281964975e-09,0.0
1827,9.217273055917019e-10,5.530363722527909e-09
1828,2.5682442839070063e-08,1.8344602503717056e-09
1829,6.001223074036943e-09,0.0
1830,7.305785310052215e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,0.0,0.0
1834,1.0267983796552471e-08,0.0
1835,3.025235173481633e-09,6.050470346963266e-09
1836,9.409050427677812e-09,1.3441500135158435e-09
1837,1.3915781860163179e-09,0.0
1838,3.787297142565649e-09,0.0
1839,6.9914751765765e-10,2.0974426639952526e-09
1840,4.458782232319436e-09,1.9109065441114126e-09
1841,2.5682194149112547e-09,0.0
1842,3.3541325272778977e-09,0.0
1843,4.725528912619126e-09,0.0
1844,4.390849017710252e-09,0.0
1845,7.254296274794569e-09,1.1160455892778032e-09
1846,0.0,0.0
1847,3.775256551818984e-09,3.775256551818984e-09
1848,4.0226108000140925e-09,0.0
1849,1.6758829879393033e-09,2.513824481908955e-09
1850,1.6972489191857676e-08,1.3577992064028876e-09
1851,1.9348316282474798e-09,1.2898877521649865e-09
1852,6.510545436100301e-10,3.906327261660181e-09
1853,2.9859659189668264e-09,1.7915795513800958e-09
1854,8.832629738719788e-09,0.0
1855,2.1227748447927297e-09,1.0613874223963649e-09
1856,2.5885946719483854e-09,0.0
1857,1.0739319655783675e-08,0.0
1858,4.893676019968041e-10,0.0
1859,1.5276520048956854e-09,2.036869339860914e-09
1860,4.577183909670879e-10,1.8308735638683515e-09
1861,2.8295783494058924e-09,0.0
1862,9.035972914350765e-09,0.0
1863,7.991393324857654e-09,2.4973103585068657e-09
1864,1.4384183621984903e-08,1.9178911792039344e-09
1865,1.4120533631256649e-09,0.0
1866,1.4596839292835284e-09,9.731225825149181e-10
1867,3.396968040192405e-09,0.0
1868,5.433861360870651e-09,1.4819622196071691e-09
1869,3.906815315701806e-09,9.767038289254515e-10
1870,3.4404292748035914e-09,0.0
1871,1.1683294554032386e-08,0.0
1872,2.4189357183956872e-09,0.0
1873,1.1972008939764578e-09,2.9930022904522957e-09
1874,5.974609140757536e-10,5.974609140757536e-10
1875,1.1443054281912168e-09,0.0
1876,6.04601479992084e-10,0.0
1877,3.0924081073635534e-09,0.0
1878,6.039088673581716e-10,1.2078177347163432e-09
1879,9.163987790827832e-09,0.0
1880,1.2835692508872398e-09,0.0
1881,0.0,0.0
1882,6.655385131892899e-10,0.0
1883,5.0554711528150165e-09,0.0
1884,3.9610181801208455e-09,1.3203393933736152e-09
1885,2.5782542767416317e-09,0.0
1886,5.162771099520569e-09,1.2906927748801422e-09
1887,4.570247291724172e-09,4.570247291724172e-09
1888,6.340614699951175e-10,0.0
1889,6.265136742733546e-10,0.0
1890,3.277193294515257e-09,5.243509182406569e-09
1891,0.0,0.0
1892,6.268512375839919e-10,6.268512375839919e-10
1893,0.0,5.542574843531156e-09
1894,0.0,0.0
1895,0.0,3.611168697403855e-09
1896,1.769108692872834e-09,0.0
1897,7.57472740087195e-09,0.0
1898,1.13167097914868e-09,0.0
1899,1.6582735185011188e-09,0.0
1900,1.038210628578895e-09,0.0
1901,1.676621730339889e-09,5.588738916095792e-10
1902,4.910283846193408e-10,1.9641135384773634e-09
1903,4.860198465905796e-09,0.0
1904,1.0749250378694342e-09,0.0
1905,4.128607344888735e-09,2.0643036169332163e-09
1906,1.0288369045596824e-09,2.0576738091193647e-09
1907,0.0,1.028568674676933e-09
1908,4.911389073214423e-10,0.0
1909,1.6502950117569526e-09,0.0
1910,1.068830135508847e-09,0.0
1911,5.320374141248863e-10,5.320374141248863e-10
1912,1.0418842455450772e-09,0.0
1913,9.545381374209683e-09,0.0
1914,1.3393487430235496e-09,0.0
1915,0.0,0.0
1916,9.888715624128963e-09,0.0
1917,0.0,0.0
1918,1.1486376294556067e-09,1.1486376294556067e-09
1919,5.524709190130039e-09,2.762354567309444e-09
1920,8.329454459499175e-09,0.0
