year,condamnations_NOUN égales_ADJ,condamnations_NOUN légales_ADJ
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,9.751696339321825e-09
1804,0.0,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,2.2026739543434815e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.2454987263765815e-08
1818,0.0,1.1921176934492905e-08
1819,0.0,1.035105001712111e-09
1820,0.0,0.0
1821,0.0,2.3667571014129862e-08
1822,0.0,1.303330066093622e-08
1823,0.0,4.941343334508019e-09
1824,0.0,2.189489300974401e-08
1825,0.0,8.805443041381977e-10
1826,0.0,0.0
1827,0.0,7.373818444733615e-09
1828,0.0,9.172301251858528e-10
1829,0.0,0.0
1830,0.0,3.1310507520032616e-09
1831,0.0,1.5591206103948707e-09
1832,2.705993873419743e-09,1.352996914505411e-08
1833,0.0,0.0
1834,0.0,4.667265685043276e-09
1835,0.0,6.050470346963266e-09
1836,0.0,2.688300027031687e-09
1837,0.0,0.0
1838,0.0,4.418513555037862e-09
1839,0.0,8.38977065598101e-09
1840,0.0,3.1848443882154243e-09
1841,0.0,7.0626033910059505e-09
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,2.7442805805577564e-09
1845,0.0,3.348136878855712e-09
1846,0.0,5.854501328173001e-10
1847,0.0,3.775256551818984e-09
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,4.752297222410107e-09
1851,0.0,1.870337307252612e-08
1852,0.0,1.3021090872200602e-09
1853,0.0,0.0
1854,0.0,5.195664454227256e-10
1855,0.0,3.1841622671890946e-09
1856,0.0,1.0354378465748937e-09
1857,0.0,4.881509085841174e-10
1858,0.0,3.9149408159744326e-09
1859,0.0,8.147477359443656e-09
1860,0.0,0.0
1861,0.0,1.650587222457034e-08
