year,les_DET yeux_NOUN,les_DET lieues_NOUN
1800,0.0001025060491883778,3.0812811502300974e-07
1801,9.941199050444993e-05,5.714838202663941e-08
1802,0.00010179487208006321,5.818384352096473e-08
1803,0.00010422807645227294,9.556662439180741e-08
1804,9.626870951251476e-05,5.190887186756754e-08
1805,9.488104592492164e-05,1.1655798748400059e-07
1806,8.220249617352238e-05,6.051505163640059e-08
1807,7.849054895814334e-05,1.451947118091823e-07
1808,9.373841407978034e-05,1.4276265858370607e-07
1809,8.105401502689347e-05,1.4457795582956123e-07
1810,0.00010389929093435057,1.0296557917399696e-07
1811,8.05924919404788e-05,2.0558029234507558e-07
1812,7.7773121915925e-05,6.668020446909395e-08
1813,8.904159142275603e-05,1.1790540987988152e-07
1814,8.399110367918183e-05,6.702422474802461e-07
1815,8.04446948450277e-05,5.3944470224109864e-08
1816,9.330209718427795e-05,7.416332437060191e-08
1817,9.829787632043008e-05,1.4945984627701137e-07
1818,9.738409494275402e-05,2.861082593064168e-08
1819,9.329504973720759e-05,5.900098720701408e-08
1820,9.070263513422105e-05,2.1359665414166784e-07
1821,9.514265093457652e-05,5.7196631209066595e-08
1822,8.882996121428732e-05,6.015369535816717e-08
1823,8.762978677623323e-05,1.7097048399250525e-07
1824,8.590376751271833e-05,4.210556348027694e-08
1825,9.316863247477158e-05,1.2679837868567745e-07
1826,8.825072131912748e-05,1.1450379933108934e-07
1827,7.953215936140623e-05,5.253845603014895e-08
1828,8.569039050598803e-05,5.77854990524429e-08
1829,9.187444129565847e-05,8.315980482009877e-08
1830,9.189216780214338e-05,7.514521493945381e-08
1831,8.978508049040101e-05,1.3876173610150033e-07
1832,9.637397261030856e-05,6.494385396127456e-08
1833,8.695482347320649e-05,7.066013374412705e-08
1834,9.190312744067342e-05,1.1574818348236704e-07
1835,9.674777379586885e-05,1.1269001021219083e-07
1836,9.116495948546799e-05,4.2340725148193314e-08
1837,8.948613253778603e-05,9.393152744507915e-08
1838,8.266533609457838e-05,7.132742929627511e-08
1839,8.271194860753894e-05,6.641901428849906e-08
1840,8.449455845038756e-05,7.388838518807006e-08
1841,8.343117337972217e-05,5.971110006441904e-08
1842,8.688075115514948e-05,6.507016925283438e-08
1843,8.813111287508946e-05,6.084118364668711e-08
1844,8.758700801081432e-05,3.567564821338465e-08
1845,8.663304015499307e-05,6.249855433182461e-08
1846,8.527022941962059e-05,7.669396584475408e-08
1847,7.724228885308548e-05,5.608952502456077e-08
1848,7.969114017214451e-05,4.022610911036395e-08
1849,7.812966305209557e-05,2.3462361831150247e-08
1850,8.02079159711866e-05,3.190828046228944e-08
1851,7.457421190792957e-05,5.804495017969202e-08
1852,8.274968490695755e-05,4.687592625174375e-08
1853,8.693998051967355e-05,3.822036331868617e-08
1854,8.869934436006588e-05,7.481756614247104e-08
1855,9.147036689682864e-05,3.980202833986368e-08
1856,8.653102509015298e-05,5.4360486778648465e-08
1857,8.628359955764608e-05,6.004256158931298e-08
1858,8.937809866438329e-05,1.6100194066837048e-07
1859,9.016609351419902e-05,6.976277333592407e-08
1860,9.550981121719815e-05,9.978260714915699e-08
1861,9.041587486535718e-05,3.772771117738216e-08
1862,9.06741740891448e-05,5.1505044673660905e-08
1863,9.127769158112642e-05,4.495158578698977e-08
1864,8.981436417343502e-05,5.993409946114525e-08
1865,9.051920460478868e-05,4.942186593304143e-08
