year,morceaux_NOUN égaux_ADJ
1800,1.2576657937302116e-08
1801,0.0
1802,6.713520406265161e-09
1803,2.7304748684287006e-08
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,2.0171682990621775e-08
1807,3.701041606518629e-08
1808,1.3596443970698147e-08
1809,2.25903047379461e-08
1810,0.0
1811,3.008491944456182e-08
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,1.2586708564299443e-08
1815,0.0
1816,6.489290882427667e-08
1817,9.341240669868967e-09
1818,1.1921177378582115e-09
1819,7.24573512300708e-09
1820,7.119888678630559e-09
1821,9.86148829262845e-10
1822,2.0051231786055723e-09
1823,1.680056804787e-08
1824,1.1789557774477544e-08
1825,1.4969252504215547e-08
1826,8.80798456392995e-09
1827,9.217273166939322e-09
1828,3.668920500743411e-09
1829,9.430493719264632e-09
1830,3.1310506187764986e-08
1831,1.5591206103948707e-09
1832,1.8941957335982806e-08
1833,4.6334514003376626e-09
1834,6.534171426153534e-09
1835,3.025235173481633e-09
1836,4.032449929525228e-09
1837,2.0873671680021744e-09
1838,0.0
1839,7.690622361167243e-09
1840,1.2102408852854296e-08
1841,1.4125206782011901e-08
1842,2.0124795163667386e-09
1843,1.5357969118667825e-08
1844,4.390849017710252e-09
1845,7.254296274794569e-09
1846,1.4636253098387897e-08
1847,1.6179670936367074e-09
1848,1.6090443422100975e-09
1849,2.262441967104678e-08
1850,6.788996032014438e-09
1851,1.4188765717904062e-08
1852,1.6276363368206148e-08
1853,1.3735443005202796e-08
1854,5.195664343204953e-09
1855,5.306937111981824e-09
1856,8.28350277259915e-09
1857,1.0739319655783675e-08
1858,1.2723557318849998e-08
1859,0.0
1860,6.865775947773045e-09
1861,6.6023493339173456e-09
1862,4.517986262886353e-10
1863,1.1987090431375691e-08
1864,1.1986819536957682e-08
1865,3.294791106611683e-09
1866,8.75810357570117e-09
1867,8.73506067478047e-09
1868,3.951899252285784e-09
1869,3.4184632902167778e-09
1870,1.204150201772336e-08
1871,1.0621176826930423e-08
1872,5.442605477412599e-09
1873,2.0352414864532875e-08
1874,2.9873046258899194e-09
1875,6.293679799540541e-09
1876,6.04601479992084e-10
1877,8.658742167710898e-09
1878,8.4547240319921e-09
1879,7.94212251520321e-09
1880,5.776061406947974e-09
1881,7.669758161910067e-09
1882,5.324308105514319e-09
1883,1.0742875922176154e-08
1884,1.7164412113856997e-08
1885,5.156508553483263e-09
1886,7.098810428374236e-09
1887,1.0446279397058333e-08
1888,2.53624587998047e-09
1889,6.891650361495749e-09
1890,2.6217545912032847e-09
1891,1.2748440081367107e-09
1892,6.268512375839919e-09
1893,9.23762488724833e-09
1894,5.671385139294216e-09
1895,4.213029924926559e-09
1896,1.1204354777305525e-08
1897,4.078699600285063e-09
1898,1.2448380992680086e-08
1899,3.3165470370022376e-09
1900,2.1283318218934255e-08
1901,1.0059729937950124e-08
1902,2.7006560543441083e-08
1903,2.1600881083827517e-09
1904,1.289910045443321e-08
1905,5.676835002077496e-09
1906,5.144184633820714e-09
1907,5.142843484406967e-09
1908,9.822778146428846e-09
