year,lignes_NOUN égales_ADJ,lignes_NOUN egales_ADJ
1800,1.9179402954705438e-07,3.144164484325529e-09
1801,8.334139067756041e-08,0.0
1802,1.0294064622939914e-07,0.0
1803,9.361627917314763e-08,0.0
1804,1.2359254242255702e-07,0.0
1805,6.822906328807221e-08,0.0
1806,2.881669125542885e-08,0.0
1807,3.1316506010625744e-07,0.0
1808,1.2916622438297054e-07,0.0
1809,7.680704072754452e-08,0.0
1810,1.8721013361755467e-07,0.0
1811,2.5070768572277302e-08,0.0
1812,1.0668833283489221e-07,2.6672082320544632e-09
1813,7.476928232108548e-08,0.0
1814,7.866692897096073e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,3.476405652236281e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,3.1053151161586356e-08,0.0
1820,1.898636980968149e-08,0.0
1821,3.254291058851777e-08,0.0
1822,2.606660132187244e-08,0.0
1823,6.917880934764753e-09,0.0
1824,1.7684335773537896e-08,0.0
1825,4.402721387464226e-08,0.0
1826,1.5502052974625258e-07,0.0
1827,3.871254605769536e-08,9.217273055917019e-10
1828,7.613009955775851e-08,0.0
1829,4.200856196234781e-08,8.57317605795771e-10
1830,3.965997663613052e-08,0.0
1831,5.14509785887185e-08,0.0
1832,7.576782934393123e-08,0.0
1833,2.3167256557599103e-08,2.3167257001688313e-09
1834,2.8003592333902816e-08,0.0
1835,3.6302822081779595e-08,0.0
1836,2.419469957715137e-08,0.0
1837,3.339787468803479e-08,0.0
1838,4.5447563934430946e-08,0.0
1839,2.6567605004856887e-08,0.0
1840,1.2102408852854296e-08,0.0
1841,4.6227949468402585e-08,0.0
1842,4.427455024824667e-08,0.0
1843,4.0757687003178944e-08,0.0
1844,5.54344694592146e-08,0.0
1845,4.687391452762313e-08,0.0
1846,3.3956109035671034e-08,0.0
1847,3.5055954583640414e-08,0.0
1848,2.654923214606697e-08,0.0
1849,3.351765798242923e-08,0.0
1850,4.955967014552698e-08,0.0
1851,6.191461210391935e-08,0.0
1852,2.278690836021724e-08,0.0
1853,2.329053394589664e-08,0.0
1854,1.2469595134234623e-08,0.0
1855,4.7231740296638236e-08,0.0
1856,2.6403665032148638e-08,5.177189232874468e-10
1857,2.3431244500216053e-08,0.0
1858,2.6915218498402282e-08,0.0
1859,2.1387128512628806e-08,0.0
1860,3.661747172145624e-08,0.0
1861,2.357981898626349e-08,0.0
1862,1.8975542914745347e-08,0.0
1863,1.9978482868054925e-08,0.0
1864,3.16452037907311e-08,4.794727948009836e-10
1865,4.142022902442477e-08,0.0
1866,4.184427027098536e-08,0.0
1867,3.494024269912188e-08,0.0
1868,6.915823469455518e-09,0.0
1869,1.70923168951731e-08,0.0
