year,avais_VERB assez_ADV
1800,2.5153315874604232e-08
1801,2.3811825844433088e-09
1802,3.8043282302169246e-08
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,4.034336598124355e-08
1807,5.4092147649953404e-08
1808,9.064295980465431e-09
1809,9.036122072814123e-09
1810,5.148278958699848e-08
1811,1.0028307073639553e-08
1812,1.600324850414836e-08
1813,2.5881675469463516e-08
1814,1.2586708564299443e-08
1815,8.091670444798638e-09
1816,1.3905623319487859e-08
1817,3.7364962679475866e-08
1818,7.27191817873063e-08
1819,2.4842520929269085e-08
1820,4.865257352548724e-08
1821,5.5224333550540905e-08
1822,1.604098542884458e-08
1823,2.4706716672540097e-08
1824,1.3473780313688621e-08
1825,3.78634048558979e-08
1826,4.7563116112314674e-08
1827,5.8068820862899884e-08
1828,4.035812395386529e-08
1829,7.544394975411706e-08
1830,4.5922078584226256e-08
1831,9.354723573551382e-08
1832,4.19429042608499e-08
1833,5.21263281427764e-08
1834,3.173740381612333e-08
1835,8.092504089063368e-08
1836,2.6210924986003192e-08
1837,3.75726116885744e-08
1838,2.7773513266993177e-08
1839,4.4046291947097416e-08
1840,3.184844388215424e-08
1841,1.733548060656176e-08
1842,4.024958855097793e-08
1843,5.2571508035725856e-08
1844,2.5247381074677833e-08
1845,3.236532108985557e-08
1846,3.9810608143397985e-08
1847,3.7752563741833e-08
1848,3.620349886546137e-08
1849,5.781796375003978e-08
1850,4.8880771430503955e-08
1851,3.8696633453128015e-08
1852,3.5156944022674e-08
1853,4.478948767427937e-08
1854,3.844791862661623e-08
1855,4.7231740296638236e-08
1856,4.504154560436291e-08
1857,4.4421732070532016e-08
1858,4.3553715300959084e-08
1859,3.819129901216911e-08
1860,4.577183787546346e-08
1861,6.555189457913002e-08
1862,6.23482137029896e-08
1863,5.5939754162182e-08
1864,4.6029388300894425e-08
1865,5.742350239756888e-08
1866,4.9142691693759843e-08
1867,6.648351558169452e-08
1868,5.285665238830006e-08
1869,5.811387637777443e-08
1870,6.536815533308982e-08
1871,4.354682658913589e-08
1872,6.652073381019363e-08
1873,5.147963832996538e-08
1874,6.034355237716227e-08
1875,6.522540729747561e-08
1876,5.985554452081487e-08
1877,4.08197848855707e-08
1878,2.3552445327368332e-08
1879,6.109325312309011e-08
1880,6.738738278500023e-08
1881,5.0899306103247e-08
1882,4.592215674392719e-08
1883,5.308244865886991e-08
1884,5.545425452169184e-08
1885,4.18966337178972e-08
1886,4.7755634113855194e-08
1887,5.419007464979586e-08
1888,6.150396103521416e-08
1889,5.450668894013688e-08
1890,6.357755211183758e-08
1891,5.991766727220238e-08
1892,6.70730813112641e-08
1893,5.049901474762919e-08
1894,5.293292915098391e-08
1895,6.861220214204877e-08
1896,7.725108019940308e-08
1897,5.535378022614168e-08
1898,4.5266837389590364e-08
1899,5.085372123403431e-08
1900,5.1391424449320766e-08
1901,3.800342440740678e-08
1902,4.812078202576231e-08
1903,5.022204874194358e-08
1904,2.7948050984605288e-08
1905,3.509316215399849e-08
1906,4.3211148437194424e-08
1907,5.965698335330671e-08
1908,4.0273391732625896e-08
1909,5.3359539009534274e-08
1910,5.076943310200477e-08
1911,5.2671705219609066e-08
1912,6.876435776348444e-08
1913,6.257528184505645e-08
1914,4.888622839871459e-08
1915,4.2410743361642744e-08
