year,tas_NOUN égaux_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,7.801356893821776e-09
1804,1.9774807569206132e-08
1805,5.1171799242411e-08
1806,0.0
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,1.1866481131050932e-09
1821,1.4792232327920374e-08
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,6.1655889282974385e-09
1827,1.2904182611350734e-08
1828,0.0
1829,9.430493719264632e-09
1830,1.0436835840010872e-09
1831,4.989185953263586e-08
1832,2.705993873419743e-09
1833,4.6334514003376626e-09
1834,9.334530925997342e-10
1835,2.2689263801112247e-08
1836,6.048674894287842e-09
1837,2.7831563720326358e-09
1838,3.787297142565649e-09
1839,4.194885327990505e-09
1840,2.5478754661634184e-09
1841,3.2102742686390684e-09
1842,3.3541325272778977e-09
1843,2.3627644285539873e-09
1844,2.195424508855126e-09
1845,2.2320911785556063e-09
1846,0.0
1847,1.6179670936367074e-09
1848,1.6090443422100975e-09
1849,1.005529792763582e-08
1850,3.394498016007219e-09
1851,1.9348316282474798e-09
1852,4.557382027314816e-09
1853,3.5831591027601917e-09
1854,1.0391328908454511e-09
1855,5.306937111981824e-09
1856,5.177189343896771e-09
1857,5.857811125054013e-09
1858,6.361778659424999e-09
1859,7.129042689513199e-09
1860,9.154367819341758e-10
1861,9.431927239234028e-09
1862,7.228778020618165e-09
1863,1.9978483312144135e-09
1864,3.835782358407869e-09
1865,3.294791106611683e-09
1866,3.8924903300596725e-09
1867,4.367530337390235e-09
1868,1.975949626142892e-09
1869,4.883519366671862e-09
1870,8.601073631098188e-09
1871,1.0621177271019633e-09
1872,4.8378714367913744e-09
1873,0.0
1874,2.9873046258899194e-09
1875,6.865832347102696e-09
1876,6.04601479992084e-10
1877,0.0
1878,3.0195443923020093e-09
1879,1.832797580370027e-09
1880,3.2089231272180996e-09
1881,2.091752326904839e-09
1882,1.9966155395678697e-09
1883,1.8958017378167824e-09
1884,2.6406787867472303e-09
1885,4.511945039809007e-09
1886,4.5174246565693466e-09
1887,3.264462256069578e-09
1888,1.268122939990235e-09
1889,6.265136742733546e-10
1890,6.554386478008212e-10
1891,6.374220040683554e-10
1892,1.2537024751679837e-09
1893,6.15841644346915e-09
1894,6.301539290376468e-10
1895,6.018614495673091e-09
1896,1.0614652268259306e-08
1897,1.1653427112179315e-09
1898,4.52668391659472e-09
1899,4.9748205555033564e-09
1900,5.19105292084987e-09
1901,5.588738916095792e-10
1902,6.38336894454028e-09
1903,5.400220270956879e-09
1904,1.6123875568041512e-09
1905,4.1286072338664326e-09
1906,3.600929110447737e-09
1907,3.0857059130084963e-09
1908,3.929111258571538e-09
1909,5.500983557560346e-10
1910,8.550641084070776e-09
1911,1.8621308939259507e-08
1912,7.814131564032323e-09
1913,2.6514948014977335e-09
1914,5.357394972094198e-09
1915,1.1780761921542648e-09
1916,0.0
1917,4.386569774084137e-09
1918,3.44591288836682e-09
1919,1.8415696745321952e-09
1920,7.572231730534895e-09
1921,9.844571380313027e-09
1922,6.640141769764796e-09
1923,8.492758496458919e-09
1924,7.734974438733389e-09
1925,5.499089184013428e-09
1926,2.229227691330493e-09
1927,3.3447675740205796e-09
1928,7.998228745975666e-09
1929,7.798284684668033e-09
