year,aux_ADP ans_NOUN,aux_ADP lents_ADJ
1800,2.5153315874604232e-08,0.0
1801,3.0955374485941434e-08,0.0
1802,6.713520406265161e-08,0.0
1803,9.751696339321825e-09,0.0
1804,4.943701892301533e-09,4.943701892301533e-09
1805,1.1371510844071508e-08,2.842877755426798e-08
1806,7.204172636221529e-08,0.0
1807,3.131650672116848e-08,6.832692633906845e-08
1808,2.4926813502190726e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,8.774768645025688e-08,0.0
1812,2.1337665856435706e-08,1.600324850414836e-08
1813,1.7254450312975678e-08,2.8757416448144113e-09
1814,1.8880061958270744e-08,0.0
1815,4.315557688983063e-08,2.966945977789237e-08
1816,2.3176038865813098e-08,0.0
1817,1.5568734412774177e-08,0.0
1818,2.6226590676969863e-08,1.1921177378582115e-09
1819,4.968504008218133e-08,1.449147024601416e-08
1820,1.6613073583471305e-08,5.933240565525466e-09
1821,1.0847637454958203e-08,2.070912508145284e-08
1822,4.110502516141423e-08,0.0
1823,1.1859224047228167e-08,4.941343334508019e-09
1824,7.831634540877985e-08,0.0
1825,2.0252518551089338e-08,7.044354433105582e-09
1826,1.6735169472426037e-08,0.0
1827,1.198245475064752e-08,2.7651818612639545e-09
1828,1.9261833017480967e-08,9.172301251858528e-10
1829,1.971830487779158e-08,8.57317605795771e-10
1830,2.5048405571936883e-08,0.0
1831,9.354723218280014e-09,0.0
1832,2.3000947924067816e-08,0.0
1833,2.5483982257767934e-08,1.1583628500844156e-09
1834,2.7070139907436896e-08,0.0
1835,1.663879345414898e-08,3.781543966852041e-09
1836,2.3522625958172227e-08,2.688300027031687e-09
1837,1.2524203452102256e-08,0.0
1838,2.398621434807069e-08,6.312161904276081e-10
1839,1.6080393461237463e-08,6.9914751765765e-10
1840,3.3759350870354865e-08,1.2739377330817092e-09
1841,8.988767952189392e-09,1.2841097074556274e-09
1842,1.609983613093391e-08,6.708265054555795e-10
1843,3.366939316240547e-08,1.1813822142769936e-09
1844,1.1525978838022866e-08,1.6465684371524958e-09
1845,1.0044410247989077e-08,1.0044410636567136e-08
1846,1.4050803187615202e-08,2.9272506640865004e-09
1847,1.887628364727334e-08,0.0
1848,2.091757700384278e-08,5.63165514222419e-09
1849,4.77626631578687e-08,1.256912263158938e-08
1850,2.2403687793826066e-08,8.82569484161877e-09
1851,1.805842853030981e-08,4.514607354622058e-09
1852,2.148479971708639e-08,3.906327261660181e-09
1853,1.4332636411040767e-08,1.1943863675867306e-09
1854,1.8184825922862302e-08,6.754363734984281e-09
1855,1.963566731433275e-08,2.653468555990912e-09
1856,1.4496130074093116e-08,1.0354378465748937e-09
1857,2.147864064383498e-08,2.9289055625270066e-09
1858,2.936205545367443e-08,2.936205500958522e-09
1859,2.4442432078330967e-08,1.5785737161877478e-08
1860,2.8378539518314483e-08,2.746310290291376e-09
1861,2.640939672504672e-08,4.715963841661619e-09
1862,2.93669109308059e-08,2.710791813242963e-09
1863,2.697095197179422e-08,3.995696662428827e-09
1864,2.828889567041415e-08,1.102787461348953e-08
1865,1.7415323849689912e-08,9.88437331983505e-09
1866,2.0435575009969398e-08,9.24466486695863e-09
1867,2.329349513274792e-08,3.88224918879132e-09
1868,1.6795571822214583e-08,7.903798504571569e-09
1869,1.611561362135916e-08,3.906815315701806e-09
1870,1.0321287380321564e-08,5.734048791339319e-09
1871,1.8056001360733376e-08,3.18635318130589e-09
1872,1.6932550250814415e-08,1.2094678591978436e-09
1873,1.5563611732716254e-08,5.387403856360606e-09
1874,2.569081986036892e-08,7.169530746864439e-09
1875,3.71899266937703e-08,5.721527140956084e-10
1876,3.5066884507273244e-08,4.836811839936672e-09
1877,1.5462039648639347e-08,1.8554447978047506e-09
1878,3.200716980344964e-08,8.4547240319921e-09
1879,3.2990356002571275e-08,3.0546627449723474e-09
1880,2.1820677709172287e-08,2.5671385017744797e-09
1881,1.882577010947628e-08,3.4862537301449947e-09
1882,1.6638462163598433e-08,6.655385131892899e-10
1883,2.0221884611260066e-08,7.58320695126713e-09
1884,2.2445769687351458e-08,5.941527270181268e-09
1885,2.9005360890899112e-08,0.0
1886,2.1296431229611557e-08,2.1296430785522347e-08
1887,2.219834327465975e-08,9.140494583448344e-09
1888,2.5362458577760094e-08,6.974675947901687e-09
1889,1.8795410117178335e-08,6.891650361495749e-09
1890,1.966316010015845e-08,1.1142456735058204e-08
1891,2.995883363610119e-08,4.461953917456185e-09
1892,3.573051987615372e-08,5.014809900671935e-09
1893,2.155445777418663e-08,4.310891699166319e-09
1894,2.8987080291642542e-08,2.2685540557176864e-08
1895,2.106515117894503e-08,7.22233739480771e-09
1896,2.0639601361338578e-08,1.2383760683576384e-08
1897,3.146425364697336e-08,6.992056267307589e-09
1898,1.810673555535658e-08,1.2448380326546271e-08
1899,1.9346524382513053e-08,1.326618814800895e-08
1900,1.9206897072798768e-08,1.142031713641245e-08
1901,1.956058603980182e-08,8.38310842965484e-09
1902,1.816805017540446e-08,6.874397495693074e-09
1903,2.052083747372535e-08,1.674068350610014e-08
1904,3.171028861714831e-08,7.524475265086039e-09
1905,3.302885742684225e-08,1.548227662739876e-08
1906,2.1091156710006942e-08,1.594697174311932e-08
1907,2.6228502036929058e-08,9.771402353919711e-09
1908,2.357466755142923e-08,1.0313917053750288e-08
1909,1.8153245295859932e-08,1.4852655993990993e-08
1910,3.580580976159098e-08,1.4429207162436342e-08
1911,2.2345571171200618e-08,1.2236860857939291e-08
1912,2.813087401909442e-08,9.897900277167082e-09
1913,2.1742257771961704e-08,2.1742257771961704e-08
1914,2.7456649620560825e-08,1.2054139020278853e-08
1915,5.772573496987121e-08,5.890381071793627e-09
1916,1.9777432136436346e-08,1.648119329900055e-08
1917,2.9609346086090227e-08,1.973956464951243e-08
1918,4.135095377222342e-08,1.722956355365568e-08
1919,3.222746869369075e-08,1.2890987832747669e-08
1920,3.028892603396116e-08,2.7260033785836413e-08
1921,4.013556204052193e-08,1.8931869016913794e-08
1922,2.5822774307737717e-08,9.591316185719734e-09
1923,2.866306125781648e-08,1.8047112249064412e-08
1924,1.2891624101563082e-08,2.5783249091304583e-08
1925,2.859526304632709e-08,3.1894716423508385e-08
1926,4.124071217859182e-08,1.2260752413340015e-08
1927,2.8987985345452216e-08,1.7838759802657478e-08
1928,3.1992915872081085e-08,1.7139061725401916e-08
1929,3.899142186902793e-08,2.0052731031228177e-08
1930,3.046045016219523e-08,3.151081229280095e-08
1931,2.5091785538222666e-08,1.1405356659111021e-08
1932,3.835837791843488e-08,9.863582839386709e-09
1933,4.014731747048472e-08,1.7205992852709073e-08
1934,2.7557634396657704e-08,1.7972370258689807e-08
1935,2.393656828303392e-08,1.196828414151696e-08
1936,2.7886844389257703e-08,1.33371855781661e-08
1937,3.52551301485704e-08,1.510934133364117e-08
