year,auras_VERB eu_VERB,auras_VERB lu_VERB
1800,3.144164395507687e-08,0.0
1801,2.6193008650921e-08,4.7623651688866175e-09
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,5.851017448321727e-09,1.950339223455444e-09
1804,4.943701892301533e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,9.064295980465431e-09,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,4.680253518074551e-09,7.020380277111826e-09
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,8.091670444798638e-09,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,9.493184904840746e-09,0.0
1821,9.86148829262845e-10,1.0847637454958203e-08
1822,7.017931125119503e-09,0.0
1823,9.882686891060644e-10,3.9530747564242574e-09
1824,1.0105335235266466e-08,0.0
1825,1.7610886082763955e-09,0.0
1826,3.5231937367541377e-09,8.807984341885344e-10
1827,3.6869092223668076e-09,8.295545583791863e-09
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,5.143905745796928e-09,0.0
1830,4.174734336004349e-09,0.0
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,2.0535967593104942e-08,9.334530925997342e-10
1835,6.050470346963266e-09,1.5126175867408165e-09
1836,6.720750067579218e-10,0.0
1837,4.87052354003481e-09,1.3915781860163179e-09
1838,2.209256599883247e-08,6.312161904276081e-10
1839,1.2584655095793096e-08,3.4957374772659477e-09
1840,1.9109065441114126e-09,5.095750932326837e-09
1841,3.852329122366882e-09,2.5682194149112547e-09
1842,9.391571076378114e-09,2.0124795163667386e-09
1843,9.451057714215949e-09,0.0
1844,5.488561161115513e-09,1.6465684371524958e-09
1845,9.48638767539478e-09,1.1160455892778032e-09
1846,7.025401593807601e-09,6.439951683034906e-09
1847,8.629157832729106e-09,5.393223645455691e-10
1848,1.6090443422100975e-09,4.82713291560799e-09
1849,8.379414939696517e-10,0.0
1850,1.3577992064028876e-09,4.073397619208663e-09
1851,6.449438760824933e-09,1.2898877521649865e-09
1852,3.906327261660181e-09,1.9531636308300904e-09
1853,1.4332636411040767e-08,5.971931837933653e-10
1854,9.352196350675968e-09,1.0391328908454511e-09
1855,5.837630823180007e-09,1.0613874223963649e-08
1856,5.177189343896771e-09,3.6240324075009767e-09
1857,4.881508974818871e-09,2.4407544874094356e-09
1858,7.829881631948865e-09,3.4255731584664773e-09
1859,9.675129142294736e-09,6.110608019582742e-09
1860,7.323494255473406e-09,3.661747127736703e-09
1861,5.234719679947375e-08,1.8863854922557266e-09
1862,1.8071945051545413e-09,3.162590411776023e-09
1863,3.995696662428827e-09,2.9967726078439227e-09
1864,9.109982990196386e-09,1.9178911792039344e-09
1865,9.413688495385486e-09,3.765475486972036e-09
1866,4.379051787850585e-09,4.379051787850585e-09
1867,1.261730986357179e-08,1.1161466417775046e-08
1868,9.87974857480367e-09,1.4819622196071691e-09
1869,2.539429999615095e-08,2.441759683335931e-09
