year,ses_DET ivres_ADJ,ses_DET livre_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,7.143547753329926e-09
1802,0.0,8.951360541686881e-09
1803,0.0,1.950339223455444e-08
1804,0.0,1.2359254508709228e-08
1805,0.0,0.0
1806,0.0,8.645007376628655e-09
1807,0.0,5.693910232196231e-09
1808,0.0,3.3991110370834576e-08
1809,0.0,6.7770915546105925e-09
1810,0.0,7.020380277111826e-09
1811,0.0,1.2535383842049441e-08
1812,0.0,1.0668832484128643e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,0.0,8.280840235741493e-09
1820,0.0,4.746592452420373e-09
1821,0.0,3.94459531705138e-09
1822,0.0,2.0051231786055723e-09
1823,0.0,9.882686891060644e-10
1824,0.0,8.421112696055388e-09
1825,0.0,3.522177216552791e-09
1826,0.0,3.5231937367541377e-09
1827,0.0,6.452091028119611e-09
1828,0.0,2.7516904310687096e-09
1829,0.0,4.286588028978855e-09
1830,0.0,6.262101504006523e-09
1831,0.0,4.677361609140007e-09
1832,0.0,2.705993873419743e-09
1833,0.0,6.950176989484191e-09
1834,0.0,5.600718555598405e-09
1835,0.0,5.294161553592858e-09
1836,0.0,1.2097350454709499e-08
1837,0.0,2.7831563720326358e-09
1838,0.0,8.205810475558906e-09
1839,0.0,4.1948851059459e-09
1840,0.0,3.821813254756279e-09
1841,0.0,1.926164561183441e-09
1842,6.708265054555795e-10,4.024959032733477e-09
1843,0.0,2.3627644285539873e-09
1844,0.0,1.097712254427563e-09
1845,0.0,6.138250907561371e-09
1846,0.0,1.7563503984519002e-09
1847,0.0,1.6179670936367074e-09
1848,0.0,6.436177313329239e-09
1849,0.0,8.379414939696517e-10
1850,0.0,1.3577992064028876e-08
1851,0.0,3.8696632564949596e-09
1852,0.0,4.557381805270211e-09
1853,0.0,4.180352286553557e-09
1854,0.0,2.597832227113628e-09
1855,1.0613874223963649e-09,3.1841622671890946e-09
1856,1.0354378465748937e-09,3.624032463012128e-09
1857,0.0,4.39335834379051e-09
1858,0.0,3.425573102955326e-09
1859,0.0,3.5645213447565993e-09
1860,0.0,5.034902328393542e-09
1861,9.431927461278633e-10,4.244367302064234e-09
1862,0.0,7.2287781316404676e-09
1863,0.0,3.995696606917676e-09
1864,0.0,3.356309563606885e-09
1865,0.0,3.2947909955893806e-09
1866,0.0,8.27154222893256e-09
1867,0.0,5.338092634588065e-09
1868,0.0,3.951899252285784e-09
1869,0.0,3.9068154267241084e-09
1870,0.0,6.880858549607183e-09
1871,1.0621177271019633e-09,0.0
1872,0.0,4.8378714367913744e-09
1873,1.1972008939764578e-09,2.3944017879529156e-09
1874,5.974609140757536e-10,2.987304514867617e-09
1875,0.0,4.00506905418041e-09
1876,0.0,1.209202959984168e-09
1877,0.0,4.9478527941460015e-09
1878,0.0,4.831270938865373e-09
1879,0.0,1.221865053580018e-09
1880,0.0,1.2835692508872398e-09
1881,0.0,2.7890030285249168e-09
1882,0.0,1.9966155395678697e-09
1883,0.0,2.5277356319186595e-09
1884,0.0,3.300848483434038e-09
1885,0.0,1.2891271383708158e-09
1886,1.936039106809062e-09,6.453463874400711e-10
1887,0.0,2.6115698492645834e-09
1888,6.340614699951175e-10,3.1703073499755874e-09
1889,6.265136742733546e-10,6.265136742733546e-10
1890,1.3108772956016423e-09,1.9663159434024635e-09
1891,0.0,3.1871101313640793e-09
1892,6.268512375839919e-10,6.268512375839919e-10
1893,0.0,3.079208221734575e-09
1894,0.0,1.8904617871129403e-09
1895,0.0,4.814891596538473e-09
1896,0.0,1.179405795248556e-09
1897,0.0,1.7480140668268973e-09
1898,0.0,2.26334195829736e-09
1899,3.8693048765026106e-09,2.7637891975018647e-09
1900,0.0,3.6337372000261325e-09
1901,0.0,6.706486532781497e-09
1902,0.0,5.4013122863239005e-09
1903,0.0,5.400220270956879e-10
1904,5.374625189347171e-10,2.1498500757388683e-09
1905,0.0,3.096455369888673e-09
1906,0.0,2.572092316910357e-09
1907,0.0,1.5428530120153994e-09
1908,4.911389073214423e-10,5.40252820258047e-09
1909,0.0,4.950885090782009e-09
1910,0.0,2.67207544979442e-09
1911,0.0,4.2562992019767876e-09
1912,0.0,4.167536982180309e-09
1913,0.0,5.3029897140177695e-09
1914,6.696743715117748e-10,2.678697486047099e-09
1915,0.0,4.712304768617059e-09
1916,0.0,5.493731025651982e-09
1917,0.0,4.386569774084137e-09
1918,0.0,2.2972752589112133e-09
1919,0.0,6.445494027396137e-09
1920,1.514446346106979e-09,1.514446346106979e-09
1921,0.0,2.2718242842501013e-09
1922,0.0,6.640141991809401e-09
1923,0.0,9.554353752605493e-09
1924,0.0,1.289162443462999e-09
1925,0.0,1.0998177923937646e-09
1926,0.0,1.1146138456652466e-09
