year,leurs_DET armes_NOUN,leurs_DET larmes_NOUN
1800,6.816548648203025e-06,1.1790617069351583e-06
1801,8.365094089413105e-06,1.5572933698138058e-06
1802,8.541835427422484e-06,1.3024229303937318e-06
1803,7.920327789179282e-06,1.4764067870487452e-06
1804,7.830823619769944e-06,1.5819846339582e-06
1805,6.5983192882868025e-06,1.5749542257026405e-06
1806,6.812265837652376e-06,1.1007976556953736e-06
1807,7.020591112905095e-06,1.3067524076149084e-06
1808,8.611081369735984e-06,1.3347175311650972e-06
1809,9.33205498654388e-06,1.6287610016263443e-06
1810,7.104624785370106e-06,2.1997192050093872e-06
1811,8.51403243018467e-06,1.2861303648747935e-06
1812,7.417505884177444e-06,1.0082046717485582e-06
1813,6.709105036861729e-06,1.1790540277445416e-06
1814,1.055710141883992e-05,1.7778725496242487e-06
1815,8.412640688959527e-06,1.2973645659997146e-06
1816,7.928523203304394e-06,9.2935913897918e-07
1817,8.917770429661687e-06,1.2922049359431753e-06
1818,9.28898181484783e-06,1.3077532008409776e-06
1819,9.805549495922605e-06,1.4160236929683379e-06
1820,9.92987116887889e-06,1.537895940373346e-06
1821,8.801378442058194e-06,1.7908463156857124e-06
1822,1.0165974586584525e-05,1.5890601332557708e-06
1823,1.0956934829664533e-05,1.5179806993614875e-06
1824,1.1921769583977948e-05,1.6202221040373388e-06
1825,1.2022071047113059e-05,1.6607065695950496e-06
1826,1.084262862605101e-05,1.4550790066181207e-06
1827,8.900198878336596e-06,1.1696720036979968e-06
1828,8.23305768449245e-06,1.2116609902079745e-06
1829,7.696997414541329e-06,1.0347823149459145e-06
1830,8.55924906772998e-06,1.144920863893617e-06
1831,6.833625775470864e-06,1.0913844761262226e-06
1832,6.58368308847912e-06,1.055337589761507e-06
1833,8.544084209916036e-06,1.1907970414171132e-06
1834,8.273194850971777e-06,1.2349584324056195e-06
1835,9.128647008083135e-06,1.2327833545100475e-06
1836,9.905041139290915e-06,1.2171278207517844e-06
1837,8.395391603244207e-06,1.1097836321027899e-06
1838,1.0431479140038391e-05,1.2131975157814168e-06
1839,9.161628781839681e-06,9.053960265958949e-07
1840,9.612497109401374e-06,1.0223350646043627e-06
1841,7.53772388861762e-06,1.0825044469697787e-06
1842,7.740667228972598e-06,1.0612474774518432e-06
1843,6.322757812426971e-06,1.0880529863754873e-06
1844,7.688376825853993e-06,1.1394253256469256e-06
1845,6.7978339046703695e-06,1.0094632525436964e-06
1846,7.277730503574276e-06,8.729061704570995e-07
1847,7.627636406937199e-06,9.853419129512986e-07
1848,6.45065894389063e-06,9.879532498757726e-07
1849,6.468070210985388e-06,8.781626981146928e-07
1850,7.267620063089453e-06,1.0706247159930626e-06
1851,6.548760296709588e-06,9.171101664762205e-07
1852,6.0046762655474595e-06,1.0338746569971136e-06
1853,5.951627429112705e-06,1.0624067083853106e-06
1854,5.854474821376243e-06,1.56961017694357e-06
1855,5.7909297339620025e-06,1.1473597503197652e-06
1856,6.010199143702266e-06,1.1296626798440457e-06
1857,6.3318052099248234e-06,9.504298255080812e-07
1858,6.33388486903641e-06,1.2038443326645165e-06
1859,6.7267610717181014e-06,1.022508394399324e-06
