year,classes_NOUN égales_ADJ,classes_NOUN légales_ADJ
1800,6.288328968651058e-09,0.0
1801,4.7623650800687756e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,8.191424427650418e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,1.7081731584767113e-08,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,2.6226590676969863e-08,0.0
1819,6.210630232317271e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,1.0025615893027862e-08,0.0
1823,1.087095569118901e-08,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,6.1655889282974385e-09,0.0
1827,6.452091305675367e-09,0.0
1828,1.834460228167245e-08,0.0
1829,1.714635211591542e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,1.2741991461950875e-08,0.0
1834,0.0,9.334530925997342e-10
1835,9.832014313815307e-09,1.5126175867408165e-09
1836,7.392825018825988e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,2.5248647617104325e-09,0.0
1839,5.5931801412612e-09,1.3982950353153e-09
1840,3.821813088222825e-09,1.2739377330817092e-09
1841,3.2102742686390684e-09,0.0
1842,1.341653010911159e-08,5.366612043644636e-09
1843,0.0,0.0
1844,1.6465684371524958e-09,0.0
1845,5.022205318283568e-09,0.0
1846,2.9272506640865004e-09,6.439951683034906e-09
1847,7.011190739092399e-09,5.393223645455691e-10
1848,6.43617736884039e-09,0.0
1849,8.379414939696517e-10,8.379414939696517e-10
1850,2.7155984128057753e-09,0.0
1851,5.159551008659946e-09,0.0
1852,0.0,6.510545436100301e-10
1853,1.7915795513800958e-09,0.0
1854,3.63696517347023e-09,2.0782657816909023e-09
1855,1.0613874223963649e-08,3.714855978387277e-09
1856,7.248064815001953e-09,0.0
1857,4.881509085841174e-10,5.369659827891837e-09
1858,8.31924928945682e-09,0.0
1859,5.092173349652285e-10,2.036869339860914e-09
1860,9.15436793036406e-09,0.0
1861,9.431927461278633e-10,4.715963730639317e-10
1862,7.680577063240435e-09,4.066187830886747e-09
1863,6.99246927027275e-09,0.0
1864,0.0,0.0
1865,5.177528628053096e-09,0.0
1866,9.731225825149181e-10,0.0
1867,1.455843445796745e-09,0.0
1868,2.4699371437009177e-09,8.397785578040384e-09
1869,3.906815315701806e-09,0.0
1870,5.734048791339319e-10,1.1468097582678638e-09
1871,0.0,1.0621177271019633e-09
1872,2.4189357183956872e-09,0.0
