year,autres_ADJ êtres_NOUN,autres_ADJ etres_NOUN,autres_ADJ lettres_NOUN
1800,1.3708556707570096e-06,0.0,8.520685863544486e-07
1801,1.250120817530842e-06,0.0,1.1001063704441094e-06
1802,1.1748660426746937e-06,6.713520406265161e-09,1.2643797049349814e-06
1803,1.7631066384637961e-06,5.851017670366332e-09,1.0239280512358562e-06
1804,1.1444669780757977e-06,2.4718509461507665e-09,5.01785741846561e-07
1805,1.4242817769627436e-06,1.421438877713399e-08,7.277766753688297e-07
1806,8.270390594589117e-07,1.3832011802605848e-07,1.1641943089557572e-06
1807,7.829126502656436e-07,3.4732852327579167e-07,8.483926094982053e-07
1808,9.336224593425868e-07,1.3596443526608937e-08,9.902742914569274e-07
1809,7.545161793132138e-07,0.0,1.0052685763817237e-06
1810,7.067182536957262e-07,0.0,1.071778029881898e-06
1811,2.8831382792304794e-07,3.008491944456182e-08,1.7674891417129857e-06
1812,5.014351245336002e-07,0.0,7.228134157877264e-07
1813,4.744973693959764e-07,4.026038169513413e-08,9.23113046669144e-07
1814,3.8704129678990284e-07,0.0,2.168060529328386e-06
1815,9.035699122250662e-07,0.0,9.683032808904812e-07
1816,1.6269578964056564e-06,4.6352077731626196e-09,7.903029395350814e-07
1817,1.8993855519511271e-06,1.556873407970727e-09,1.2019062820556314e-06
1818,1.6212801483561634e-06,2.384235475716423e-09,1.0442951197120465e-06
1819,1.2152132740084198e-06,5.175525119582858e-09,1.0485614208022298e-06
1820,1.0193307389272377e-06,1.898636980968149e-08,2.1063004531640672e-06
1821,1.0502485565666575e-06,4.930744257336528e-09,1.5906581172231427e-06
1822,1.1208638852622244e-06,1.1028177482330648e-08,1.508855149268129e-06
1823,7.421897976200853e-07,4.941343556552624e-09,1.2333593053526215e-06
1824,8.463218250653881e-07,8.421112696055388e-09,1.9435928582112183e-06
1825,8.338754469150444e-07,8.805443041381977e-10,1.9512862357018435e-06
1826,8.42924123389821e-07,1.7615968683770689e-09,2.0469755046548244e-06
1827,8.27711119200103e-07,9.217273055917019e-10,1.3475653233285811e-06
1828,9.906085551847355e-07,1.8344602503717056e-09,1.6794484167803603e-06
1829,9.344761906504573e-07,0.0,1.41114479124127e-06
1830,8.787815772848262e-07,5.218417920005436e-09,1.2075419490997774e-06
1831,8.621937013231218e-07,4.677361609140007e-09,7.889150321904737e-07
1832,8.320931215166638e-07,0.0,1.1730483926442048e-06
1833,8.5487175738308e-07,2.3167257001688313e-09,1.2232311310533817e-06
1834,7.74766078848188e-07,2.8003592777992026e-09,1.0323990862204369e-06
1835,9.370666020913632e-07,4.5378527602224494e-09,1.6691735353902004e-06
1836,8.474866035612649e-07,1.3441500135158435e-09,1.4167340776083392e-06
1837,8.119858989630302e-07,2.7831563720326358e-09,1.5042960281874684e-06
1838,8.477233564008202e-07,6.312161904276081e-10,1.782554514662138e-06
1839,8.802267075225245e-07,1.1885507689157748e-08,1.4150745393237685e-06
1840,1.2637461850317777e-06,2.9937537560087435e-08,1.3108819310048148e-06
1841,9.168543328996748e-07,7.0626033910059505e-09,1.2494387462425038e-06
1842,1.0900930647039786e-06,8.049918065466954e-09,1.2195625780364594e-06
1843,1.483225332776783e-06,1.7720733769266417e-09,1.515713336175395e-06
1844,1.003857846626488e-06,7.683985892015244e-09,1.4226350772972296e-06
1845,9.397103895025793e-07,2.2320912340667576e-09,1.3526472651403942e-06
1846,1.1328460232107318e-06,1.1709002434301397e-08,1.2733540817322364e-06
1847,8.639944439892133e-07,7.550513103637968e-09,1.5888436788458193e-06
1848,1.1408124009903986e-06,5.631655086713039e-09,1.3902143045640969e-06
1849,9.150321034212539e-07,1.6758829879393033e-09,1.2761849337294962e-06
1850,8.316520165863039e-07,1.3577992064028876e-09,1.2742945347810064e-06
1851,8.429416311628302e-07,6.449438760824933e-10,1.3079462277687526e-06
1852,1.0312703579984372e-06,2.6042181744401205e-09,1.428413623827396e-06
1853,1.2308152008699835e-06,2.9859659189668264e-09,1.4165422044243314e-06
1854,1.0832960697371163e-06,1.2209811811603188e-07,1.7093736133233506e-06
1855,1.0688171414585668e-06,2.653468555990912e-09,1.3744966693707283e-06
1856,1.0059278565677232e-06,2.6403665032148638e-08,1.4573788291727396e-06
1857,9.450601510252454e-07,5.369659827891837e-09,1.435651878267663e-06
1858,9.630754220779636e-07,9.297984604472731e-09,1.3506546387986873e-06
1859,1.1936053851968609e-06,2.5460866748261424e-09,1.2063358276748204e-06
1860,9.044515536515974e-07,2.746310290291376e-09,1.1676396161064417e-06
1861,1.37328868277109e-06,4.715963730639317e-10,1.2893444569783696e-06
1862,7.667022714485938e-07,4.517986262886353e-10,1.4981642220135427e-06
1863,9.564698757458245e-07,9.989241656072068e-10,1.5857921624728988e-06
1864,1.0447712384120678e-06,4.31525504218655e-09,1.2499855976955132e-06
1865,9.201880857290234e-07,2.3534221238463715e-09,1.71893959333147e-06
1866,1.022265223582508e-06,4.379051787850585e-09,1.2903605934866391e-06
1867,7.54126915580855e-07,4.85281148598915e-10,1.401491985575376e-06
1868,8.41754513203341e-07,2.9639244392143382e-09,1.6691834190396548e-06
1869,1.1300463711449993e-06,3.4184634012390802e-09,1.6115613519218641e-06
1870,1.0361426348026725e-06,6.307453670473251e-09,1.5631017031836336e-06
1871,5.799162750008691e-07,1.0621177271019633e-09,1.3786288013406534e-06
1872,9.29476072997204e-07,3.0236697590169115e-09,1.3267862915000705e-06
1873,7.075457233440829e-07,1.1972008939764578e-09,1.3288929672228278e-06
1874,6.416730116143299e-07,1.1949218281515073e-09,2.0289772422188435e-06
1875,9.829583405007725e-07,2.2886108008712824e-09,1.5121996153055761e-06
1876,1.0943286952169728e-06,2.418405919968336e-09,1.4861104400409886e-06
1877,8.739144732317072e-07,1.2369631985365004e-09,1.5363083019082069e-06
1878,7.343531933656777e-07,0.0,1.305047007349458e-06
